Grupo;Situação;Ano Formação;Líder;Instituição;Unidade;Área predominante;UF;Repercussão;Linhas de Pesquisa;Instituições Parceiras;Indicadores de RH;link
Grupo de Pesquisa Avançada em Redes e Automação;Certificado;2015;Rodrigo Carvalho Souza Costa;Instituto Federal do Ceará - IFCE;;Engenharias, Engenharia Elétrica;CE;O Grupo Avançado de Redes e Automação está em consolidação no IFCE Campus Paracuru. Atualmente, a repercussão do trabalho do grupo tem ocorrido através da orientação de trabalhos de conclusão de curso, atividades de extensão, atividades de extensão, organização de eventos e reuniões científicas, cursos e palestras e publicações de artigos em eventos. A interação do grupo, principalmente com as empresas de tecnologia da informação, vem sendo buscada através de convênios de cooperação através de projetos de P&D beneficiados pela Lei da Informática/PPB. A pesquisa e desenvolvimento do grupo de pesquisa tem permitido a fixação de conhecimentos avançados em automação e redes de computadores na região dos do vale do curu;{"Nome":Inteligência Artificial,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":ADMINISTRACAO E SEGURANCA DE REDES DE COMPUTADORES,"Q_Estudantes":1,"Q_Pesquisadores":4}|{"Nome":Automação Industrial e Residencial,"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":Desenvolvimento de Sistemas Web, Mobile e Desktop,"Q_Estudantes":5,"Q_Pesquisadores":1}|{"Nome":Informática Educativa e Desenvolvimento de Ferramentas e Software Educativo,"Q_Estudantes":0,"Q_Pesquisadores":6}|{"Nome":Manufatura aditiva em várias áreas do conhecimento,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Redes Programáveis,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Redes Óptico-Wireless e Comunicações Ópticas,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Serviços e Redes Convergentes,"Q_Estudantes":0,"Q_Pesquisadores":1};;{"Formação acadêmica":Doutorado,"Pesquisadores":5,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":5}|{"Formação acadêmica":Mestrado,"Pesquisadores":4,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":4}|{"Formação acadêmica":Especialização,"Pesquisadores":0,"Estudantes":0,"Técnicos":2,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Ensino Profissional de nível técnico,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":4,"Técnicos":0,"Estrangeiros":0,"Total":4};http://dgp.cnpq.br/dgp/espelhogrupo/164437
INTRIG (Information & Networking Technologies Research & Innovation Group);Certificado - Não-atualizado há mais de 12 meses;2014;Christian Rodolfo Esteve Rothenberg ;Universidade Estadual de Campinas - UNICAMP;Departamento de Engenharia de Computação e Automação Industrial da FEEC;Engenharias, Engenharia Elétrica;SP;Avanços no estado da arte de `redes softwarizadas', demonstrando liderança nacional e reconhecimento internacional, dentre outros temas de vnaguarda na área de redes,Publicações científicas de impacto, mais de 09 mil citações (h-index: 28, i10-index: 56, https://scholar.google.com.br/citations?user=8PxuHPkAAAAJ&hl=en, demostrações em eventos reconhecidos nas áreas de atuação (ex.: SIGCOMM, INFOCOM, ONS), palestras convidadas em sessões plenárias (ex.: HPSR'17, NETSOFT'19), tutoriais e minicursos (ex.: SBRC, SIGCOMM'16, NETSOFT'17), organização de eventos, participação em corpos editoriais, repositórios open source em https://github.com/intrig-unicamp/ com protótipos de software das pesquisas desenvolvidas, assim como os dados e instruções que tornem nossas pesquisas reprodutíveis e muito utilizadas pela comunidade (ex.: Mininet-WiFi), transferência de conhecimento e tecnologia para parceiros nacionais (ex.: CPQD, Padtec) e internacionais (Ericsson, Samsung,INRIA, Telefonica), etc.;{"Nome":Redes de Computadores,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":5G,"Q_Estudantes":3,"Q_Pesquisadores":5}|{"Nome":Adaptive HTTP Video Streaming,"Q_Estudantes":1,"Q_Pesquisadores":1}|{"Nome":Edge Cloud Computing,"Q_Estudantes":5,"Q_Pesquisadores":1}|{"Nome":Machine Learning para redes de computadores / Machine Learning for Networking,"Q_Estudantes":5,"Q_Pesquisadores":6}|{"Nome":Network softwarization - SWx (SDN / NFV / IBN / etc.),"Q_Estudantes":7,"Q_Pesquisadores":6}|{"Nome":Programmable Dataplanes,"Q_Estudantes":5,"Q_Pesquisadores":1}|{"Nome":Quantum Internet and Quantum Computers,"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":Software-Defined Optical Networking,"Q_Estudantes":2,"Q_Pesquisadores":2}|{"Nome":Software-Defined Wireless Networking,"Q_Estudantes":1,"Q_Pesquisadores":3};{"Nome":Fundação Centro de Pesquisa e Desenvolvimento em Telecomunicações,"Sigla":CPqD,"UF":SP}|{"Nome":Departamento de Informática e Matemática Aplicada,"Sigla":UFRN,"UF":RN}|{"Nome":Centre de Recherche Inria Sophia Antipolis - Méditerranée,"Sigla":INRIA-ANTIPOLIS,"UF":}|{"Nome":Padtec - Optical Components and Systems,"Sigla":PADTEC,"UF":SP}|{"Nome":Universidade Federal do Pampa,"Sigla":UNIPAMPA,"UF":RS}|{"Nome":Ericsson Telecomunicações - Matriz,"Sigla":ERICSSON,"UF":SP}|{"Nome":Queen Mary - University of London,"Sigla":QMUL,"UF":}|{"Nome":Departamento de Computação - DComp,"Sigla":UFSCar\DComp,"UF":SP};{"Formação acadêmica":Doutorado,"Pesquisadores":7,"Estudantes":6,"Técnicos":0,"Estrangeiros":0,"Total":13}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":4,"Técnicos":0,"Estrangeiros":1,"Total":5}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":1,"Técnicos":1,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":3,"Técnicos":0,"Estrangeiros":0,"Total":3};http://dgp.cnpq.br/dgp/espelhogrupo/636869
Bioeconomia da Amazônia: Estudo de cadeias de valor;Certificado;2020;Jacques Marcovitch;Universidade de São Paulo - USP;;Ciências Sociais Aplicadas, Administração;SP;O grupo de pesquisa Bioeconomia da Amazônia tem como característica a multidisciplinaridade de seus integrantes, reunidos com o objetivo de identificar oportunidades de melhoria das condições de vida das populações da floresta na Amazônia a partir da estruturação de cadeias de valor da biodiversidade. A exteriorização ampliada do conhecimento do grupo pode ser consultada nos seguintes endereços "Portal Bioeconomia" (https://bioeconomia.fea.usp.br/), "I Workshop Bioeconomia" (https://www.youtube.com/watch?v=-ItEi0f9KV4), "II Workshop Bioeconomia" (https://www.youtube.com/watch?v=Or5Gt5yQPxY&list=PLF-SwetPaSZPuL8ymmNBXDscZvxF0_Cf9), "III Workshop Bioeconomia" (https://bioeconomia.fea.usp.br/pagamentos-por-servicos-ambientais-na-amazonia/), "Diálogos Bioeconomia" (https://www.youtube.com/watch?v=mOsxk90DrJA), "Relatos de pesquisa de campo" (https://www.youtube.com/watch?v=u88mJ7lB7_M&t=1001s).;{"Nome":Análise territorial das cadeias de valor,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Cadeias de valor da Bioeconomia - açaí,"Q_Estudantes":0,"Q_Pesquisadores":5}|{"Nome":Cadeias de valor da bioeconomia - Cacau da Amazônia,"Q_Estudantes":0,"Q_Pesquisadores":3}|{"Nome":Cadeias de valor da bioeconomia - Meliponicultura amazônica,"Q_Estudantes":0,"Q_Pesquisadores":4}|{"Nome":Cadeias de valor da bioeconomia - Pirarucu,"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":Cadeias de valor da bioeconomia amazônica,"Q_Estudantes":0,"Q_Pesquisadores":17};{"Nome":Universidade Federal do Pará,"Sigla":UFPA,"UF":PA}|{"Nome":Universidade Estadual de Santa Cruz,"Sigla":UESC,"UF":BA}|{"Nome":Instituto Nacional de Pesquisas da Amazônia,"Sigla":INPA,"UF":AM}|{"Nome":Instituto Peabiru,"Sigla":PEABIRU,"UF":PA};{"Formação acadêmica":Doutorado,"Pesquisadores":9,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":9}|{"Formação acadêmica":Mestrado,"Pesquisadores":4,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":4}|{"Formação acadêmica":Mestrado Profissional,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":3,"Estudantes":0,"Técnicos":1,"Estrangeiros":0,"Total":4};http://dgp.cnpq.br/dgp/espelhogrupo/8965525340641309
Centro de Pesquisa em Software;Certificado;2017;Leonardo Fernandes Mendonça de Oliveira;Instituto Federal de Alagoas - Matriz - IFAL;Instituto Federal de Alagoas - Campus Maceió;Ciências Exatas e da Terra, Ciência da Computação;AL;No campo científico, o grupo tem publicado nas principais conferências e periódicos da área de engenharia de software. No campo da inovação, o grupo firmou parcerias com empresas para desenvolver produtos e realizar treinamentos em áreas como Inteligência Artificial, Redes 5G entre outras.;{"Nome":Ciência de Dados e Inteligência Artificial,"Q_Estudantes":0,"Q_Pesquisadores":4}|{"Nome":Garantia de Qualidade e Segurança,"Q_Estudantes":2,"Q_Pesquisadores":2}|{"Nome":Linguagens, Técnicas e Ferramentas de Suporte ao Desenvolvimento,"Q_Estudantes":3,"Q_Pesquisadores":6};;{"Formação acadêmica":Doutorado,"Pesquisadores":5,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":5}|{"Formação acadêmica":Mestrado,"Pesquisadores":2,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Ensino Profissional de nível técnico,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1};http://dgp.cnpq.br/dgp/espelhogrupo/775360
Centro de Referência em Radiocomunicações;Certificado;2015;Luciano Leonel Mendes;Instituto Nacional de Telecomunicações - INATEL;;Engenharias, Engenharia Elétrica;MG;O Centro de Referência em Radiocomunicações do Inatel atua no desenvolvimento de pesquisas em comunicações móveis e áreas correlatas, tendo sido pioneiro nos estudos e contribuições paras as redes 5G e 6G no Brasil. O CRR atua com diversas outras instituições de pesquisa nacionais e internacionais, sendo o líder do projeto Brasil 6G. A atuação dos pesquisadores do CRR culminou na publicação de diversos artigos em periódicos e eventos científicos de relevância internacional, além de ter permitido a transferência de tecnologias inovadoras para o mercado. Além disso, o CRR liderou o projeto 5G-RANGE, que resultou em uma nova proposta de rede móvel voltada para áreas remotas e rurais, ou seja, o CRR atua no desenvolvimento de tecnologias de comunicação móvel que estejam alinhadas com os casos de uso e verticais consideradas estratégicas para o Brasil.;{"Nome":Comunicações Móveis,"Q_Estudantes":3,"Q_Pesquisadores":6};{"Nome":Universidade Federal de Uberlândia,"Sigla":UFU,"UF":MG}|{"Nome":Universidade Federal do Pará,"Sigla":UFPA,"UF":PA}|{"Nome":Universidade Federal do Ceará,"Sigla":UFC,"UF":CE}|{"Nome":Universidade Federal de Goiás,"Sigla":UFG,"UF":GO}|{"Nome":Universidade do Vale do Rio dos Sinos,"Sigla":UNISINOS,"UF":RS}|{"Nome":Universidade Federal do Rio de Janeiro,"Sigla":UFRJ,"UF":RJ}|{"Nome":Universidade Estadual de Campinas,"Sigla":UNICAMP,"UF":SP};{"Formação acadêmica":Doutorado,"Pesquisadores":4,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":6}|{"Formação acadêmica":Mestrado,"Pesquisadores":2,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":3};http://dgp.cnpq.br/dgp/espelhogrupo/780970
GeoPolítica e Planejamento Territorial (GeoPT);Certificado;2021;Natacha Silva Araújo Rena;Universidade Federal de Minas Gerais - UFMG;Escola de Arquitetura;Ciências Sociais Aplicadas, Planejamento Urbano e Regional;MG;Destacando o avanço dos processos geopolíticos e de globalização, este Grupo de Pesquisa aborda temas envolvidos com a produção territorial contemporânea, com destaque para projetos de desenvolvimento nacional e de integração regional em grande escala, associados às agendas de expansão geopolítica dos países não alinhados à OTAN, via cooperação multilateral Sul-Sul, envolvendo os principais projetos em suas diversas escalas: desde o design, a cultura, a arquitetura até o urbanismo e grandes projetos de infraestruturas. Outros temas geopolíticos e transescalares também são investigados: planejamento territorial, desenvolvimento urbano e regional, infraestrutura, geração de pólos tecnológicos, cidades inteligentes, redes colaborativas baseadas em transição de matriz econômica, energética e tecnológica dentro do novo paradigma da Quarta Revolução Industrial, geração de cadeias produtivas complexas. Como exemplo de arranjos Sul-Sul temos a formação dos BRICS, da UNASUR e da Rota da Seda.;{"Nome":Arquitetura contemporânea, produção artística e coletivos internacionais,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":BRICS+,"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":Desenvolvimento Sustentável,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Grandes Projetos Infraestrutura envolvendo projetos de mobilidade geoestratégica como ferrovias, portos, vias marítimas,"Q_Estudantes":1,"Q_Pesquisadores":3}|{"Nome":Participação, sociedade civil, ONGS, movimentos sociais e ativismos e estrangeirização,"Q_Estudantes":3,"Q_Pesquisadores":1}|{"Nome":Planejamento Territorial, Urbano, Regional,"Q_Estudantes":5,"Q_Pesquisadores":4}|{"Nome":Rota da Seda (One Belt, One Road),"Q_Estudantes":3,"Q_Pesquisadores":3};;{"Formação acadêmica":Doutorado,"Pesquisadores":7,"Estudantes":7,"Técnicos":0,"Estrangeiros":0,"Total":14}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1};http://dgp.cnpq.br/dgp/espelhogrupo/757078
GERCOM: Grupo de Pesquisa em Redes de Computadores e Comunicação Multimídia;Certificado;2003;Antonio Jorge Gomes Abelém;Universidade Federal do Pará - UFPA;Departamento de Informática;Ciências Exatas e da Terra, Ciência da Computação;AL;A Universidade Federal do Pará (UFPA) é a maior instituição pública de ensino, pesquisa e extensão na Amazônia e uma das maiores da América Latina. Por sua vez, a Faculdade de Computação da UFPA é pioneira na região Norte na formação e aperfeiçoamento de profissionais que atuam na área. A Faculdade de Computação em 2005 iniciou o Programa de Pós-Graduação em Ciência da Computação (PPGCC), que hoje possui mestrado e doutorado. O Grupo de Redes de Computadores e Comunicação Multimídia (GERCOM) da Faculdade de Computação-UFPA, criado em 2003, tem a missão de promover o desenvolvimento de pesquisa aplicada e da Inovação em Redes de Computadores e Comunicação Multimídia , buscando melhorar a qualidade de vida do ser humano em geral, e em particular da região Amazônica, mediante processos integrados de ensino, pesquisa e extensão.;{"Nome":Blockchain e Tecnologia de registro distribuídos (DLT),"Q_Estudantes":3,"Q_Pesquisadores":2}|{"Nome":Internet das Coisas e Soluções Inteligentes,"Q_Estudantes":3,"Q_Pesquisadores":6}|{"Nome":Novas Tecnologias para Internet do Futuro,"Q_Estudantes":2,"Q_Pesquisadores":7}|{"Nome":Redes Quânticas e Internet Quântica,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Redes Sem Fio de Próxima Geração,"Q_Estudantes":0,"Q_Pesquisadores":6};{"Nome":Serviço Federal de Processamento de Dados,"Sigla":SERPRO,"UF":DF}|{"Nome":Rede Nacional de Ensino e Pesquisa,"Sigla":RNP,"UF":RJ}|{"Nome":Connecta Networking - Solucões Corporativas,"Sigla":CONNECTA NET,"UF":PA}|{"Nome":Amazonia Blockchain Servicos de Tecnologia da Informacao LTDA,"Sigla":Amachains,"UF":PA};{"Formação acadêmica":Doutorado,"Pesquisadores":10,"Estudantes":4,"Técnicos":0,"Estrangeiros":0,"Total":14}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2};http://dgp.cnpq.br/dgp/espelhogrupo/22907
GPSCOM - Grupo de Pesquisa em Processamento de Sinais e Comunicações;Certificado;2011;Samuel Tumelero Valduga;Universidade Federal de Santa Maria - UFSM;Departamento de Eletrônica e Computação;Engenharias, Engenharia Elétrica;RN;O Grupo de Pesquisa em Processamento de Sinais e Comunicações (GPSCOM) teve sua criação em maio de 2011, quando alguns docentes da UFSM e UNIPAMPA decidiram se unir para criar um grupo de pesquisa que atuasse nas áreas de processamento de sinais e comunicações. As áreas de interesse são codificação de canal e fonte, estimação de canal, antenas, Beamforming, filtragem, equalização, radar passivo e do tipo SAR, Inteligência Artificial e Deep Learning. É propósito dos membros desse grupo trabalhar para que o GPSCOM torne-se uma referência nacional na área de telecomunicações e processamento digital de sinais. O Grupo vem atuando em vários projetos de pesquisas e desenvolvimento nas áreas de concentração do grupo, dos quais alguns são realizados em parceria com institutos de pesquisa, empresas e outras universidades parceiras. O trabalhado realizado pelo GPSCOM vem contribuindo para a geração de recursos humanos altamente qualificados para o mercado.;{"Nome":Antenas,"Q_Estudantes":5,"Q_Pesquisadores":3}|{"Nome":Codificação de canal,"Q_Estudantes":0,"Q_Pesquisadores":3}|{"Nome":Deep Learning,"Q_Estudantes":2,"Q_Pesquisadores":2}|{"Nome":Processamento digital de sinais,"Q_Estudantes":7,"Q_Pesquisadores":5}|{"Nome":Radar de Abertura Sintética - SAR,"Q_Estudantes":1,"Q_Pesquisadores":1}|{"Nome":Sistemas de Comunicação Sem Fio,"Q_Estudantes":3,"Q_Pesquisadores":1}|{"Nome":Sistemas de Tempo Real,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Visão Computacional com Ênfase em Reconhecimento de Padrões e Processamento de Imagens,"Q_Estudantes":1,"Q_Pesquisadores":1};{"Nome":Universidade Federal do Ceará,"Sigla":UFC,"UF":CE}|{"Nome":Instituto Tecnológico de Aeronáutica,"Sigla":ITA,"UF":SP}|{"Nome":Universidade Federal de Juiz de Fora,"Sigla":UFJF,"UF":MG}|{"Nome":Instituto Nacional de Pesquisas Espaciais,"Sigla":INPE,"UF":SP}|{"Nome":Universidade Federal de Santa Catarina,"Sigla":UFSC,"UF":SC}|{"Nome":Departamento de Ciência e Tecnologia - Exército Brasileiro,"Sigla":DCT/EB,"UF":DF}|{"Nome":INDT - INSTITUTO DE DESENVOLVIMENTO TECNOLOGICO,"Sigla":INDT,"UF":DF}|{"Nome":Universidade Federal do ABC,"Sigla":UFABC,"UF":SP}|{"Nome":Universidade Federal do Pampa,"Sigla":UNIPAMPA,"UF":RS}|{"Nome":Blekinge Institute of Technology,"Sigla":BTH,"UF":}|{"Nome":SAAB Group - Sweden,"Sigla":SAAB,"UF":}|{"Nome":Gdañsk University of Technology,"Sigla":GDA,"UF":};{"Formação acadêmica":Doutorado,"Pesquisadores":7,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":7}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":7,"Técnicos":0,"Estrangeiros":0,"Total":7}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2};http://dgp.cnpq.br/dgp/espelhogrupo/15426
GREat - Grupo de Redes de Computadores, Engenharia de Software e Sistemas;Certificado;2002;Rossana Maria de Castro Andrade;Universidade Federal do Ceará - UFC;Centro de Ciências;Ciências Exatas e da Terra, Ciência da Computação;CE;Formação de recursos humanos na graduação e pós-graduação nas linhas de pesquisa englobadas pelo grupo, 2) Integração entre pesquisadores atuando nas linhas de pesquisas inseridas no escopo do grupo em questão, 3) Colaboração nacional e internacional com outros grupos de pesquisa.;{"Nome":Engenharia de Software,"Q_Estudantes":27,"Q_Pesquisadores":11}|{"Nome":Ciência de Dados,"Q_Estudantes":6,"Q_Pesquisadores":3}|{"Nome":Internet das Coisas,"Q_Estudantes":4,"Q_Pesquisadores":6}|{"Nome":Pesquisa no Ensino de Computação,"Q_Estudantes":1,"Q_Pesquisadores":3}|{"Nome":Redes de Computadores,"Q_Estudantes":15,"Q_Pesquisadores":8}|{"Nome":Sistemas Multimídia,"Q_Estudantes":2,"Q_Pesquisadores":2};;{"Formação acadêmica":Doutorado,"Pesquisadores":18,"Estudantes":22,"Técnicos":0,"Estrangeiros":1,"Total":41}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":14,"Técnicos":1,"Estrangeiros":0,"Total":15}|{"Formação acadêmica":MBA,"Pesquisadores":0,"Estudantes":0,"Técnicos":1,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Especialização,"Pesquisadores":0,"Estudantes":0,"Técnicos":3,"Estrangeiros":0,"Total":3}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":2,"Técnicos":2,"Estrangeiros":0,"Total":4}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":16,"Técnicos":0,"Estrangeiros":0,"Total":16};http://dgp.cnpq.br/dgp/espelhogrupo/254743
Grupo de Pesquisa e Extensão em Telecomunicação - GPET;Certificado;2023;Sabi Yari Moïse BANDIRI;Universidade da Integração Internacional da Lusofonia Afro-Brasileira - UNILAB;;Engenharias, Engenharia Elétrica;PA;;{"Nome":Sistema de Comunicação Rede Móvel da 5ª , 6ª e Futuras Gerações,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Sistemas de Comunicações em Redes Ópticas,"Q_Estudantes":2,"Q_Pesquisadores":1}|{"Nome":Tecnologias da Internet das Coisas (IoT) e Internet da Energia - IoE,"Q_Estudantes":3,"Q_Pesquisadores":1}|{"Nome":Transferência de Energia sem Fios (Wireless Power/Energy Transfer),"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Técnicas Avançadas de Modulação e Codificação de Erros do Canal,"Q_Estudantes":0,"Q_Pesquisadores":1};;{"Formação acadêmica":Doutorado,"Pesquisadores":2,"Estudantes":0,"Técnicos":0,"Estrangeiros":2,"Total":4}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":0,"Técnicos":1,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":4,"Técnicos":1,"Estrangeiros":0,"Total":5}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1};http://dgp.cnpq.br/dgp/espelhogrupo/785449
