Grupo;Situação;Ano Formação;Líder;Instituição;Unidade;Área predominante;UF;Repercussão;Linhas de Pesquisa;Instituições Parceiras;Indicadores de RH;link
AHRNA - Aplicações hidroambientais com redes neurais artificiais;Certificado;2016;Olavo Correa Pedrollo;Universidade Federal do Rio Grande do Sul - UFRGS;Instituto de Pesquisas Hidráulicas;Engenharias, Engenharia Sanitária;RS;O grupo contribui para consolidar e divulgar recursos experimentais para o uso de RNAs na área hídroambiental, com publicações em: CATENA, Water Resources Management, Hydrological Sciences Journal, Hydrobiologia, Applied and Environmental Soil Science, Revista Brasileira de Meteorologia, Journal of Hydrology, Engineering Applications of Artificial Intelligence, Hydrology and Earth System Sciences, American Journal of Climate Change, Hydrology and earth system sciences, American Journal of Climate Change, Revista Brasileira de Recursos Hídricos, Irrigation and Drainage Systems Engineering e Journal of Limnology. O grupo tem contribuído para as discussões científicas envolvendo impactos de mudanças climáticas sobre a irrigação e a demanda de água, impacto ambiental de reservatórios sobre as planícies de inundação do Pantanal e o uso de redes neurais para simular diversos fenômenos hidrológicos e ambientais, bem como previsão e alerta de cheias e identificação de áreas de deslizamentos;{"Nome":Aplicações hidrológicas e ambientais de redes neurais artificiais,"Q_Estudantes":2,"Q_Pesquisadores":4}|{"Nome":Estudo das alterações hidrológicas e ambientais produzidas por reservatórios.,"Q_Estudantes":1,"Q_Pesquisadores":3}|{"Nome":Identificação e previsão de áreas suscetíveis a movimentos de massa.,"Q_Estudantes":1,"Q_Pesquisadores":2}|{"Nome":Modelagem da umidade e relações solo-água com uso de redes neurais artificiais.,"Q_Estudantes":1,"Q_Pesquisadores":3}|{"Nome":Monitoramento, previsão e alerta de inundações fluviais.,"Q_Estudantes":2,"Q_Pesquisadores":2}|{"Nome":Preenchimento de falhas em séries hidrológicas.,"Q_Estudantes":2,"Q_Pesquisadores":2}|{"Nome":Previsão para o controle de recursos hídricos,"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":Processos hidrossedimentológicos em bacias representativas, reservatórios e no meio fluvial.,"Q_Estudantes":3,"Q_Pesquisadores":3}|{"Nome":Simulação estocástica de processos hidrológicos.,"Q_Estudantes":0,"Q_Pesquisadores":3};;{"Formação acadêmica":Doutorado,"Pesquisadores":6,"Estudantes":5,"Técnicos":0,"Estrangeiros":0,"Total":11}|{"Formação acadêmica":Mestrado,"Pesquisadores":1,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":3,"Técnicos":0,"Estrangeiros":0,"Total":3};http://dgp.cnpq.br/dgp/espelhogrupo/211183
AIDA - Grupo de Estudos em Artificial Intelligence and Data Analytics;Certificado;2022;Ana Carolina Costa de Oliveira;Instituto de Educação Superior da Paraíba - IESP;FACULDADE DE TECNOLOGIA DA PARAÍBA;Ciências Exatas e da Terra, Ciência da Computação;PB;Desenvolver de uma cultura orientada a dados (Data-driven), ou seja, um ambiente em que se estude inteligência artificial e modelos de inteligência artificial.;{"Nome":Aplicações de Ciências de Dados,"Q_Estudantes":4,"Q_Pesquisadores":3};;{"Formação acadêmica":Doutorado,"Pesquisadores":2,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Mestrado,"Pesquisadores":1,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Especialização - Residência médica,"Pesquisadores":0,"Estudantes":0,"Técnicos":1,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1};http://dgp.cnpq.br/dgp/espelhogrupo/778261
Análise de Dados em Saúde;Excluído;2020;Ricardo da Silva Santos ;Universidade de Mogi das Cruzes - UMC;;Ciências Exatas e da Terra, Ciência da Computação;SP;O grupo tem como propósito desenvolver estudos a partir da aplicação das técnicas de análise de dados em registros médicos-hospitalares e/ou da saúde populacional. O escopo desses estudos considera tanto análises retrospectivas quanto prospectivas, e englobam as seguintes linhas de pesquisa da computação: Big Data, Data Mining, Text Mining, Process Mining, Artificial Iintelligence, Ontology e Situational Awareness.;;;{"Formação acadêmica":Doutorado,"Pesquisadores":4,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":5}|{"Formação acadêmica":Mestrado Profissional,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1};http://dgp.cnpq.br/dgp/espelhogrupo/620067
ArgAI - ARGumentation applied to Artificial Intelligence;Certificado;2020;Alison Roberto Panisson;Universidade Federal de Santa Catarina - UFSC;;Ciências Exatas e da Terra, Ciência da Computação;SC;O objetivo desse projeto de pesquisa está centrado no desenvolvimento de técnicas de inteligência artificial mais transparentes que visam melhorar a vida das pessoas, em particular, no desenvolvimento de técnicas que utilizam argumentação. Dessa forma, técnicas de inteligência artificial poderiam ter um papel mais abrangente em nossa sociedade.;{"Nome":Inteligência Artificial,"Q_Estudantes":4,"Q_Pesquisadores":3}|{"Nome":Agentes Autônomos e Sistemas Multiagentes,"Q_Estudantes":3,"Q_Pesquisadores":3}|{"Nome":Tecnologias Chatbots,"Q_Estudantes":1,"Q_Pesquisadores":1}|{"Nome":Teoria da Argumentação,"Q_Estudantes":3,"Q_Pesquisadores":2}|{"Nome":Teoria da Mente,"Q_Estudantes":0,"Q_Pesquisadores":2};{"Nome":Pontifícia Universidade Católica do Rio Grande do Sul,"Sigla":PUCRS,"UF":RS}|{"Nome":Universidade Federal de Pelotas,"Sigla":UFPEL,"UF":RS}|{"Nome":Institut National de Recherche en Informatique et en Automatique - Siège,"Sigla":INRIA,"UF":}|{"Nome":Kings College - Strand Campus,"Sigla":KCL,"UF":};{"Formação acadêmica":Doutorado,"Pesquisadores":3,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":3}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":3,"Técnicos":0,"Estrangeiros":0,"Total":3};http://dgp.cnpq.br/dgp/espelhogrupo/700933
Artificial and Machine Intelligence in Networks;Certificado;2018;Murillo Guimarães Carneiro;Universidade Federal de Uberlândia - UFU;Faculdade de Ciências da Computação;Ciências Exatas e da Terra, Ciência da Computação;MG;Group of researchers interested in the theoretical and applied development of machine learning solutions based on networks. Research topics include but are not limited to neural networks, complex networks, Bayesian networks and graph-based learning.;{"Nome":Data Science Applications,"Q_Estudantes":5,"Q_Pesquisadores":1}|{"Nome":Deep learning in networks,"Q_Estudantes":3,"Q_Pesquisadores":2}|{"Nome":Machine learning in complex networks,"Q_Estudantes":10,"Q_Pesquisadores":2};;{"Formação acadêmica":Doutorado,"Pesquisadores":3,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":4}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":5,"Técnicos":0,"Estrangeiros":0,"Total":5}|{"Formação acadêmica":Especialização,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":5,"Técnicos":0,"Estrangeiros":0,"Total":5}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":6,"Técnicos":0,"Estrangeiros":0,"Total":6};http://dgp.cnpq.br/dgp/espelhogrupo/356216
BrAIN - Brazilian Artificial Intelligence Networking in Medicine;Excluído;2010;Aydano Pamponet Machado ;Universidade Federal de Alagoas - UFAL;;Ciências da Saúde, Medicina;AL;BrAIN - Brazilian Artificial Intelligence Networking in Medicine Grupo multicêntrico composto por pesquisadores da Computação, Medicina e Física de diferentes regiões do Brasil. Apesar de pouco usual, a construção de parcerias estratégicas com base na interdisciplinaridade tem sido uma poderosa ferramenta de transformação. Na Medicina mundial, esta interação provocou uma verdadeira revolução tecnológica, expandindo o leque de opções terapêuticas e diagnósticas, tornando-as cada vez mais precisas e seguras. Acreditando na força desta interdisciplinaridade, esse grupo de pesquisa foi criado com o propósito de desenvolver soluções inovadoras tanto em software quanto em hardware.;{"Nome":Análise e Processamento de Sinais Biomecânicos,"Q_Estudantes":2,"Q_Pesquisadores":2}|{"Nome":Inteligência Artificial em Catarata e Cirurgia Refrativa,"Q_Estudantes":12,"Q_Pesquisadores":5}|{"Nome":Inteligência Artificial em Endocrinologia e Metabolismo,"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":Inteligência Computacional para as propriedades biomecânicas da córnea,"Q_Estudantes":8,"Q_Pesquisadores":6}|{"Nome":Inteligência Computacional para o implante de segmentos intra-estromais,"Q_Estudantes":0,"Q_Pesquisadores":5};{"Nome":Centro de Informática,"Sigla":CIN,"UF":PE}|{"Nome":Centro Oftalmológico Lyra e Antunes,"Sigla":Oculare,"UF":AL};{"Formação acadêmica":Doutorado,"Pesquisadores":9,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":10}|{"Formação acadêmica":Mestrado,"Pesquisadores":2,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":3}|{"Formação acadêmica":Especialização - Residência médica,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":7,"Técnicos":0,"Estrangeiros":0,"Total":7}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":10,"Técnicos":0,"Estrangeiros":0,"Total":10};http://dgp.cnpq.br/dgp/espelhogrupo/37245
Capacidades de Informação e de Tecnologia Digital;Certificado;2020;Antonio Carlos Gastaud Maçada;Universidade Federal do Rio Grande do Sul - UFRGS;Escola de Administração;Ciências Sociais Aplicadas, Administração;RS;The Information Capabilities and Digital Technologies research group conducts studies into Big Data, Artificial Intelligence, Internet of Things, Information and Data Governance, Data Driven Culture, Data Strategy Knowledge Management and Information Overload. In the field in digital technologies we study Digital Technologies in Digital ecosystems. We analyze these topics in the light of individual and collective behaviors and organizational factors, while adopting individual and organizational productivity and performance as well as sustainable competitive advantage as dependent variables. The studies will be carried out in the areas of health, finance, manufacturing, retail and services based on digital platforms.;{"Nome":Adoção e Pós-adoção de TI,"Q_Estudantes":1,"Q_Pesquisadores":1}|{"Nome":Capacidade de Gestão da Informação,"Q_Estudantes":1,"Q_Pesquisadores":3}|{"Nome":Capacidade de Transformação Digital,"Q_Estudantes":1,"Q_Pesquisadores":2}|{"Nome":Comportamento Workaround, Shadow IT e em Sistemas de Informação (SI),"Q_Estudantes":4,"Q_Pesquisadores":3}|{"Nome":Governança de Dados e da Tecnologia da Informação,"Q_Estudantes":4,"Q_Pesquisadores":2};;{"Formação acadêmica":Doutorado,"Pesquisadores":5,"Estudantes":6,"Técnicos":0,"Estrangeiros":0,"Total":11}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2};http://dgp.cnpq.br/dgp/espelhogrupo/561345
Computational Bioacoustic Research Unit - CO.BRA;Certificado;2013;Karl-Ludwig Schuchmann;Universidade Federal de Mato Grosso - UFMT;Coordenação de Programas de Pós-Graduação em Ciências Bilógicas;Ciências Exatas e da Terra, Ciência da Computação;MT;CO.BRA é uma rede científica interdisciplinar sediada na Universidade Federal de Mato Grosso (UFMT) dedicada à pesquisa através do monitoramento acústico automatizado da biodiversidade do Pantanal. Os membros da equipe vêm de vários Institutos-UFMT, como o Instituto Nacional de Ciências e Tecnologia de Áreas Úmidas (INAU/CNPq), o Instituto de Biociências (IB), e o Instituto de Computação (IC). Os laboratórios da Unidade CO.BRA estão sediados no Instituto de Biociências, Laboratório de Ecologia e Taxonomia de Artrópodes (LETA) e no Instituto de Computação. A equipe do CO.BRA é composta por oito subunidades de pesquisa (aquisição de dados, bioacústica, desenvolvimento de sistemas, processamento de sinais, inteligência artificial, comunicação de dados, transferência de conhecimento), além de uma sessão de gerenciamento de projetos. O Grupo CO.BRA representa uma evolução das interações entre a UFMT com Universidades Européias no monitoramento de biodiversidade.;{"Nome":Big Data,"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":BIOACÚSTICA,"Q_Estudantes":0,"Q_Pesquisadores":5}|{"Nome":Biomonitoramento automatizado,"Q_Estudantes":3,"Q_Pesquisadores":5}|{"Nome":Estudos Entomo-Ecológicos,"Q_Estudantes":2,"Q_Pesquisadores":2}|{"Nome":Inteligência computacional e aprendizado de máquinas,"Q_Estudantes":1,"Q_Pesquisadores":2}|{"Nome":Processamento Digital de Áudio,"Q_Estudantes":0,"Q_Pesquisadores":3};{"Nome":University of Birmingham,"Sigla":BIRMINGHAM,"UF":}|{"Nome":Interfacultair Centrum Voor Informatica,"Sigla":,"UF":}|{"Nome":Estância Ecológica SESC Pantanal,"Sigla":EESP,"UF":MT}|{"Nome":Zoologisches Forschungsmuseum Alexander Koenig,"Sigla":ZFMK,"UF":};{"Formação acadêmica":Doutorado,"Pesquisadores":9,"Estudantes":3,"Técnicos":0,"Estrangeiros":3,"Total":15}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1};http://dgp.cnpq.br/dgp/espelhogrupo/2075
DASMAE - Research Group on Data Science and Machine Learning Applied to Engineering;Certificado;2022;Emerson Felipe Felix;Universidade Estadual Paulista Júlio de Mesquita Filho - UNESP;Faculdade de Engenharia de Guaratinguetá;Engenharias, Engenharia Civil;SP;In recent years, interest on Artificial Intelligence in engineering research has increased. As example, artificial neural networks have similar characteristics to biological neural networks, efficiently helping in the recognition of patterns and behaviors, making it ideal to provide an accurate tool to map and understand several problems. This research group aims to apply Data Science and Machine Learning to solve and generate models to the most diverse fields of civil engineering.;{"Nome":Desenvolvimento e Análise de Modelos Preditivos e de Tomada de Decisão,"Q_Estudantes":4,"Q_Pesquisadores":6};{"Nome":Indian Institute of Technology Madras,"Sigla":IITMadras,"UF":};{"Formação acadêmica":Doutorado,"Pesquisadores":6,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":6}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":3,"Técnicos":0,"Estrangeiros":0,"Total":3}|{"Formação acadêmica":Ensino Profissional de nível técnico,"Pesquisadores":0,"Estudantes":0,"Técnicos":1,"Estrangeiros":0,"Total":1};http://dgp.cnpq.br/dgp/espelhogrupo/781034
Data Science Research Group - DSRG;Certificado - Não-atualizado há mais de 12 meses;2020;Erick Galani Maziero ;Universidade Federal de Lavras - UFLA;Departamento de Ciência da Computação;Ciências Exatas e da Terra, Ciência da Computação;MG;O DSRG conta com uma equipe multidisciplinar e interinstitucional, de cientistas da computação, linguistas e estatísticos. O grupo conta, portanto, com pesquisadores capacitados nas áreas envolvidas na ciência dos dados: Computação, Estatística/Matemática e Linguística. Criado com o intuito de realizar pesquisas na recente área denominada Ciência de Dados, o grupo objetiva principalmente a investigação, desenvolvimento e aprimoramento de processos da Ciência de Dados, a saber, aquisição, análise e visualização e pré-processamento de grandes quantidades de dados dos mais variados tipos, extração de conhecimentos para criação e disponibilização de sistemas inteligentes. Como resultado, os trabalhos do DSRG impactarão diretamente a sociedade, por lançar mão do grande volume de dados que a sociedade, impactada pelas tecnologias digitais, gera em todos os instantes.;{"Nome":Aprendizado de Máquina (Machine Learning),"Q_Estudantes":4,"Q_Pesquisadores":5}|{"Nome":Aquisição, Visualização e Análise de Dados (Data Acquisition, Analysis and Visualization),"Q_Estudantes":1,"Q_Pesquisadores":2}|{"Nome":Ciência dos Dados (Data Science),"Q_Estudantes":1,"Q_Pesquisadores":6}|{"Nome":Grandes Bases de Dados (Big Data),"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Inteligência Artificial (Artificial Intelligence),"Q_Estudantes":3,"Q_Pesquisadores":3}|{"Nome":Processamento da Linguagem Natural (PLN),"Q_Estudantes":1,"Q_Pesquisadores":5}|{"Nome":Redes Neurais Profundas (Deep Learning),"Q_Estudantes":2,"Q_Pesquisadores":1};{"Nome":Universidade Federal de Lavras,"Sigla":UFLA,"UF":MG}|{"Nome":Departamento de Ciências da Computação,"Sigla":USP/SÃO CARLOS,"UF":SP};{"Formação acadêmica":Doutorado,"Pesquisadores":8,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":8}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":3,"Técnicos":0,"Estrangeiros":0,"Total":3};http://dgp.cnpq.br/dgp/espelhogrupo/602927
