Grupo;Situação;Ano Formação;Líder;Instituição;Unidade;Área predominante;UF;Repercussão;Linhas de Pesquisa;Instituições Parceiras;Indicadores de RH;link
Biofisica Computacional e Modelagem Molecular;Certificado;2013;Ernesto Raúl Caffarena;Fundação Oswaldo Cruz - FIOCRUZ;Presidência da Fiocruz;Ciências Biológicas, Biofísica;RJ;O grupo de Biofísica Computacional e Modelagem Molecular foi criado como parte do Programa de Computação Científica (PROCC) da Fundação Oswaldo Cruz no ano de 2002, com o ingresso do professor Dr. Ernesto Caffarena à instituição. Foi um dos pioneiros dentro da Fundação na área de metodologias computacionais, essencialmente a modelagem molecular, aplicada a projetos visando o estudo de alvos moleculares essenciais na busca de terapias mais eficientes para doenças negligenciadas, ampliando assim a abordagem de investigações tradicionalmente realizadas nesta instituição. Dentre os principais objetivos relacionados à pesquisa está o desenvolvimento e aplicação de métodos, técnicas e algoritmos computacionais nas áreas de desenho racional de fármacos e a análise da dinâmica de sistemas biológicos permitindo a melhor interpretação de dados estruturais e proposição de hipóteses a serem testadas experimentalmente.;;;;http://dgp.cnpq.br/dgp/espelhogrupo/36208
Computação Aplicada;Certificado;2002;Plácido Rogerio Pinheiro;Universidade de Fortaleza - UNIFOR;Vice-Reitoria de Pesquisa e Pós-Graduação;Ciências Exatas e da Terra, Ciência da Computação;CE;O grupo computação aplicada tem por objetivo prover um ambiente multidisciplinar para a formação de recursos humanos, pesquisa e desenvolvimento, na área de Sistemas e Computação requeridos na atualidade, visando aplicações e solução de um grande núimero de problemas provenientes da Engenharia. São observados conceitos e técnicas úteis para a solução de diversos problemas do mundo real. Claramente, constitui-se uma maneira de abordar problemas complexos de natureza multidisciplinar, cuja solução requer obrigatoriamdente a colaboração de especialistas de várias áreas. Além disso, permite aglutinar um conjunto de pesquisadores qualificados, em uma época em que a sociedade exige que recursos escassos sejam bem utilizados.;;;;http://dgp.cnpq.br/dgp/espelhogrupo/10059
Computação Aplicada e Interdisciplinar em Redes Sociais e Urbanas;Certificado;2018;Clodoveu Augusto Davis Junior;Universidade Federal de Minas Gerais - UFMG;Departamento de Ciência da Computação;Ciências Exatas e da Terra, Ciência da Computação;MG;O foco do grupo de pesquisa é investigar e propor soluções para problemas reais da sociedade em que a Computação induz ou facilita a colaboração entre as pessoas, no sentido da formação de bancos de dados ou da produção de conhecimento. O grupo tem atuado em gerência de dados e informação, geoinformática, computação natural, sistemas de recomendação, redes sociais e outras técnicas da Computação, aplicadas a problemas em que a colaboração entre pessoas e áreas do conhecimento é essencial. Projetos recentes abordam a solução de problemas urbanos, como transportes, planejamento e saúde pública, e redes sociais colaborativas, nos contextos de ensino de Computação, pesquisa acadêmica e produção de software.;;;;http://dgp.cnpq.br/dgp/espelhogrupo/325607
Dados Abertos e Inteligência Competitiva (DAIC);Certificado;2022;Rosângela Sarmento Silva;Universidade Federal de Sergipe - UFS;Departamento de Administração;Ciências Exatas e da Terra, Ciência da Computação;SE;O Grupo de Dados Abertos e Inteligência Competitiva (DAIC) é um dos grupos de apoio do Programa de Pós-Graduação em Ciência da Computação (PROCC), do Departamento de Computação (DCompp), do Programa de Pós-Graduação em Administração (PROPADM) e do Programa de Pós-Graduação Profissional em Administração Pública - PROFIAP do Departamento de Administração da UFS. Ele se dedica à avaliação de dados abertos governamentais e de empresas privadas e à proposição de boas práticas para viabilizar a transparência, a governança participativa, e a responsabilização dos tomadores de decisão (accountability) e também às boas práticas de Inteligência Competitiva. Nesta linha, o grupo tem conduzido estudos para avaliar dados abertos nacionais e internacionais para identificar boas práticas e destacar oportunidades de melhorias. O grupo também atua em projetos de pesquisa com foco em projetos de software de código aberto. As principais contribuições do grupo têm sido na criação de técnicas e abordagens;;;;http://dgp.cnpq.br/dgp/espelhogrupo/780824
Equações Diferenciais e Geometria;Certificado;2002;Thiago Dias Oliveira Silva;Universidade Federal Rural de Pernambuco - UFRPE;Área de Matemática;Ciências Exatas e da Terra, Matemática;PE;Este grupo foi criado para agregar pesquisadores que atuam em diferentes áreas da matemática em torno de um objetivo comum que é o estudo de modelos matemáticos. A formação dos membros inclui equações diferenciais ordinárias e parciais, bem como geometria e sistemas dinâmicos, além de ciência da computação importantes para o estudo de modelos matemáticos. A modelagem matemática tem sido desenvolvida consideravelmente nos últimos 30 anos e hoje constitui-se numa área muito ampla, comportando diferentes abordagens que vão desde uma matemática extremamente sofisticada até uma linha de ensino de matemática nos níveis médio e fundamental. O grupo deverá abrigar pesquisas que abordam modelos matemáticos relacionados à mecânica celeste, geometria, dinâmica dos fluidos, epidemiologia, ecologia, biologia, zoologia e áreas afins. Além das pesquisas desenvolvidas pelos participantes do grupo, pretendemos atuar na graduação em matemática, criando disciplinas, e oferecendo mini-cursos e seminários voltados para a modelagem matemática. Dessa forma, estaremos contribuindo para a consolidação dessa área e criando um ambiente favorável à instalação de uma futura pós-graduação em modelagem matemática e computação no âmbito desta universidade.;;;;http://dgp.cnpq.br/dgp/espelhogrupo/7030491327652865
Física Computacional e Genômica;Certificado;2008;Jose Carlos Merino Mombach;Universidade Federal de Santa Maria - UFSM;Departamento de Física;Ciências Exatas e da Terra, Física;RS;Nosso grupo iniciou suas atividades na UFSM em 2007 e desenvolve investigações nas fronteiras entre a física estatística, a computação e a genômica, tendo várias publicações internacionais e nacionais. Os pesquisadores envolvidos têm formação nas áreas de física, computação e genética e abordam problemas do ponto de vista teórico e/ou estatístico nas áreas de física, biofísica, biotecnologia e saúde. Especificamente, em biofísica e física já desenvolvemos simulações computacionais para descrever o papel da adesão celular em fenômenos de agregação de células biológicas, crescimento celular e na modelagem de molhabilidade de superfícies estruturadas e superhidrofobicidade. Nas áreas de biotecnologia e saúde estudamos propriedades topológicas e dinâmicas de redes genéticas para o entendimento da respostas de organismos à patógenos e da atividade gênica em patologias como o câncer e outras.;;;;http://dgp.cnpq.br/dgp/espelhogrupo/21644
GAMA - Grupo de Aprendizado de Máquina e Automação;Certificado;2013;Daniel Cruz Cavalieri;Instituto Federal de Educação, Ciência e Tecnologia do Espírito Santo - IFES;Instituto Federal do Espírito Santo - Campus Serra;Ciências Exatas e da Terra, Ciência da Computação;ES;A área da computação designada aprendizado de máquina consiste no desenvolvimento de algoritmos e programas capazes de aprender, tomando como base experiências passadas, e aplicar o conhecimento adquirido à construção de modelos capazes de realizar inferências sobre comportamentos futuros. O Grupo de Aprendizado de Máquina e Automação - GAMA, tem como objetivo desenvolver pesquisas que visam a utilização e o desenvolvimento de técnicas de aprendizado de máquina aplicadas às áreas de reconhecimento de padrões e o desenvolvimento de sistemas automatizados. Em reconhecimento de padrões, técnicas de aprendizado de máquina podem ser aplicadas, com uma abordagem de classificação, à detecção e ao diagnóstico de falhas em processos industriais, ao diagnóstico de patologias na medicina, etc, ou com a abordagem de estimação de parâmetros para a construção de modelos de predição com a finalidade de fazer estimações quantitativas de substâncias em compostos analíticos. Em sistemas automatizados, o aprendizado de máquina pode ser a base de sistemas de visão computacional aplicados, por exemplo, à navegação de robôs, ou pode ser utilizado para o desenvolvimento de sistemas de separação e classificação de produtos em diversos segmentos industriais. Uma linha de pesquisa explorada pelo GAMA, e que tem se mostrado muito promissora é a utilização da Transformada Wavelet ao processamento e análise dos sinais originários de medidas de sensores conectados á processos industriais, bem como à análise de sinais oriundos de análises espectrofotométricas.;;;;http://dgp.cnpq.br/dgp/espelhogrupo/9115112132091239
GPesCA;Certificado;2015;André Luís Olivete;Instituto Federal de São Paulo - IFSP;IFSP - Campus Presidente Epitácio;Ciências Exatas e da Terra, Ciência da Computação;SP;O Grupo de Pesquisa em Computação Aplicada (GPesCA) tem por objetivo proporcionar avanços na produção científica e tecnológica na comunidade do IFSP - Câmpus Presidente Epitácio, bem como a formação de recursos humanos para atuação em pesquisas na área de computação. Participam do GPesCA os Docentes da Área de Informática, além de alunos de Iniciação Científica. As linhas de pesquisa abordadas pelo grupo são Metodologia e Técnicas da Computação e Sistemas de Computação.;;;;http://dgp.cnpq.br/dgp/espelhogrupo/211060
Grupo de Computação Quântica - GCQ;Certificado;2017;Wilson Ricardo Matos Rabelo;Universidade Federal do Pará - UFPA;Centro Tecnológico;Ciências Exatas e da Terra, Física;AL;O grupo de pesquisa foi criado em 2017. E como primeiro resultado dos seus trabalhos relacionados a pesquisa no ensino da computação, como também, o uso de novas tecnologias para aplicações usando processadores quânticos disponíveis gratuitamente na nuvem. Seguem os pontos relevantes do grupo: (1) RABELO, WILSON R. M., COSTA, M. L. M. . Uma abordagem pedagógica no ensino da computação quântica com um processador quântico de 5-qbits. REVISTA BRASILEIRA DE ENSINO DE FÍSICA (ONLINE), v. 40, p. e4306-1-e4306-10, 2018. https://doi.org/10.1590/1806-9126-rbef-2018-0038 (2) Site do laboratório de Computação Quântica criado através do Edital LABINFRA-2020/PROEG/UFPA: https://sites.google.com/ufpa.br/quantumlab/lcq;;;;http://dgp.cnpq.br/dgp/espelhogrupo/259443
Grupo de Estudos e Pesquisa em Imersividade e Ambientes Expandidos;Certificado;2020;Anésio Azevedo Costa Neto;Instituto Federal de São Paulo - IFSP;IFSP - Campus Votuporanga;Lingüística, Letras e Artes, Artes;SP;O Grupo de Estudos e Pesquisa em Imersividade de Ambientes Expandidos (GEPIAE) resulta da iniciativa de pesquisadores de áreas distintas no intuito de compreender a imersividade no contexto das artes visuais, arquitetura e computação, buscando modos (imateriais) e meios (materiais ¿ mídias) para o aprimoramento da experiência de imersão. Neste sentido, a relevância da presente proposta reside na integração entre metodologias e práticas investigativas distintas a fim de abordar o conceito de imersividade e ambientes expandidos. Tendo definido esse objetivo geral, nosso intuito também se volta para a prática criadora no que tange a desenvolver estratégias criativas para o uso de tecnologias imersivas. Além disso, visamos refletir acerca das possíveis consequências sociológicas, psicológicas, pedagógicas e filosóficas a partir da inserção das tecnologias da imersividade no cotidiano humano.;;;;http://dgp.cnpq.br/dgp/espelhogrupo/2872340950280057
