Grupo;Situação;Ano Formação;Líder;Instituição;Unidade;Área predominante;UF;Repercussão;Linhas de Pesquisa;Instituições Parceiras;Indicadores de RH;link
Biofisica Computacional e Modelagem Molecular;Certificado;2013;Ernesto Raúl Caffarena;Fundação Oswaldo Cruz - FIOCRUZ;Presidência da Fiocruz;Ciências Biológicas, Biofísica;RJ;O grupo de Biofísica Computacional e Modelagem Molecular foi criado como parte do Programa de Computação Científica (PROCC) da Fundação Oswaldo Cruz no ano de 2002, com o ingresso do professor Dr. Ernesto Caffarena à instituição. Foi um dos pioneiros dentro da Fundação na área de metodologias computacionais, essencialmente a modelagem molecular, aplicada a projetos visando o estudo de alvos moleculares essenciais na busca de terapias mais eficientes para doenças negligenciadas, ampliando assim a abordagem de investigações tradicionalmente realizadas nesta instituição. Dentre os principais objetivos relacionados à pesquisa está o desenvolvimento e aplicação de métodos, técnicas e algoritmos computacionais nas áreas de desenho racional de fármacos e a análise da dinâmica de sistemas biológicos permitindo a melhor interpretação de dados estruturais e proposição de hipóteses a serem testadas experimentalmente.;{"Nome":Análises de redes complexas aplicadas a sistemas biológicos,"Q_Estudantes":2,"Q_Pesquisadores":2}|{"Nome":Bioinformática, Modelagem Molecular e Dinâmica Molecular,"Q_Estudantes":6,"Q_Pesquisadores":8}|{"Nome":Biologia Estrutural e Biofísica Computacional,"Q_Estudantes":4,"Q_Pesquisadores":7}|{"Nome":Cálculos Computacionais de Energia Livre aplicados ao desenvolvimento de compostos bioativos,"Q_Estudantes":0,"Q_Pesquisadores":7}|{"Nome":Modelagem Matemática e Computacional,"Q_Estudantes":1,"Q_Pesquisadores":4}|{"Nome":Otimização computacional de anticorpos com fins terapeuticos,"Q_Estudantes":3,"Q_Pesquisadores":2}|{"Nome":Simulações a pH constante em sistemas biológicos fármaco-receptor,"Q_Estudantes":0,"Q_Pesquisadores":2};;{"Formação acadêmica":Doutorado,"Pesquisadores":14,"Estudantes":5,"Técnicos":0,"Estrangeiros":0,"Total":19}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":5,"Técnicos":0,"Estrangeiros":0,"Total":5}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1};http://dgp.cnpq.br/dgp/espelhogrupo/36208
Computação Aplicada;Certificado;2002;Plácido Rogerio Pinheiro;Universidade de Fortaleza - UNIFOR;Vice-Reitoria de Pesquisa e Pós-Graduação;Ciências Exatas e da Terra, Ciência da Computação;CE;O grupo computação aplicada tem por objetivo prover um ambiente multidisciplinar para a formação de recursos humanos, pesquisa e desenvolvimento, na área de Sistemas e Computação requeridos na atualidade, visando aplicações e solução de um grande núimero de problemas provenientes da Engenharia. São observados conceitos e técnicas úteis para a solução de diversos problemas do mundo real. Claramente, constitui-se uma maneira de abordar problemas complexos de natureza multidisciplinar, cuja solução requer obrigatoriamdente a colaboração de especialistas de várias áreas. Além disso, permite aglutinar um conjunto de pesquisadores qualificados, em uma época em que a sociedade exige que recursos escassos sejam bem utilizados.;{"Nome":Ambientes Virtuais Colaborativos para Treinamento, Simulação e Ensino,"Q_Estudantes":2,"Q_Pesquisadores":1}|{"Nome":Animação por Computador,"Q_Estudantes":6,"Q_Pesquisadores":1}|{"Nome":APIs Gráficas para Dispositivos de Comunicação sem Fio,"Q_Estudantes":2,"Q_Pesquisadores":1}|{"Nome":Internet das Coisas,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Programação Matemática e Aplicações,"Q_Estudantes":5,"Q_Pesquisadores":3}|{"Nome":Sistemas de Apoio a Decisão,"Q_Estudantes":4,"Q_Pesquisadores":3}|{"Nome":Sistemas Inteligentes no Contexto da Computação Natural,"Q_Estudantes":2,"Q_Pesquisadores":2}|{"Nome":Sistemas Metaheurísticos,"Q_Estudantes":7,"Q_Pesquisadores":2}|{"Nome":Tecnologias para a saúde ( E- Health),"Q_Estudantes":0,"Q_Pesquisadores":1};{"Nome":HS Tecnologia da Informação,"Sigla":HS TECNOLOGIA,"UF":CE}|{"Nome":Companhia Energética do Ceará,"Sigla":COELCE,"UF":CE}|{"Nome":Central Geradora Termelétrica Fortaleza,"Sigla":CGTF,"UF":CE}|{"Nome":Fotosensores Tecnologia Eletrônica,"Sigla":FOTOSENSORES,"UF":CE}|{"Nome":Esmaltec,"Sigla":ESMALTEC,"UF":CE}|{"Nome":Cascaju Agroindustrial,"Sigla":CASCAJU,"UF":CE};{"Formação acadêmica":Doutorado,"Pesquisadores":9,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":11}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Especialização,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":14,"Técnicos":0,"Estrangeiros":0,"Total":14};http://dgp.cnpq.br/dgp/espelhogrupo/10059
Computação Aplicada e Interdisciplinar em Redes Sociais e Urbanas;Certificado;2018;Clodoveu Augusto Davis Junior;Universidade Federal de Minas Gerais - UFMG;Departamento de Ciência da Computação;Ciências Exatas e da Terra, Ciência da Computação;MG;O foco do grupo de pesquisa é investigar e propor soluções para problemas reais da sociedade em que a Computação induz ou facilita a colaboração entre as pessoas, no sentido da formação de bancos de dados ou da produção de conhecimento. O grupo tem atuado em gerência de dados e informação, geoinformática, computação natural, sistemas de recomendação, redes sociais e outras técnicas da Computação, aplicadas a problemas em que a colaboração entre pessoas e áreas do conhecimento é essencial. Projetos recentes abordam a solução de problemas urbanos, como transportes, planejamento e saúde pública, e redes sociais colaborativas, nos contextos de ensino de Computação, pesquisa acadêmica e produção de software.;{"Nome":Computação Aplicada a Problemas Urbanos,"Q_Estudantes":11,"Q_Pesquisadores":16}|{"Nome":Computação Aplicada a Redes Sociais,"Q_Estudantes":14,"Q_Pesquisadores":8};;{"Formação acadêmica":Doutorado,"Pesquisadores":16,"Estudantes":7,"Técnicos":0,"Estrangeiros":0,"Total":23}|{"Formação acadêmica":Mestrado,"Pesquisadores":4,"Estudantes":10,"Técnicos":0,"Estrangeiros":0,"Total":14}|{"Formação acadêmica":Graduação,"Pesquisadores":1,"Estudantes":5,"Técnicos":0,"Estrangeiros":0,"Total":6}|{"Formação acadêmica":Ensino Médio (2o grau),"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2};http://dgp.cnpq.br/dgp/espelhogrupo/325607
Dados Abertos e Inteligência Competitiva (DAIC);Certificado;2022;Rosângela Sarmento Silva;Universidade Federal de Sergipe - UFS;Departamento de Administração;Ciências Exatas e da Terra, Ciência da Computação;SE;O Grupo de Dados Abertos e Inteligência Competitiva (DAIC) é um dos grupos de apoio do Programa de Pós-Graduação em Ciência da Computação (PROCC), do Departamento de Computação (DCompp), do Programa de Pós-Graduação em Administração (PROPADM) e do Programa de Pós-Graduação Profissional em Administração Pública - PROFIAP do Departamento de Administração da UFS. Ele se dedica à avaliação de dados abertos governamentais e de empresas privadas e à proposição de boas práticas para viabilizar a transparência, a governança participativa, e a responsabilização dos tomadores de decisão (accountability) e também às boas práticas de Inteligência Competitiva. Nesta linha, o grupo tem conduzido estudos para avaliar dados abertos nacionais e internacionais para identificar boas práticas e destacar oportunidades de melhorias. O grupo também atua em projetos de pesquisa com foco em projetos de software de código aberto. As principais contribuições do grupo têm sido na criação de técnicas e abordagens;{"Nome":Dados Abertos Governamentais,"Q_Estudantes":3,"Q_Pesquisadores":6}|{"Nome":Inteligência Competitiva,"Q_Estudantes":0,"Q_Pesquisadores":4}|{"Nome":Projetos de Software Open Source,"Q_Estudantes":3,"Q_Pesquisadores":4};;{"Formação acadêmica":Doutorado,"Pesquisadores":4,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":4}|{"Formação acadêmica":Mestrado,"Pesquisadores":3,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":3}|{"Formação acadêmica":Especialização,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":6,"Técnicos":0,"Estrangeiros":0,"Total":6};http://dgp.cnpq.br/dgp/espelhogrupo/780824
Física Computacional e Genômica;Certificado;2008;Jose Carlos Merino Mombach;Universidade Federal de Santa Maria - UFSM;Departamento de Física;Ciências Exatas e da Terra, Física;RS;Nosso grupo iniciou suas atividades na UFSM em 2007 e desenvolve investigações nas fronteiras entre a física estatística, a computação e a genômica, tendo várias publicações internacionais e nacionais. Os pesquisadores envolvidos têm formação nas áreas de física, computação e genética e abordam problemas do ponto de vista teórico e/ou estatístico nas áreas de física, biofísica, biotecnologia e saúde. Especificamente, em biofísica e física já desenvolvemos simulações computacionais para descrever o papel da adesão celular em fenômenos de agregação de células biológicas, crescimento celular e na modelagem de molhabilidade de superfícies estruturadas e superhidrofobicidade. Nas áreas de biotecnologia e saúde estudamos propriedades topológicas e dinâmicas de redes genéticas para o entendimento da respostas de organismos à patógenos e da atividade gênica em patologias como o câncer e outras.;{"Nome":Genômica teórica,"Q_Estudantes":4,"Q_Pesquisadores":1}|{"Nome":Modelos computacionais e teóricos,"Q_Estudantes":1,"Q_Pesquisadores":4};;{"Formação acadêmica":Doutorado,"Pesquisadores":4,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":5}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":3,"Técnicos":0,"Estrangeiros":0,"Total":3};http://dgp.cnpq.br/dgp/espelhogrupo/21644
GAMA - Grupo de Aprendizado de Máquina e Automação;Certificado;2013;Daniel Cruz Cavalieri;Instituto Federal de Educação, Ciência e Tecnologia do Espírito Santo - IFES;Instituto Federal do Espírito Santo - Campus Serra;Ciências Exatas e da Terra, Ciência da Computação;ES;A área da computação designada aprendizado de máquina consiste no desenvolvimento de algoritmos e programas capazes de aprender, tomando como base experiências passadas, e aplicar o conhecimento adquirido à construção de modelos capazes de realizar inferências sobre comportamentos futuros. O Grupo de Aprendizado de Máquina e Automação - GAMA, tem como objetivo desenvolver pesquisas que visam a utilização e o desenvolvimento de técnicas de aprendizado de máquina aplicadas às áreas de reconhecimento de padrões e o desenvolvimento de sistemas automatizados. Em reconhecimento de padrões, técnicas de aprendizado de máquina podem ser aplicadas, com uma abordagem de classificação, à detecção e ao diagnóstico de falhas em processos industriais, ao diagnóstico de patologias na medicina, etc, ou com a abordagem de estimação de parâmetros para a construção de modelos de predição com a finalidade de fazer estimações quantitativas de substâncias em compostos analíticos. Em sistemas automatizados, o aprendizado de máquina pode ser a base de sistemas de visão computacional aplicados, por exemplo, à navegação de robôs, ou pode ser utilizado para o desenvolvimento de sistemas de separação e classificação de produtos em diversos segmentos industriais. Uma linha de pesquisa explorada pelo GAMA, e que tem se mostrado muito promissora é a utilização da Transformada Wavelet ao processamento e análise dos sinais originários de medidas de sensores conectados á processos industriais, bem como à análise de sinais oriundos de análises espectrofotométricas.;{"Nome":Ciências dos Materiais aplicada a Engenharia,"Q_Estudantes":1,"Q_Pesquisadores":3}|{"Nome":Dispositivos e Sistemas ópticos,"Q_Estudantes":0,"Q_Pesquisadores":5}|{"Nome":Inteligência Artificial Aplicada,"Q_Estudantes":5,"Q_Pesquisadores":8}|{"Nome":Modelagem, Simulação e Controle de Processos,"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":Robótica Aplicada,"Q_Estudantes":0,"Q_Pesquisadores":6}|{"Nome":Visão Computacional Aplicada,"Q_Estudantes":0,"Q_Pesquisadores":6};{"Nome":Companhia Vale do Rio Doce,"Sigla":CVRD,"UF":RJ}|{"Nome":Universidade Federal do Espírito Santo,"Sigla":UFES,"UF":ES}|{"Nome":ArcelorMittal Brasil - Matriz,"Sigla":ARCELORMITTAL,"UF":MG}|{"Nome":Universidad de Alcalá,"Sigla":UAH,"UF":};{"Formação acadêmica":Doutorado,"Pesquisadores":7,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":7}|{"Formação acadêmica":Mestrado,"Pesquisadores":1,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Mestrado Profissional,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":MBA,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1};http://dgp.cnpq.br/dgp/espelhogrupo/9115112132091239
GPesCA;Certificado;2015;André Luís Olivete;Instituto Federal de São Paulo - IFSP;IFSP - Campus Presidente Epitácio;Ciências Exatas e da Terra, Ciência da Computação;SP;O Grupo de Pesquisa em Computação Aplicada (GPesCA) tem por objetivo proporcionar avanços na produção científica e tecnológica na comunidade do IFSP - Câmpus Presidente Epitácio, bem como a formação de recursos humanos para atuação em pesquisas na área de computação. Participam do GPesCA os Docentes da Área de Informática, além de alunos de Iniciação Científica. As linhas de pesquisa abordadas pelo grupo são Metodologia e Técnicas da Computação e Sistemas de Computação.;{"Nome":Metodologia e Técnicas da Computação,"Q_Estudantes":8,"Q_Pesquisadores":10}|{"Nome":Sistemas Computação,"Q_Estudantes":5,"Q_Pesquisadores":6};;{"Formação acadêmica":Doutorado,"Pesquisadores":5,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":5}|{"Formação acadêmica":Mestrado,"Pesquisadores":5,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":6}|{"Formação acadêmica":Especialização,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":9,"Técnicos":0,"Estrangeiros":0,"Total":9}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2};http://dgp.cnpq.br/dgp/espelhogrupo/211060
Grupo de Computação Quântica - GCQ;Certificado;2017;Wilson Ricardo Matos Rabelo;Universidade Federal do Pará - UFPA;Centro Tecnológico;Ciências Exatas e da Terra, Física;AL;O grupo de pesquisa foi criado em 2017. E como primeiro resultado dos seus trabalhos relacionados a pesquisa no ensino da computação, como também, o uso de novas tecnologias para aplicações usando processadores quânticos disponíveis gratuitamente na nuvem. Seguem os pontos relevantes do grupo: (1) RABELO, WILSON R. M., COSTA, M. L. M. . Uma abordagem pedagógica no ensino da computação quântica com um processador quântico de 5-qbits. REVISTA BRASILEIRA DE ENSINO DE FÍSICA (ONLINE), v. 40, p. e4306-1-e4306-10, 2018. https://doi.org/10.1590/1806-9126-rbef-2018-0038 (2) Site do laboratório de Computação Quântica criado através do Edital LABINFRA-2020/PROEG/UFPA: https://sites.google.com/ufpa.br/quantumlab/lcq;{"Nome":Algoritmos e circuitos quânticos,"Q_Estudantes":0,"Q_Pesquisadores":3}|{"Nome":Computadores quânticos reais e aplicações,"Q_Estudantes":0,"Q_Pesquisadores":3}|{"Nome":Computação e Informação Quântica aplicada ao Ensino de Física,"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":Qiskit e suas aplicações,"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":Simuladores quânticos,"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":Simuladores quânticos aplicados ao ensino de física e engenharia,"Q_Estudantes":0,"Q_Pesquisadores":3};;{"Formação acadêmica":Doutorado,"Pesquisadores":3,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":3}|{"Formação acadêmica":Mestrado,"Pesquisadores":2,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":2};http://dgp.cnpq.br/dgp/espelhogrupo/259443
Grupo de Estudos e Pesquisa em Imersividade e Ambientes Expandidos;Certificado;2020;Anésio Azevedo Costa Neto;Instituto Federal de São Paulo - IFSP;IFSP - Campus Votuporanga;Lingüística, Letras e Artes, Artes;SP;O Grupo de Estudos e Pesquisa em Imersividade de Ambientes Expandidos (GEPIAE) resulta da iniciativa de pesquisadores de áreas distintas no intuito de compreender a imersividade no contexto das artes visuais, arquitetura e computação, buscando modos (imateriais) e meios (materiais ¿ mídias) para o aprimoramento da experiência de imersão. Neste sentido, a relevância da presente proposta reside na integração entre metodologias e práticas investigativas distintas a fim de abordar o conceito de imersividade e ambientes expandidos. Tendo definido esse objetivo geral, nosso intuito também se volta para a prática criadora no que tange a desenvolver estratégias criativas para o uso de tecnologias imersivas. Além disso, visamos refletir acerca das possíveis consequências sociológicas, psicológicas, pedagógicas e filosóficas a partir da inserção das tecnologias da imersividade no cotidiano humano.;{"Nome":Constituição da sensibilidade e percepção em ambientes imersivos,"Q_Estudantes":3,"Q_Pesquisadores":6}|{"Nome":Impactos da imersividade: Natureza, informação, pedagogias e epistemologias,"Q_Estudantes":2,"Q_Pesquisadores":6}|{"Nome":Poéticas e densidades da Imersividade: som, imagem, corpo e espaço,"Q_Estudantes":2,"Q_Pesquisadores":4}|{"Nome":Tecnologias da Imersividade: dispositivos, informação e métodos,"Q_Estudantes":2,"Q_Pesquisadores":3};{"Nome":IFSP - Campus Votuporanga,"Sigla":IFSP,"UF":SP};{"Formação acadêmica":Doutorado,"Pesquisadores":5,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":5}|{"Formação acadêmica":Mestrado,"Pesquisadores":2,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Mestrado Profissional,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Especialização,"Pesquisadores":0,"Estudantes":0,"Técnicos":2,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Graduação,"Pesquisadores":1,"Estudantes":4,"Técnicos":0,"Estrangeiros":0,"Total":5}|{"Formação acadêmica":Ensino Profissional de nível técnico,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Ensino Médio (2o grau),"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2};http://dgp.cnpq.br/dgp/espelhogrupo/2872340950280057
Grupo de Estudos em Sistemas Complexos;Certificado;2006;Allbens Atman Picardi Faria;Centro Federal de Educação Tecnológica de Minas Gerais - CEFET/MG;Diretoria de Departamento de Pesquisa e Pós-Graduação;Ciências Exatas e da Terra, Física;MG;O Grupo de Estudos em Sistemas Complexos (GESC) do CEFET-MG concentra pesquisadores que buscam, através de abordagens teóricas e computacionais, a investigação e compreensão de fenômenos emergentes em Sistemas Complexos. A principal área de atuação do GESC é em física teórica, com estreita interconexão com áreas correlatas como matemática, computação e engenharias, e não raro abordando temas em áreas diversas como biologia, letras, economia, geologia, ecologia etc. Contando com pesquisadores atuando em quatro linhas de pesquisa - Processos Estocásticos, Sistemas Granulares, Sistemas Quânticos e Econofísica - as repercussões e impacto das pesquisas vão muito além destas pois os projetos frequentemente possuem alto grau de interdisciplinaridade, empregando duas ou mais abordagens entre experimento, teoria, simulação e visualização. Os pesquisadores possuem sólida formação científica, com produção em revistas internacionais de alto impacto em colaboração com estudantes de pós e graduação.;{"Nome":Economia, Finanças e Econofísica,"Q_Estudantes":3,"Q_Pesquisadores":11}|{"Nome":Processos Estocásticos,"Q_Estudantes":5,"Q_Pesquisadores":15}|{"Nome":Sistemas Granulares,"Q_Estudantes":2,"Q_Pesquisadores":8}|{"Nome":Sistemas Quânticos,"Q_Estudantes":1,"Q_Pesquisadores":5};;{"Formação acadêmica":Doutorado,"Pesquisadores":29,"Estudantes":5,"Técnicos":0,"Estrangeiros":1,"Total":35}|{"Formação acadêmica":Mestrado,"Pesquisadores":2,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":4}|{"Formação acadêmica":Graduação,"Pesquisadores":2,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":4,"Técnicos":0,"Estrangeiros":0,"Total":4};http://dgp.cnpq.br/dgp/espelhogrupo/1645017844174884
