Grupo;Situação;Ano Formação;Líder;Instituição;Unidade;Área predominante;UF;Repercussão;Linhas de Pesquisa;Instituições Parceiras;Indicadores de RH;link
INTRIG (Information & Networking Technologies Research & Innovation Group);Certificado - Não-atualizado há mais de 12 meses;2014;Christian Rodolfo Esteve Rothenberg ;Universidade Estadual de Campinas - UNICAMP;Departamento de Engenharia de Computação e Automação Industrial da FEEC;Engenharias, Engenharia Elétrica;SP;Avanços no estado da arte de `redes softwarizadas', demonstrando liderança nacional e reconhecimento internacional, dentre outros temas de vnaguarda na área de redes,Publicações científicas de impacto, mais de 09 mil citações (h-index: 28, i10-index: 56, https://scholar.google.com.br/citations?user=8PxuHPkAAAAJ&hl=en, demostrações em eventos reconhecidos nas áreas de atuação (ex.: SIGCOMM, INFOCOM, ONS), palestras convidadas em sessões plenárias (ex.: HPSR'17, NETSOFT'19), tutoriais e minicursos (ex.: SBRC, SIGCOMM'16, NETSOFT'17), organização de eventos, participação em corpos editoriais, repositórios open source em https://github.com/intrig-unicamp/ com protótipos de software das pesquisas desenvolvidas, assim como os dados e instruções que tornem nossas pesquisas reprodutíveis e muito utilizadas pela comunidade (ex.: Mininet-WiFi), transferência de conhecimento e tecnologia para parceiros nacionais (ex.: CPQD, Padtec) e internacionais (Ericsson, Samsung,INRIA, Telefonica), etc.;{"Nome":Redes de Computadores,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":5G,"Q_Estudantes":3,"Q_Pesquisadores":5}|{"Nome":Adaptive HTTP Video Streaming,"Q_Estudantes":1,"Q_Pesquisadores":1}|{"Nome":Edge Cloud Computing,"Q_Estudantes":5,"Q_Pesquisadores":1}|{"Nome":Machine Learning para redes de computadores / Machine Learning for Networking,"Q_Estudantes":5,"Q_Pesquisadores":6}|{"Nome":Network softwarization - SWx (SDN / NFV / IBN / etc.),"Q_Estudantes":7,"Q_Pesquisadores":6}|{"Nome":Programmable Dataplanes,"Q_Estudantes":5,"Q_Pesquisadores":1}|{"Nome":Quantum Internet and Quantum Computers,"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":Software-Defined Optical Networking,"Q_Estudantes":2,"Q_Pesquisadores":2}|{"Nome":Software-Defined Wireless Networking,"Q_Estudantes":1,"Q_Pesquisadores":3};{"Nome":Fundação Centro de Pesquisa e Desenvolvimento em Telecomunicações,"Sigla":CPqD,"UF":SP}|{"Nome":Departamento de Informática e Matemática Aplicada,"Sigla":UFRN,"UF":RN}|{"Nome":Centre de Recherche Inria Sophia Antipolis - Méditerranée,"Sigla":INRIA-ANTIPOLIS,"UF":}|{"Nome":Padtec - Optical Components and Systems,"Sigla":PADTEC,"UF":SP}|{"Nome":Universidade Federal do Pampa,"Sigla":UNIPAMPA,"UF":RS}|{"Nome":Ericsson Telecomunicações - Matriz,"Sigla":ERICSSON,"UF":SP}|{"Nome":Queen Mary - University of London,"Sigla":QMUL,"UF":}|{"Nome":Departamento de Computação - DComp,"Sigla":UFSCar\DComp,"UF":SP};{"Formação acadêmica":Doutorado,"Pesquisadores":7,"Estudantes":6,"Técnicos":0,"Estrangeiros":0,"Total":13}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":4,"Técnicos":0,"Estrangeiros":1,"Total":5}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":1,"Técnicos":1,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":3,"Técnicos":0,"Estrangeiros":0,"Total":3};http://dgp.cnpq.br/dgp/espelhogrupo/636869
FOCS Laboratory - Fog, Cloud, Sky Laboratory;Certificado;2020;Aletéia Patrícia Favacho de Araújo;Universidade de Brasília - UnB;Instituto de Ciências Exatas;Ciências Exatas e da Terra, Ciência da Computação;DF;O grupo tem atuado na área de alto desempenho, em especial, na área de fog, cloud e sky computing. E seus resultados têm sido publicados em eventos e periódicos qualificados na área.;{"Nome":Alocação de Recursos em Cloud, Fog e Edge Computing,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Análise de Big Data,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Desenvolvimento de Workflow Científico e Mineração de Dados Aplicados a Bioinformática,"Q_Estudantes":3,"Q_Pesquisadores":3}|{"Nome":FaaS - Function as a Service,"Q_Estudantes":2,"Q_Pesquisadores":1}|{"Nome":Gerenciamento de Recursos em Fog, Cloud e Sky computing,"Q_Estudantes":2,"Q_Pesquisadores":2}|{"Nome":Internet of Things for Smart Cities,"Q_Estudantes":0,"Q_Pesquisadores":5}|{"Nome":Orquestradores de Nuvem,"Q_Estudantes":0,"Q_Pesquisadores":4};;{"Formação acadêmica":Doutorado,"Pesquisadores":7,"Estudantes":4,"Técnicos":0,"Estrangeiros":1,"Total":12}|{"Formação acadêmica":Mestrado,"Pesquisadores":2,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2};http://dgp.cnpq.br/dgp/espelhogrupo/0706849351192883
GICAP;Certificado;2004;Luis Enrique Zárate Gálvez;Pontifícia Universidade Católica de Minas Gerais - PUC Minas;Instituto de Ciências Exatas e Informática da PUC Minas;Ciências Exatas e da Terra, Ciência da Computação;MG;We are interested in extraction of knowledge from data. These data can be structured, semi-structured and unstructured. We use theories and techniques drawn from fields such as: computation, statistics, mathematics and information theory proposing new approach and/or algorithms for: methodologies for knowledge discovery, conceptual modeling, pre-processing of data, machine learning, statistical learning, formal verification of algorithms, computer programming for explosive problem and high performance computing. Nowadays we are interested in adapt the conventional solutions of Data Mining for Big Data Problems. We are interested in several domains, such as Bioinformatics and Health, Education, Social Networks, Weather forecasting, Prediction of stock, Siderurgical Industry, Energy, Marketing optimization, Fraud detection, Security and Public policy.;{"Nome":Análise Formal de Conceitos,"Q_Estudantes":7,"Q_Pesquisadores":3}|{"Nome":Ciência de Dados,"Q_Estudantes":35,"Q_Pesquisadores":2}|{"Nome":Data Mining e Big Data: Suas Aplicações,"Q_Estudantes":0,"Q_Pesquisadores":2};;{"Formação acadêmica":Doutorado,"Pesquisadores":4,"Estudantes":8,"Técnicos":0,"Estrangeiros":0,"Total":12}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":30,"Técnicos":0,"Estrangeiros":0,"Total":30};http://dgp.cnpq.br/dgp/espelhogrupo/628926
Grupo de pesquisa em cibersegurança e ciência de dados - CReG;Certificado - Não-atualizado há mais de 12 meses;2017;Rodrigo Sanches Miani ;Universidade Federal de Uberlândia - UFU;Faculdade de Ciências da Computação;Ciências Exatas e da Terra, Ciência da Computação;MG;O grupo CReG conduz pesquisas relacionadas ao desenvolvimento de métodos inovadores para detecção de ataques e quantificação de cibersegurança. Na área de detecção de ataques, o grupo trabalha com soluções para o tratamento de alertas gerados por sistemas de detecção de intrusão, detecção de ataques em paradigmas de redes emergentes (IoT, Cloud/Edge Computing, SDN) e uso de técnicas de aprendizado de máquina para criação de sistemas de detecção de intrusão robustos e resistes a ataques desconhecidos. Com relação a quantificação de cibersegurança, o grupo busca compreender as ações que originam ataques e como eles podem ser mitigados. Nessa linha, o grupo busca mensurar os factores que impactam os atacantes e também as vítimas. O grupo é composto, majoritariamente, por pesquisadores da Universidade Federal de Uberlândia e da Universidade Estadual de Londrina.;{"Nome":Ciência de Segurança (Security Science),"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Sistemas de deteção de intrusão,"Q_Estudantes":0,"Q_Pesquisadores":1};;{"Formação acadêmica":Doutorado,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1};http://dgp.cnpq.br/dgp/espelhogrupo/770267
Grupo de pesquisa em Internet das Coisas;Certificado;2014;Tiago Guedes Ferreira Barros;Centro de Estudos e Sistemas Avançados do Recife - CESAR;;Ciências Exatas e da Terra, Ciência da Computação;PE;O grupo de pesquisa em Internet das Coisas do CESAR tem por objetivo desenvolver competências em IoT ao mobilizar a comunidade de pesquisa no Brasil e no exterior em torno do tema, com o objetivo de preparar o Brasil para esta próxima revolução da internet que está acontecendo. Suas principais ações envolvem: (1) Desenvolver uma meta-plataforma open source de IoT com foco em interoperabilidade, para que tenhamos o real valor da IoT ao conectar e integrar as diversas plataformas já existentes (sistema de sistemas), (2) Mobilizar a comunidade de pesquisa no Brasil e no exterior, estabelecendo parcerias que contribuam para essa ação de integração das diversas plataformas de IoT, realizando pesquisa e desenvolvimento em conjunto e promovendo o intercâmbio de estudantes e pesquisadores, (3) Publicar artigos científicos sobre as pesquisas realizadas, (4) Organizar eventos sobre o tema.;{"Nome":Fog/Edge Computing,"Q_Estudantes":2,"Q_Pesquisadores":6}|{"Nome":Indústria 4.0,"Q_Estudantes":2,"Q_Pesquisadores":6}|{"Nome":Infraestrutura e Interoperabilidade para Internet das Coisas,"Q_Estudantes":4,"Q_Pesquisadores":12}|{"Nome":Segurança para Internet das Coisas,"Q_Estudantes":1,"Q_Pesquisadores":2};{"Nome":Centro de Informática,"Sigla":CIN,"UF":PE}|{"Nome":Departamento de Estatística e Informática,"Sigla":UFPB,"UF":PB}|{"Nome":Instituto Nacional de Telecomunicações,"Sigla":INATEL,"UF":MG}|{"Nome":Sociedade Brasileira de Computação - Porto Alegre,"Sigla":SBC,"UF":RS}|{"Nome":Universidade de Pernambuco,"Sigla":UPE,"UF":PE}|{"Nome":Departamento de Informática e Matemática Aplicada,"Sigla":UFRN,"UF":RN}|{"Nome":Universidad Tecnologica Nacional,"Sigla":UTN,"UF":}|{"Nome":Agência Nacional de Telecomunicações,"Sigla":ANATEL,"UF":DF}|{"Nome":Instituto Federal de Pernambuco,"Sigla":IFPE,"UF":PE}|{"Nome":Associação Caruaruense de Ensino Superior,"Sigla":ASCES,"UF":PE}|{"Nome":Instituto de Pesquisas Eldorado - Campinas,"Sigla":ELDORADO,"UF":SP};{"Formação acadêmica":Doutorado,"Pesquisadores":6,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":6}|{"Formação acadêmica":Mestrado,"Pesquisadores":6,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":6}|{"Formação acadêmica":Especialização,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":1,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":3,"Técnicos":0,"Estrangeiros":0,"Total":3};http://dgp.cnpq.br/dgp/espelhogrupo/386278
Grupo de pesquisa em Internet das Coisas;Certificado;2014;Tiago Guedes Ferreira Barros;Centro de Estudos e Sistemas Avançados do Recife - CESAR;;Ciências Exatas e da Terra, Ciência da Computação;PE;O grupo de pesquisa em Internet das Coisas do CESAR tem por objetivo desenvolver competências em IoT ao mobilizar a comunidade de pesquisa no Brasil e no exterior em torno do tema, com o objetivo de preparar o Brasil para esta próxima revolução da internet que está acontecendo. Suas principais ações envolvem: (1) Desenvolver uma meta-plataforma open source de IoT com foco em interoperabilidade, para que tenhamos o real valor da IoT ao conectar e integrar as diversas plataformas já existentes (sistema de sistemas), (2) Mobilizar a comunidade de pesquisa no Brasil e no exterior, estabelecendo parcerias que contribuam para essa ação de integração das diversas plataformas de IoT, realizando pesquisa e desenvolvimento em conjunto e promovendo o intercâmbio de estudantes e pesquisadores, (3) Publicar artigos científicos sobre as pesquisas realizadas, (4) Organizar eventos sobre o tema.;{"Nome":Fog/Edge Computing,"Q_Estudantes":2,"Q_Pesquisadores":6}|{"Nome":Indústria 4.0,"Q_Estudantes":2,"Q_Pesquisadores":6}|{"Nome":Infraestrutura e Interoperabilidade para Internet das Coisas,"Q_Estudantes":4,"Q_Pesquisadores":12}|{"Nome":Segurança para Internet das Coisas,"Q_Estudantes":1,"Q_Pesquisadores":2};{"Nome":Centro de Informática,"Sigla":CIN,"UF":PE}|{"Nome":Departamento de Estatística e Informática,"Sigla":UFPB,"UF":PB}|{"Nome":Instituto Nacional de Telecomunicações,"Sigla":INATEL,"UF":MG}|{"Nome":Sociedade Brasileira de Computação - Porto Alegre,"Sigla":SBC,"UF":RS}|{"Nome":Universidade de Pernambuco,"Sigla":UPE,"UF":PE}|{"Nome":Departamento de Informática e Matemática Aplicada,"Sigla":UFRN,"UF":RN}|{"Nome":Universidad Tecnologica Nacional,"Sigla":UTN,"UF":}|{"Nome":Agência Nacional de Telecomunicações,"Sigla":ANATEL,"UF":DF}|{"Nome":Instituto Federal de Pernambuco,"Sigla":IFPE,"UF":PE}|{"Nome":Associação Caruaruense de Ensino Superior,"Sigla":ASCES,"UF":PE}|{"Nome":Instituto de Pesquisas Eldorado - Campinas,"Sigla":ELDORADO,"UF":SP};{"Formação acadêmica":Doutorado,"Pesquisadores":6,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":6}|{"Formação acadêmica":Mestrado,"Pesquisadores":6,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":6}|{"Formação acadêmica":Especialização,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":1,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":3,"Técnicos":0,"Estrangeiros":0,"Total":3};http://dgp.cnpq.br/dgp/espelhogrupo/0701149751468331
Grupo de Pesquisa em Segurança Computacional;Certificado;2016;Renato Bobsin Machado;Universidade Estadual do Oeste do Paraná - UNIOESTE;Campus Universitário de Foz do Iguaçu;Ciências Exatas e da Terra, Ciência da Computação;PR;O SIA-DI consiste em um método de detecção de intrusão construído inspirado biologicamente no sistema imunológico humano, definido sob o conceito de um sistema imunológico artificial. Tal sistema foi tema de dissertação de mestrado, na linha de pesquisa sobre segurança de redes, do laboratório DMC-NS da UFSC em parceria com pesquisadores da Universidade Estadual do Oeste do Paraná, dando origem ao Laboratório de Pesquisa em Segurança Computacional. A partir do estabelecimento desta parceria, foram criadas linhas de pesquisa multi-institucionais, gerando publicações científicas e a geração do registro de um programa de computador (SIA-DI). Em continuidade a linha de pesquisa são alvos de estudos métodos de segurança computacional, abrangendo a prevenção e identificação de ameaças e ataques, aplicando métodos de Aprendizado de Máquina.;{"Nome":Auditoria de Segurança Computacional,"Q_Estudantes":0,"Q_Pesquisadores":3}|{"Nome":Detecção e Prevenção de Intrusões em Ambientes Computacionais,"Q_Estudantes":3,"Q_Pesquisadores":5}|{"Nome":Fog and Edge Computing em IoT,"Q_Estudantes":3,"Q_Pesquisadores":5}|{"Nome":Inteligência Computacional Aplicada à Segurança,"Q_Estudantes":4,"Q_Pesquisadores":6};{"Nome":Departamento de Inovação Tecnológica,"Sigla":UFSC,"UF":SC}|{"Nome":Universidade Federal da Integração Latino-Americana,"Sigla":UNILA,"UF":PR};{"Formação acadêmica":Doutorado,"Pesquisadores":4,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":5}|{"Formação acadêmica":Mestrado,"Pesquisadores":1,"Estudantes":3,"Técnicos":0,"Estrangeiros":0,"Total":4}|{"Formação acadêmica":Graduação,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1};http://dgp.cnpq.br/dgp/espelhogrupo/9949785713671763
Grupo de Redes, Arquiteturas, Sistemas Operacionais e Sistemas Embarcados (GRASS);Certificado;2010;Flávio de Oliveira Silva;Universidade Federal de Uberlândia - UFU;Faculdade de Ciências da Computação;Ciências Exatas e da Terra, Ciência da Computação;MG;Este grupo é formado por professores, pesquisadores e estudantes de graduação e pós-graduação, com diversos projetos de pesquisas fomentados por agências de fomento Brasileiras e Estrangeiras (CAPES, CNPQ, FAPEMIG, FAPESP, FP7 e H.2020), com mais de uma centena de trabalhos publicados em periódicos e congressos e participante de várias iniciativas nacionais (RNP, FIBRE etc) e internacionais (EDOBRA, OFELIA, FIWARE etc). Os projetos do grupo versam sobre diversas áreas da computação tais como sistemas escaláveis, arquiteturas de alta disponibilidade, computação pervasiva, computação em nuvem, computação em grade e microeletrônica (FPGA), Games, Defesa e Segurança, entre outros. O grupo leva em conta os desafios e necessidades da sociedade com foco nas aplicações do futuro que contribuirão para transformação digital de nossa sociedade. Estas novas aplicações impões novos requisitos que serão suportados pelas redes do futuro (Future Networks) e ainda com foco na infraestrutura do futuro;{"Nome":Future Applications,"Q_Estudantes":10,"Q_Pesquisadores":14}|{"Nome":Future Infrastructure,"Q_Estudantes":2,"Q_Pesquisadores":11}|{"Nome":Future Internet Architectures,"Q_Estudantes":3,"Q_Pesquisadores":7}|{"Nome":Future Networks,"Q_Estudantes":8,"Q_Pesquisadores":10};{"Nome":Centro de Informática,"Sigla":CIN,"UF":PE}|{"Nome":Departamento de Engenharia de Sistema Eletrônicos,"Sigla":USP,"UF":SP}|{"Nome":Ministério da Ciência, Tecnologia e Inovações,"Sigla":MCTI,"UF":DF}|{"Nome":Instituto Nacional de Telecomunicações,"Sigla":INATEL,"UF":MG}|{"Nome":Departamento de Informática e Matemática Aplicada,"Sigla":UFRN,"UF":RN}|{"Nome":Universidade Federal do Pampa,"Sigla":UNIPAMPA,"UF":RS}|{"Nome":Petrobrás Distribuidora - Matriz,"Sigla":PETROBRAS,"UF":RJ}|{"Nome":Nokia Siemens Networks do Brasil Sistemas de Comunicações,"Sigla":NOKIA SIEMENS,"UF":RJ}|{"Nome":Algar Empreendimentos e Participacões,"Sigla":ALGAR,"UF":MG}|{"Nome":VM9 Tecnologia da Informação,"Sigla":VM9,"UF":RJ}|{"Nome":FUNDACAO PARA INOVACOES TECNOLOGICAS - FITEC,"Sigla":FPITF,"UF":SP}|{"Nome":Departamento de Computação - DComp,"Sigla":UFSCar\DComp,"UF":SP};{"Formação acadêmica":Doutorado,"Pesquisadores":27,"Estudantes":7,"Técnicos":0,"Estrangeiros":3,"Total":37}|{"Formação acadêmica":Mestrado,"Pesquisadores":2,"Estudantes":5,"Técnicos":0,"Estrangeiros":0,"Total":7}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":10,"Técnicos":0,"Estrangeiros":0,"Total":10};http://dgp.cnpq.br/dgp/espelhogrupo/784532
Grupo de Redes, Arquiteturas, Sistemas Operacionais e Sistemas Embarcados (GRASS);Certificado - Não-atualizado há mais de 12 meses;2010;Flávio de Oliveira Silva ;Universidade Federal de Uberlândia - UFU;Faculdade de Ciências da Computação;Ciências Exatas e da Terra, Ciência da Computação;MG;Este grupo é formado por professores, pesquisadores e estudantes de graduação e pós-graduação, com diversos projetos de pesquisas fomentados por agências de fomento Brasileiras e Estrangeiras (FP7/H.2020), com mais de uma centena de trabalhos publicados em periódicos e congressos e participante de várias iniciativas nacionais (RNP, FIBRE etc) e internacionais (EDOBRA, OFELIA, FIWARE etc). Os projetos do grupo versam sobre diversas áreas da computação tais como sistemas escaláveis, arquiteturas de alta disponibilidade, computação pervasiva, computação em nuvem, computação em grade e microeletrônica (FPGA), Games, Defesa e Segurança, entre outros.;{"Nome":Arquiteturas de Redes para Internet do Futuro,"Q_Estudantes":5,"Q_Pesquisadores":5}|{"Nome":Future Infrastructure,"Q_Estudantes":5,"Q_Pesquisadores":3}|{"Nome":Future Internet Applications,"Q_Estudantes":12,"Q_Pesquisadores":4}|{"Nome":Future Networks,"Q_Estudantes":11,"Q_Pesquisadores":9};{"Nome":Departamento de Engenharia de Sistema Eletrônicos,"Sigla":USP,"UF":SP}|{"Nome":Ministério da Ciência, Tecnologia e Inovações,"Sigla":MCTI,"UF":DF}|{"Nome":Instituto Nacional de Telecomunicações,"Sigla":INATEL,"UF":MG}|{"Nome":Universidade de Aveiro,"Sigla":UA,"UF":}|{"Nome":Departamento de Informática e Matemática Aplicada,"Sigla":UFRN,"UF":RN}|{"Nome":Fundação para Inovações Tecnológicas,"Sigla":FITEC,"UF":PE}|{"Nome":Universidade Federal do Pampa,"Sigla":UNIPAMPA,"UF":RS}|{"Nome":Nokia Siemens Networks do Brasil Sistemas de Comunicações,"Sigla":NOKIA SIEMENS,"UF":RJ}|{"Nome":Algar Empreendimentos e Participacões,"Sigla":ALGAR,"UF":MG}|{"Nome":Petróleo Brasileiro - Rio de Janeiro,"Sigla":PETROBRAS,"UF":RJ}|{"Nome":VM9 Tecnologia da Informação,"Sigla":VM9,"UF":RJ}|{"Nome":Departamento de Computação - DComp,"Sigla":UFSCar\DComp,"UF":SP};{"Formação acadêmica":Doutorado,"Pesquisadores":15,"Estudantes":5,"Técnicos":0,"Estrangeiros":3,"Total":23}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":4,"Técnicos":0,"Estrangeiros":0,"Total":4}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":24,"Técnicos":0,"Estrangeiros":0,"Total":24};http://dgp.cnpq.br/dgp/espelhogrupo/306027
High Efficient Agile Distributed Systems;Certificado;2021;Diego Leonel Cadette Dutra;Universidade Federal do Rio de Janeiro - UFRJ;;Ciências Exatas e da Terra, Ciência da Computação;RJ;As mudanças observadas nas plataformas computacionais impactaram a forma como a sociedade interage com os recursos tecnológicos. Cada vez mais dispositivos móveis são as principais ferramentas de acesso aos produtos digitais, em cenários nos quais retira-se a carga de processamento do aparelho dos usuários, migrando a mesma para uma infraestrutura computacional remota. Esta característica foi acelerada com a introdução das redes móveis de 5a geração (5G), onde esses recursos computacionais passaram a ser compartilhados por serviços dos usuários e sistemas das operadoras móveis. Olhando para as demandas atuais e seus desdobramentos, o grupo de pesquisa HEADS (High Efficient Agile Distributed Systems - em português, Sistemas Distribuídos Ágeis de Alta Eficiência) tem como objetivo investigar mecanismos computacionais capazes de facilitar a implementação de novos serviços escaláveis em um ambiente computacional composto por recursos altamente heterogêneos e geograficamente distribuídos.;{"Nome":Ambiente para Co-Projeto de Hardware/Software em Plataformas de FPGAs,"Q_Estudantes":3,"Q_Pesquisadores":1}|{"Nome":Cloud Computing,"Q_Estudantes":1,"Q_Pesquisadores":1}|{"Nome":Edge Cloud Computing,"Q_Estudantes":1,"Q_Pesquisadores":1}|{"Nome":Mobile Cloud Computing,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Virtualized Environments,"Q_Estudantes":0,"Q_Pesquisadores":1};{"Nome":Aalto University,"Sigla":AALTO,"UF":};{"Formação acadêmica":Doutorado,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":3,"Técnicos":0,"Estrangeiros":0,"Total":3}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2};http://dgp.cnpq.br/dgp/espelhogrupo/761138
