Grupo;Situação;Ano Formação;Líder;Instituição;Unidade;Área predominante;UF;Repercussão;Linhas de Pesquisa;Instituições Parceiras;Indicadores de RH;link
Computability, Approximate Reasoning, Ordered structures and Logics;Em preenchimento;1997;Joao Marcos de Almeida ;Universidade Federal do Rio Grande do Norte - UFRN;Departamento de Informática e Matemática Aplicada;Ciências Exatas e da Terra, Ciência da Computação;RN;O grupo CAROL (anteriormente denominado Grupo de Lógica, Linguagem, Teoria e Aplicações) dedica-se à investigação dos fundamentos que regem as várias áreas da Ciência da Computação. A investigação desses fundamentos induz ao maior conhecimento de problemas computacionais e portanto proporciona uma melhor engenharia das aplicações e de novos paradigmas de computação. Nesse contexto, estamos interessados na modelagem rigorosa de diversos tipos de incertezas e imprecisões presentes em problemas do mundo real e que são a fonte de potenciais aplicações, em lógicas não-clássicas que são motivadas por aspectos presentes em modelos de computação, como por exemplo: tolerância à inconsistência (lógica paraconsistente) em banco de dados, raciocínio aproximado (lógica fuzzy) usado em sistemas especialistas e outras aplicações em teorias matemáticas úteis à ciência da computação (teoria de ordens parciais, continuidade, etc.), em hipercomputabilidade, em linguagens formais, etc.;{"Nome":Computação e Matemática Intervalar,"Q_Estudantes":1,"Q_Pesquisadores":4}|{"Nome":Computações no Contínuo,"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":Ferramentas e Técnicas de Ensino,"Q_Estudantes":0,"Q_Pesquisadores":3}|{"Nome":Fundamentos Matemáticos da Computação,"Q_Estudantes":5,"Q_Pesquisadores":8}|{"Nome":Hipercomputação,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Linguagens Formais e Autômatos,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Lógica Computacional,"Q_Estudantes":4,"Q_Pesquisadores":5}|{"Nome":Lógica e Sistemas Fuzzy,"Q_Estudantes":7,"Q_Pesquisadores":7}|{"Nome":Lógicas Não Clássicas,"Q_Estudantes":0,"Q_Pesquisadores":5};{"Nome":University of Birmingham,"Sigla":BIRMINGHAM,"UF":}|{"Nome":Universidade de Lisboa,"Sigla":UL,"UF":}|{"Nome":Universidade de Aveiro,"Sigla":UA,"UF":}|{"Nome":Universidad de Magallanes,"Sigla":U.MAGALLANES,"UF":}|{"Nome":Pontificia Universidad Javeriana - Cali,"Sigla":JAVERIANA,"UF":}|{"Nome":Universidad Pública de Navarra,"Sigla":UPNA,"UF":};{"Formação acadêmica":Doutorado,"Pesquisadores":11,"Estudantes":7,"Técnicos":0,"Estrangeiros":8,"Total":26}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":5,"Técnicos":0,"Estrangeiros":0,"Total":5};http://dgp.cnpq.br/dgp/espelhogrupo/7249
E-TICa: Núcleo de Estudos Filosóficos em Ética e Tecnologia da Informação e Comunicação;Certificado;2019;Ralph Leal Heck;Universidade Federal do Ceará - UFC;Instituto de Cultura e Arte;Ciências Humanas, Filosofia;CE;O Núcleo de Estudos Filosóficos em Ética, Tecnologia da Informação e Comunicação reúne profissionais, estudiosos e estudantes a fim de discutir acerca das implicações do avanço tecnológico computacional nas relações humanas. Tendo em vista o crescimento vertiginoso das tecnologias da informação, inteligência artificial e, também, da robótica, tem-se mostrado como fundamental que a Filosofia, bem como as demais áreas das humanidades, atue de maneira reflexiva para pensar nos desdobramentos éticos e impactos sociais que o desenvolvimento computacional tem gerado bem como maneiras de mitigá-los. Afinal, observa-se que, o que antes era visto como utopia futurista vem, paulatinamente, adentrando a realidade cotidiana dos indivíduos. A substituição da atividade humana por sistemas automatizados traz, consigo, a preocupação de como serão programados tais sistemas, sob quais propostas são produzidos, a serviço de quem estão e se a ação humana pode ser secundarizada ou até vista como obsoleta.;{"Nome":Filosofia da Inteligência Artificial,"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":Filosofia e ética da informação,"Q_Estudantes":6,"Q_Pesquisadores":2};{"Nome":Instituto Federal do Ceará,"Sigla":IFCE,"UF":CE};{"Formação acadêmica":Doutorado,"Pesquisadores":2,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":4}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2};http://dgp.cnpq.br/dgp/espelhogrupo/768808
Grupo de Pesquisa Avançada em Redes e Automação;Certificado;2015;Rodrigo Carvalho Souza Costa;Instituto Federal do Ceará - IFCE;;Engenharias, Engenharia Elétrica;CE;O Grupo Avançado de Redes e Automação está em consolidação no IFCE Campus Paracuru. Atualmente, a repercussão do trabalho do grupo tem ocorrido através da orientação de trabalhos de conclusão de curso, atividades de extensão, atividades de extensão, organização de eventos e reuniões científicas, cursos e palestras e publicações de artigos em eventos. A interação do grupo, principalmente com as empresas de tecnologia da informação, vem sendo buscada através de convênios de cooperação através de projetos de P&D beneficiados pela Lei da Informática/PPB. A pesquisa e desenvolvimento do grupo de pesquisa tem permitido a fixação de conhecimentos avançados em automação e redes de computadores na região dos do vale do curu;{"Nome":Inteligência Artificial,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":ADMINISTRACAO E SEGURANCA DE REDES DE COMPUTADORES,"Q_Estudantes":1,"Q_Pesquisadores":4}|{"Nome":Automação Industrial e Residencial,"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":Desenvolvimento de Sistemas Web, Mobile e Desktop,"Q_Estudantes":5,"Q_Pesquisadores":1}|{"Nome":Informática Educativa e Desenvolvimento de Ferramentas e Software Educativo,"Q_Estudantes":0,"Q_Pesquisadores":6}|{"Nome":Manufatura aditiva em várias áreas do conhecimento,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Redes Programáveis,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Redes Óptico-Wireless e Comunicações Ópticas,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Serviços e Redes Convergentes,"Q_Estudantes":0,"Q_Pesquisadores":1};;{"Formação acadêmica":Doutorado,"Pesquisadores":5,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":5}|{"Formação acadêmica":Mestrado,"Pesquisadores":4,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":4}|{"Formação acadêmica":Especialização,"Pesquisadores":0,"Estudantes":0,"Técnicos":2,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Ensino Profissional de nível técnico,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":4,"Técnicos":0,"Estrangeiros":0,"Total":4};http://dgp.cnpq.br/dgp/espelhogrupo/164437
Grupo de pesquisa em Epidemiologia e Geoprocessamento do Araguaia (EpiGeo- Araguaia);Certificado;2020;Josilene Dália Alves;Universidade Federal de Mato Grosso - UFMT;;Ciências da Saúde, Saúde Coletiva;MT;O Grupo de pesquisa em Epidemiologia e Geoprocessamento do Araguaia (EpiGeo- Araguaia) se dedica ao estudo da doença renal crônica e das doenças tropicais negligenciadas, bem como de seus determinantes. Por meio de uma abordagem epidemiológica e da utilização de técnicas de geoprocessamento e análise espacial, o grupo busca produzir conhecimento científico e fornecer subsídios para criação, implementação e avaliação de políticas públicas que impactem na redução dos indicadores destas doenças. Destaca-se que as técnicas de análise espacial ainda são pouco exploradas no âmbito da saúde e o grupo foi criado no intuito de reduzir esta lacuna. Assim, a metodologia empregada pelo EpiGeo-Araguaia permite identificar e visualizar geograficamente regiões de risco, bem como identificar os determinantes que desencadeiam o processo de adoecimento da população, colaborando deste modo, para o direcionamento estratégico das ações de saúde.;{"Nome":Análise espaço-temporal, modelagens estatísticas e inteligência artificial aplicada às doenças negligenciadas e seus determinantes,"Q_Estudantes":8,"Q_Pesquisadores":5}|{"Nome":Doença renal crônica: epidemiologia, qualidade de vida e implicações clínicas,"Q_Estudantes":2,"Q_Pesquisadores":7}|{"Nome":Epidemiologia, processo saúde-doença e determinantes sociais nos ciclos de vida e populações vulneráveis.,"Q_Estudantes":5,"Q_Pesquisadores":4}|{"Nome":Prática baseada em evidências: Estudos em revisões de literatura,"Q_Estudantes":1,"Q_Pesquisadores":3};;{"Formação acadêmica":Doutorado,"Pesquisadores":8,"Estudantes":0,"Técnicos":0,"Estrangeiros":2,"Total":10}|{"Formação acadêmica":Mestrado,"Pesquisadores":2,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Especialização,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":11,"Técnicos":0,"Estrangeiros":0,"Total":11}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":3,"Técnicos":0,"Estrangeiros":0,"Total":3};http://dgp.cnpq.br/dgp/espelhogrupo/1093660594613870
Grupo de Pesquisas em Instrumentação e Medição Aplicada;Certificado;2019;Roddy Alexander Romero Antayhua;Instituto Federal de Santa Catarina - IFSC;Instituto Federal de Santa Catarina - Câmpus Itajaí;Engenharias, Engenharia Elétrica;SC;O nosso grupo nasce da iniciativa de pesquisadores docentes do câmpus Itajaí que atuam no curso de engenharia elétrica. Todos eles tem experiência na indústria e tem realizado trabalhos de pesquisa aplicada em diversas áreas tais como a de petróleo e gás, a biomédica, setor de energia, e agropecuária. O corpo docente conta atualmente com dois doutores e dois mestres. Os objetivos do nosso grupo é contribuir para o desenvolvimento tecnológico nacional nas áreas de instrumentação, medição, sensoriamento, monitoramento e controle em diversas aplicações industriais. Isso através de pesquisa aplicada e transferência de tecnologia. As nossas principais linhas de pesquisa são: - Sensores, transdutores, atuadores e fusão de sensores. - Métodos, Sistemas e Instrumentação para medições não invasivas. - Microeletrônica aplicada a sensores e atuadores. - Medição e instrumentação para a indústria 4.0. - Sensores sem fio, redes de sensores e internet das coisas.;{"Nome":Instrumentação Biomédica,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Medição e instrumentação para a indústria 4.0.,"Q_Estudantes":0,"Q_Pesquisadores":7}|{"Nome":Microeletrônica aplicada a sensores e atuadores.,"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":Métodos, Sistemas e Instrumentação para medições não invasivas.,"Q_Estudantes":0,"Q_Pesquisadores":5}|{"Nome":Processamento Digital de Sinais, Inteligência Artificial e Aprendizado de Máquinas,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Sensores sem fio, redes de sensores e internet das coisas.,"Q_Estudantes":3,"Q_Pesquisadores":1}|{"Nome":Sensores, transdutores, atuadores e fusão de sensores.,"Q_Estudantes":3,"Q_Pesquisadores":3}|{"Nome":Visao Computacional,"Q_Estudantes":0,"Q_Pesquisadores":1};;{"Formação acadêmica":Doutorado,"Pesquisadores":5,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":5}|{"Formação acadêmica":Mestrado,"Pesquisadores":4,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":4}|{"Formação acadêmica":Especialização,"Pesquisadores":0,"Estudantes":0,"Técnicos":1,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":6,"Técnicos":0,"Estrangeiros":0,"Total":6};http://dgp.cnpq.br/dgp/espelhogrupo/512617
Toxicologia Preditiva;Certificado;2020;Carlos Alberto Tagliati;Universidade Federal de Minas Gerais - UFMG;Faculdade de Farmácia da UFMG;Ciências da Saúde, Farmácia;MG;;{"Nome":Bioinformática,"Q_Estudantes":2,"Q_Pesquisadores":3}|{"Nome":Mutagenicidade e Genotoxicidade in vitro,"Q_Estudantes":4,"Q_Pesquisadores":2}|{"Nome":Nefrotoxicidade,"Q_Estudantes":1,"Q_Pesquisadores":3}|{"Nome":Plataforma para Triagem de novas moléculas,"Q_Estudantes":6,"Q_Pesquisadores":4}|{"Nome":Requisitos, Testes e Avaliação de Segurança,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Toxicogenômica,"Q_Estudantes":3,"Q_Pesquisadores":2};;{"Formação acadêmica":Doutorado,"Pesquisadores":9,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":9}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":8,"Técnicos":0,"Estrangeiros":0,"Total":8};http://dgp.cnpq.br/dgp/espelhogrupo/622886
#FOLKCoLAB - Colaboratório de pesquisas e práticas sobre Folksonomia e Sistemas Híbridos de Organização do Conhecimento;Certificado;2020;Raimunda Fernanda dos Santos;Universidade Federal do Rio de Janeiro - UFRJ;Centro de Ciências Jurídicas e Econômicas;Ciências Sociais Aplicadas, Ciência da Informação;RJ;Grupo de natureza colaborativa e interdisciplinar que objetiva reunir pesquisadores, docentes e discentes de distintas formações interessados em desenvolver estudos teóricos, epistemológicos, bem como soluções e aplicações inovadoras relacionadas ao planejamento, criação e gestão de modelos, processos, produtos, instrumentos, ferramentas, serviços e sistemas colaborativos de indexação estruturados com base nas potencialidades de integração entre as semânticas emergentes das Folksonomias e demais Sistemas de Organização do Conhecimento (SOC). Além de integrar pesquisadores e pesquisas em âmbitos nacional e internacional, o Colaboratório também contribuirá para o processo de ensinoaprendizagem e para a inserção dos discentes de graduação no universo científico, uma vez que possui como ponto de partida dois projetos aprovados pelo Programa Institucional de Bolsas Iniciação Científica em sua composição.;{"Nome":Aspectos éticos, sociais e culturais nas práticas colaborativas de Organização e Representação do Conhecimento,"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":Inteligência Artificial e Representação colaborativa da informação,"Q_Estudantes":6,"Q_Pesquisadores":2}|{"Nome":Metodologias para a construção e atualização de Sistemas de Organização do Conhecimento com base nas Folksonomias,"Q_Estudantes":1,"Q_Pesquisadores":6}|{"Nome":Planejamento, criação e gestão de modelos e sistemas colaborativos de indexação,"Q_Estudantes":5,"Q_Pesquisadores":3};;{"Formação acadêmica":Doutorado,"Pesquisadores":8,"Estudantes":0,"Técnicos":1,"Estrangeiros":0,"Total":9}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":5,"Técnicos":0,"Estrangeiros":0,"Total":5}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2};http://dgp.cnpq.br/dgp/espelhogrupo/8700865134850810
4Vision - Grupo de Pesquisa em Visão Computacional;Excluído;2018;Francisco de Assis Pereira Vasconcelos de Arruda ;Universidade Federal Rural do Semi-Árido - UFERSA;;Ciências Exatas e da Terra, Ciência da Computação;RN;;{"Nome":Análise e Processamento Digital de Imagens e Vídeo,"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":Aplicação de Mineração de Dados em Bases de Dados,"Q_Estudantes":0,"Q_Pesquisadores":1};;{"Formação acadêmica":Doutorado,"Pesquisadores":3,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":3};http://dgp.cnpq.br/dgp/espelhogrupo/378490
=ISO Justiça Processual e Desigualdade;Certificado;2011;Jefferson Carlos Carús Guedes;Centro Universitário de Brasília - UniCEUB;Instituto CEUB de Pesquisa e Desenvolvimento;Ciências Sociais Aplicadas, Direito;DF;Direito Processual Constitucional Direito Constitucional Processual Inovação Processual Inteligência Artificial Precedente, Stare Decisis, Ratio Decidendi e Tribunais.;{"Nome":Inteligência Artificial, Direito e Processo,"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":Precedentes e Tribunais,"Q_Estudantes":0,"Q_Pesquisadores":4}|{"Nome":Processo e Constituição,"Q_Estudantes":1,"Q_Pesquisadores":11}|{"Nome":Processo e Inovação,"Q_Estudantes":0,"Q_Pesquisadores":6}|{"Nome":Processo e Jurisdição Constitucional,"Q_Estudantes":0,"Q_Pesquisadores":8}|{"Nome":STJ, Corte de Precedentes,"Q_Estudantes":0,"Q_Pesquisadores":2};;{"Formação acadêmica":Doutorado,"Pesquisadores":5,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":5}|{"Formação acadêmica":Mestrado,"Pesquisadores":10,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":10}|{"Formação acadêmica":Mestrado Profissional,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Especialização,"Pesquisadores":3,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":3}|{"Formação acadêmica":Graduação,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1};http://dgp.cnpq.br/dgp/espelhogrupo/42392
A expansão da tecnologia de inteligência artificial na prestação jurisdicional e o acesso à justiça;Certificado - Não-atualizado há mais de 12 meses;2018;Michele Pedrosa Paumgartten ;Grupo IBMEC - IBMEC;;Ciências Sociais Aplicadas, Direito;RJ;O grupo de pesquisa tem como objetivo analisar o desenvolvimento da tecnologia de inteligência artificial pelo Poder Judiciário brasileiro. Apesar de ser um movimento ainda insipiente na área jurídica, desperta curiosidade e atrai atenções diante da possibilidade de incrementar a produtividade. No entanto, a academia deve analisar os possíveis impactos da expansão do uso da tecnologia, a exemplo do que ocorre com os vieses algorítmicos e com a preservação das garantias constitucionais do processo, em especial, o acesso à justiça. O acompanhamento de propostas reguladoras também é o objetivo do grupo, e para isso o estudo comparado é inevitável para o aprimoramento da experiência brasileira.;{"Nome":Acesso à justiça e tecnologia,"Q_Estudantes":4,"Q_Pesquisadores":2}|{"Nome":Direito Digital e Novas Tecnologias,"Q_Estudantes":0,"Q_Pesquisadores":2};;{"Formação acadêmica":Doutorado,"Pesquisadores":4,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":4}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":3,"Técnicos":0,"Estrangeiros":0,"Total":3};http://dgp.cnpq.br/dgp/espelhogrupo/769643
