Grupo;Situação;Ano Formação;Líder;Instituição;Unidade;Área predominante;UF;Repercussão;Linhas de Pesquisa;Instituições Parceiras;Indicadores de RH;link
GEOMEROS - GEOSSISTEMAS, MODELIZAÇÃO GRÁFICA COM RECURSOS ORBITAIS DE SENSORES MULTIESPECTRAIS;Em preenchimento;2020;Abraão Levi dos Santos Mascarenhas ;Universidade Federal do Sul e Sudeste do Pará - UNIFESSPA;;Ciências Humanas, Geografia;PA;Os complexos ambientais e sócio-territoriais integram uma teia sistêmica em constante evolução que hoje permite ser estudado por ferramentas geográficas bastante poderosa para desvendar estruturas ambientais e sócioespaciais com vista ao planejamento e ordenamento territorial. As paisagens naturais vista como basilar nos estudos de ambientes sedimentares, cristalino a fim de definir Geomorfossítios instrumentalizados por uma cartografia digital geomorfológica e por imagens de satélites e de veículos aéreos não-tripulados (Drones). Os impactos da pesquisa, na linha de sistemas Terra-Atmosfera, cartografia ambiental e Geodiversidade, para a região Amazônica coadunam com os objetivos de desenvolvimento regional e de amplo espectro de formação de pesquisas de excelência em âmbito acadêmico, técnico e em instituições governamentais e não-governamentais.;{"Nome":Cartografia ambiental em Geografia Aplicada,"Q_Estudantes":2,"Q_Pesquisadores":4}|{"Nome":Geodiversidade e Geomorfossítios,"Q_Estudantes":0,"Q_Pesquisadores":5}|{"Nome":Processos de ensino na Geografia Física,"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":Sistemas Terra-Atmosfera e Variabilidade Climáticas,"Q_Estudantes":4,"Q_Pesquisadores":3};{"Nome":Universidade Federal do Pará,"Sigla":UFPA,"UF":PA}|{"Nome":Universidade de São Paulo,"Sigla":USP,"UF":SP}|{"Nome":Universidade do Estado do Pará,"Sigla":UEPA,"UF":PA};{"Formação acadêmica":Doutorado,"Pesquisadores":12,"Estudantes":0,"Técnicos":0,"Estrangeiros":1,"Total":13}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":5,"Técnicos":0,"Estrangeiros":0,"Total":5};http://dgp.cnpq.br/dgp/espelhogrupo/601191
[AVC Group] Applied Visual Computing Group / Grupo de Computação Visual Aplicada;Certificado;2017;Laurindo de Sousa Britto Neto;Universidade Federal do Piauí - UFPI;;Ciências Exatas e da Terra, Ciência da Computação;PI;;{"Nome":Computação Gráfica,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Interação Humano-Computador,"Q_Estudantes":2,"Q_Pesquisadores":1}|{"Nome":Processamento de Imagens,"Q_Estudantes":0,"Q_Pesquisadores":3}|{"Nome":Visão Computacional,"Q_Estudantes":6,"Q_Pesquisadores":3};;{"Formação acadêmica":Doutorado,"Pesquisadores":3,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":3}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":5,"Técnicos":0,"Estrangeiros":0,"Total":5}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1};http://dgp.cnpq.br/dgp/espelhogrupo/258903
Análise Espacial e Dinâmica Ambiental;Aguardando certificação;2009;Felipe Gomes Rubira ;Universidade Federal de Alfenas - UNIFAL/MG;;Ciências Humanas, Geografia;MG;As atividades do grupo serão realizadas visando o desenvolvimento de estudos relacionados a análise espacial e geoambiental na região de influência do Lago de Furnas, Sul de Minas. Pretende-se por meio do grupo auxiliar no desenvolvimento de estudos integrados que visem contribuir com o planejamento territorial e ambiental da região. As atividades serão desenvolvidas a partir de projetos de pesquisa e de extensão, contanto com a realização de trabalhos de iniciação científica, estágio de interesse e curricular e de conclusão de curso de graduação.;{"Nome":Climatologia Aplicada,"Q_Estudantes":2,"Q_Pesquisadores":1}|{"Nome":Ensino de Geografia Física e Cartografia Escolar,"Q_Estudantes":1,"Q_Pesquisadores":2}|{"Nome":Geociências e Análise Ambiental,"Q_Estudantes":20,"Q_Pesquisadores":11}|{"Nome":Geotecnologias aplicadas aos estudos geográficos,"Q_Estudantes":4,"Q_Pesquisadores":4}|{"Nome":Mineralogia e Petrologia de Minas Gerais,"Q_Estudantes":6,"Q_Pesquisadores":1}|{"Nome":Riscos Geomorfológicos e Morfotectônica,"Q_Estudantes":5,"Q_Pesquisadores":1}|{"Nome":Índices morfométricos aplicados à análise Geomorfológica,"Q_Estudantes":7,"Q_Pesquisadores":1};;{"Formação acadêmica":Doutorado,"Pesquisadores":13,"Estudantes":4,"Técnicos":0,"Estrangeiros":0,"Total":17}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":5,"Técnicos":1,"Estrangeiros":0,"Total":6}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":9,"Técnicos":0,"Estrangeiros":0,"Total":9}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":15,"Técnicos":0,"Estrangeiros":0,"Total":15};http://dgp.cnpq.br/dgp/espelhogrupo/10383
Cidade, memória e interatividade;Certificado;2017;Thiago Luiz Berzoini Machado;Centro Universitário Academia - UniAcademia - UniAcademia;CESJF;Ciências Sociais Aplicadas, Arquitetura e Urbanismo;MG;O projeto já se apresentou em mais de 30 eventos acadêmicos - regionais, nacionais e internacionais ¿ dentre estes, destacamos: três apresentações e publicações internacionais, no Forum ICOMOS (2017 e 2018) e 3º Congresso Internacional de História da Construção Luso-Brasileira (UFBA), cinco apresentações de trabalho no ¿III Seminário de Extensão e Pesquisa(CES/JF)¿ (2017), duas apresentações no ¿Colóquio Corpo, Sociabilidade e cidade¿ (2017), duas apresentações no ¿IV Seminário de Extensão e Pesquisa(CES/JF)¿ (2018),três apresentações no ¿V Seminário de Extensão e Pesquisa (CES/JF)¿, além das prototipagens em softwares 3D, concluindo a etapa da reconstrução digital do Palacete Fellet. Foi publicado capítulo do livro ¿Estudos Brasileiros sobre o Patrimônio -vol. II¿ (2019). Apresentação no VII SPACL (IAD/UFJF), I CIELIN - - Congresso Internacional de Estudos sobre a Linguagem (UFBA/UNEB/UNC) e 3º Seminário de Planejamento Urbano, Paisagem e Sustentabilidade (UFG/ UNNE).;{"Nome":Ambientes de Realidade Virtual e Aumentada,"Q_Estudantes":2,"Q_Pesquisadores":1}|{"Nome":Cidade e Memória,"Q_Estudantes":11,"Q_Pesquisadores":1};;{"Formação acadêmica":Mestrado,"Pesquisadores":1,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Especialização,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":7,"Técnicos":0,"Estrangeiros":0,"Total":7}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2};http://dgp.cnpq.br/dgp/espelhogrupo/530438
Computação Gráfica, Processamento de Imagens e Interação;Certificado;1997;Carla Maria Dal Sasso Freitas;Universidade Federal do Rio Grande do Sul - UFRGS;Instituto de Informática;Ciências Exatas e da Terra, Ciência da Computação;RS;O grupo desenvolve pesquisas em temas dentro da grande área de Computação Visual que abrange Computação Gráfica, Processamento de Imagens, Reconhecimento de Padrões, Visão Computacional, assim como em da Interação Homem-Computador, Visualização de Dados, Realidade Virtual e Realidade Aumentada. É formado por pesquisadores, a maioria com bolsas de produtividade do CNPq, e alguns pesquisadores colaboradores. Desde sua criação formal, o grupo vêm contribuindo com a formação de recursos humanos no nível de mestrado e/ou doutorado, os quais, em boa parte, atuam em universidades, no Brasil, e no exterior. O grupo mantém com regularidade cooperação nacional e internacional com pesquisadores de instituições de excelência tanto no Brasil como no exterior, além de empresas. Também há uma interação forte com outros grupos de pesquisa na instituição, dentro do mesmo programa de pós-graduação (por exemplo, engenharia de software) e outros grupos, por exemplo, nas áreas da saúde e biológicas.;{"Nome":Interação Humano-Computador, Realidade Virtual e Aumentada,"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":Análise e Visualização de Dados,"Q_Estudantes":0,"Q_Pesquisadores":3}|{"Nome":Ciência de Dados,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Computação Gráfica,"Q_Estudantes":0,"Q_Pesquisadores":3}|{"Nome":Processamento de Imagens, Visão Computacional e Reconhecimento de Padrões,"Q_Estudantes":0,"Q_Pesquisadores":5};;{"Formação acadêmica":Doutorado,"Pesquisadores":9,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":9};http://dgp.cnpq.br/dgp/espelhogrupo/774151
Computação Visual;Certificado;2006;José Mario De Martino;Universidade Estadual de Campinas - UNICAMP;Faculdade de Engenharia Elétrica e de Computação da UNICAMP;Ciências Exatas e da Terra, Ciência da Computação;SP;O grupo Computação Visual é um dos principais grupos brasileiros na sua área de competência. Atua na graduação, pós-graduação e extensão, sendo responsável pelo oferecimento de disciplinas e orientação de teses, dissertações, trabalhos de iniciação científica e trabalhos de final de curso em temas como: Computação Gráfica, Processamento e Análise de Imagens, Visão Computacional, Visualização de Informação, Modelagem Geométrica, Aprendizado de Máquina, Morfologia Matemática, Animação por Computador e Jogos por Computador. Forma pesquisadores, professores e profissionais que atuam em universidades, centros de pesquisa e indústria. Já orientou mais de 40 teses de doutorado, mais de 120 dissertações de mestrado, inúmeros trabalhos de iniciação científica e de final de curso, tendo publicado mais de 5 centenas de trabalhos científicos. Atua junto ao segmento tecnológico nacional tendo cerca de 10 pedidos de patentes e de registro de software. Coopera com grupos nacionais e internacionais.;{"Nome":Realidade Virtual e Aumentada,"Q_Estudantes":1,"Q_Pesquisadores":1}|{"Nome":Agentes Sociais Interativos,"Q_Estudantes":2,"Q_Pesquisadores":1}|{"Nome":Fusão multimodal de sensores,"Q_Estudantes":1,"Q_Pesquisadores":2}|{"Nome":Inteligência Artificial em Imagens,"Q_Estudantes":1,"Q_Pesquisadores":3}|{"Nome":Modelagem Geométrica.,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Monitoramento Inteligente com Câmeras,"Q_Estudantes":1,"Q_Pesquisadores":1}|{"Nome":Processamento e Análise de Imagens Médicas,"Q_Estudantes":8,"Q_Pesquisadores":2}|{"Nome":Reconhecimento de padrões em imagens e sinais biomédicos,"Q_Estudantes":2,"Q_Pesquisadores":2}|{"Nome":Síntese de imagens e sinais biológicos,"Q_Estudantes":2,"Q_Pesquisadores":1}|{"Nome":Visualização,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Visualização Analítica,"Q_Estudantes":3,"Q_Pesquisadores":1};;{"Formação acadêmica":Doutorado,"Pesquisadores":8,"Estudantes":11,"Técnicos":0,"Estrangeiros":0,"Total":19}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":7,"Técnicos":0,"Estrangeiros":0,"Total":7}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":3,"Técnicos":0,"Estrangeiros":0,"Total":3};http://dgp.cnpq.br/dgp/espelhogrupo/3826664094669430
Computação Visual;Certificado;2015;Luciano Pereira Soares;Insper Instituto de Ensino e Pesquisa - INSPER;;Engenharias, Engenharia Elétrica;SP;O grupo de Computação Visual do Insper desenvolve pesquisa principalmente nas áreas de Realidade Virtual e Aumentada, Visão Computacional, Computação Gráfica, Processamento de Imagens e Reconhecimento de Padrões. Muitos dos projetos estão associados a parcerias do Insper com empresas do setor. A pesquisa abrange o desenvolvimento de técnicas de visualização de informações e dados científicos, bem como a interpretação de dados visuais por imagem. O grupo possui acesso a uma série de recursos computações dos laboratórios de Realidade Virtual e Jogos Digitais, bem como o laboratório de Redes e Supercomputação do Insper.;{"Nome":Processamento de Imagens Digitais,"Q_Estudantes":0,"Q_Pesquisadores":3}|{"Nome":Realidade Virtual e Aumentada,"Q_Estudantes":1,"Q_Pesquisadores":3}|{"Nome":Visão Computacional,"Q_Estudantes":0,"Q_Pesquisadores":6}|{"Nome":Computação Gráfica,"Q_Estudantes":1,"Q_Pesquisadores":1}|{"Nome":Jogos Digitais,"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":Morfologia Matemática,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Rastreamento de Olhar,"Q_Estudantes":0,"Q_Pesquisadores":1};{"Nome":University of Illinois at Urbana-Champaign,"Sigla":UIUC,"UF":};{"Formação acadêmica":Doutorado,"Pesquisadores":5,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":5}|{"Formação acadêmica":Mestrado,"Pesquisadores":2,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":2,"Técnicos":2,"Estrangeiros":0,"Total":4};http://dgp.cnpq.br/dgp/espelhogrupo/779667
Computação Visual;Certificado;2006;José Mario De Martino;Universidade Estadual de Campinas - UNICAMP;Faculdade de Engenharia Elétrica e de Computação da UNICAMP;Ciências Exatas e da Terra, Ciência da Computação;SP;O grupo Computação Visual é um dos principais grupos brasileiros na sua área de competência. Atua na graduação, pós-graduação e extensão, sendo responsável pelo oferecimento de disciplinas e orientação de teses, dissertações, trabalhos de iniciação científica e trabalhos de final de curso em temas como: Computação Gráfica, Processamento e Análise de Imagens, Visão Computacional, Visualização de Informação, Modelagem Geométrica, Aprendizado de Máquina, Morfologia Matemática, Animação por Computador e Jogos por Computador. Forma pesquisadores, professores e profissionais que atuam em universidades, centros de pesquisa e indústria. Já orientou mais de 40 teses de doutorado, mais de 120 dissertações de mestrado, inúmeros trabalhos de iniciação científica e de final de curso, tendo publicado mais de 5 centenas de trabalhos científicos. Atua junto ao segmento tecnológico nacional tendo cerca de 10 pedidos de patentes e de registro de software. Coopera com grupos nacionais e internacionais.;{"Nome":Realidade Virtual e Aumentada,"Q_Estudantes":1,"Q_Pesquisadores":1}|{"Nome":Agentes Sociais Interativos,"Q_Estudantes":2,"Q_Pesquisadores":1}|{"Nome":Fusão multimodal de sensores,"Q_Estudantes":1,"Q_Pesquisadores":2}|{"Nome":Inteligência Artificial em Imagens,"Q_Estudantes":1,"Q_Pesquisadores":3}|{"Nome":Modelagem Geométrica.,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Monitoramento Inteligente com Câmeras,"Q_Estudantes":1,"Q_Pesquisadores":1}|{"Nome":Processamento e Análise de Imagens Médicas,"Q_Estudantes":8,"Q_Pesquisadores":2}|{"Nome":Reconhecimento de padrões em imagens e sinais biomédicos,"Q_Estudantes":2,"Q_Pesquisadores":2}|{"Nome":Síntese de imagens e sinais biológicos,"Q_Estudantes":2,"Q_Pesquisadores":1}|{"Nome":Visualização,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Visualização Analítica,"Q_Estudantes":3,"Q_Pesquisadores":1};;{"Formação acadêmica":Doutorado,"Pesquisadores":8,"Estudantes":11,"Técnicos":0,"Estrangeiros":0,"Total":19}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":7,"Técnicos":0,"Estrangeiros":0,"Total":7}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":3,"Técnicos":0,"Estrangeiros":0,"Total":3};http://dgp.cnpq.br/dgp/espelhogrupo/771785
Computação Visual Aplicada;Em preenchimento;2023;Claudio Roberto Marquetto Mauricio ;Universidade Estadual do Oeste do Paraná - UNIOESTE;;Ciências Exatas e da Terra, Ciência da Computação;PR;O grupo de pesquisa tem como objetivo promover estudos e desenvolvimento de soluções em áreas que envolvem o processamento, a modelagem e a visualização de imagens, aplicação de técnicas de inteligência artificial para solucionar problemas e desenvolver tecnologias que possam ser aplicadas em diversas áreas, como saúde, engenharia, arquitetura, educação, entre outras. Espera-se obter resultados que justifiquem a publicação de artigos em periódicos nacionais e internacionais assim como a participação em eventos nacionais e internacionais além de contribuir com o desenvolvimento da região com a criação de soluções aplicadas.;{"Nome":Processamento de Imagens,"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":Realidade Virtual e Aumentada,"Q_Estudantes":0,"Q_Pesquisadores":3}|{"Nome":Inteligência artificial aplicada,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Modelagem e Visualização,"Q_Estudantes":0,"Q_Pesquisadores":2};;{"Formação acadêmica":Doutorado,"Pesquisadores":3,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":3};http://dgp.cnpq.br/dgp/espelhogrupo/788792
COMSIA - Divisão de Inovação, Ciência de Dados e Inteligência Artificial;Certificado;2023;Reni Aparecido Norberto Pinto;Universidade do Estado de Minas Gerais - UEMG;Unidade Acadêmica Passos;Ciências Exatas e da Terra, Ciência da Computação;MG;As pesquisas na área de "Inovação e Desenvolvimento de Sistemas" buscam impulsionar a criação de soluções tecnológicas para beneficiar a comunidade acadêmica, organizações e indivíduos. Esperamos desenvolver sistemas mais eficientes e inovadores, o que pode revolucionar vários setores, melhorando a produtividade e a eficiência. A linha de pesquisa em "Inteligência Artificial e Ciência de Dados" tem o objetivo de resolver problemas complexos por meio de algoritmos e modelos inovadores. O impacto esperado é um avanço significativo na capacidade de extrair insights de grandes conjuntos de dados, melhorando a tomada de decisão e possibilitando a automação de tarefas. Na linha de "Jogos Digitais", buscamos criar jogos envolventes e educativos. Esperamos que esses jogos sejam aplicados em contextos variados, como na educação e saúde, trazendo benefícios tangíveis nesses setores.;{"Nome":Inovação e Desenvolvimento de Sistemas,"Q_Estudantes":11,"Q_Pesquisadores":2}|{"Nome":Inteligência Artificial e Ciência de Dados,"Q_Estudantes":11,"Q_Pesquisadores":2}|{"Nome":Jogos Digitais,"Q_Estudantes":11,"Q_Pesquisadores":2};;{"Formação acadêmica":Doutorado,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Mestrado,"Pesquisadores":2,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Mestrado Profissional,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":11,"Técnicos":0,"Estrangeiros":0,"Total":11};http://dgp.cnpq.br/dgp/espelhogrupo/4684735365218138
