Grupo;Situação;Ano Formação;Líder;Instituição;Unidade;Área predominante;UF;Repercussão;Linhas de Pesquisa;Instituições Parceiras;Indicadores de RH;link
Cubo de Inovação - Laboratório de Pesquisa e Produção em Ambientes Imersivos;Certificado;2021;Alessandra Cristina da Silva Maia Cardoso Monteiro;Fundação Getúlio Vargas - FGV;FGV Rio de Janeiro;Ciências Sociais Aplicadas, Comunicação;RJ;;{"Nome":Comunicação Digital na Ludosfera,"Q_Estudantes":0,"Q_Pesquisadores":6}|{"Nome":Experiências em Ambientes Imersivos,"Q_Estudantes":0,"Q_Pesquisadores":5}|{"Nome":Inteligência Artificial no Trabalho Criativo,"Q_Estudantes":0,"Q_Pesquisadores":5};;{"Formação acadêmica":Doutorado,"Pesquisadores":6,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":6}|{"Formação acadêmica":Mestrado,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":3,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":3};http://dgp.cnpq.br/dgp/espelhogrupo/784917
Ensino de Projeto - Arquitetura e Urbanismo;Certificado;2002;Maurício José Laguardia Campomori;Universidade Federal de Minas Gerais - UFMG;Escola de Arquitetura;Ciências Sociais Aplicadas, Arquitetura e Urbanismo;MG;As pesquisas do grupo têm repercussão na organização didática e pedagógica dos cursos de arquitetura e urbanismo de instituições públicas e privadas que se encontram no âmbito de influência da UFMG. Através de eventos na área do ensino, os pesquisadores do grupo divulgam seus trabalhos e já se fazem notar essas influências em outros estados. O grupo também atua na formação de pesquisadores através da iniciação científica e da pós-graduação. Também discute com os seus pesquisadores o valor editorial de suas publicações, almejando a constituição de um corpo editorial. Com o advento das publicações eletrônicas, o grupo tem experimentado produzir livros multimidiais de distribuição em mais de 36 países. Publicou em 2018 o livro "APRENDER FAZENDO Ensaios sobre o ensino de projeto", pela Editora da Escola de Arquitetura da UFMG (ISBN 9788598261119).;{"Nome":Arquitetura e Transdisciplinaridade,"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":Computação Ambiental,"Q_Estudantes":0,"Q_Pesquisadores":3}|{"Nome":O ensino de arquitetura e urbanismo: concepções, materiais, métodos e técnicas,"Q_Estudantes":3,"Q_Pesquisadores":16}|{"Nome":Tecnologias Imersivas aplicadas ao ensino de arquitetura e urbanismo,"Q_Estudantes":3,"Q_Pesquisadores":3}|{"Nome":Teoria do Projeto de Arquitetura e Urbanismo,"Q_Estudantes":0,"Q_Pesquisadores":9};;{"Formação acadêmica":Doutorado,"Pesquisadores":13,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":14}|{"Formação acadêmica":Mestrado,"Pesquisadores":3,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":3}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":3,"Técnicos":0,"Estrangeiros":0,"Total":3}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2};http://dgp.cnpq.br/dgp/espelhogrupo/4406021931625498
GATERME - Grupo de Pesquisa em Games, Aplicativos, Tecnologias de Realidade Mista e Educação Empreendedora;Certificado;2019;Claudio Fernando Andre;Pontifícia Universidade Católica de São Paulo - PUC/SP;;Ciências Exatas e da Terra, Ciência da Computação;SP;A proposta do GATERME é ser um ambiente de caráter científico, cultural, tecnológico, inovador, didático-pedagógico e de interação com a sociedade nacional e internacional. Internamente, o GATERME articulará e procurará dar sistematicidade às diferentes atividades de membros do corpo acadêmico da Universidade (docentes, discentes, gestores e técnicos) comprometidos com a implementação de uma cultura cidadã, centrada na defesa e na articulação entre games, aplicativos, tecnologias de realidade mista e educação empreendedora. Externamente, o GATERME buscará integrar ações de quatro grandes atores sociais, apontados como vetores fundamentais para a busca de soluções de desafios relacionados à games, aplicativos, tecnologias de realidade mista e educação: 1) comunidade acadêmica, 2) sociedade civil organizada do 1º, 2º. E 3º. setor, 3) gestores públicos e, 4) cidadãos em geral.;{"Nome":Design de Conteúdo para Jogos Digitais,"Q_Estudantes":11,"Q_Pesquisadores":3}|{"Nome":Engenharia e Design de jogos Digitais,"Q_Estudantes":10,"Q_Pesquisadores":3};;{"Formação acadêmica":Doutorado,"Pesquisadores":4,"Estudantes":5,"Técnicos":0,"Estrangeiros":0,"Total":9}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":5,"Técnicos":0,"Estrangeiros":0,"Total":5}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":3,"Técnicos":0,"Estrangeiros":0,"Total":3};http://dgp.cnpq.br/dgp/espelhogrupo/497377
LabArteMidia Laboratório de Arte, Mídia e Tecnologias Digitais;Certificado;2016;Almir Antonio Rosa - ALMIR ALMAS;Universidade de São Paulo - USP;Escola de Comunicações e Artes;Lingüística, Letras e Artes, Artes;SP;Publicação de livros, artigos, participação em Congressos, participação em festivais de arte contemporânea, arte eletrônica, cinema e audiovisual. Participação em Concurso para Produção. Realização de trabalhos artísticos em cinema, audiovisual e arte & Tecnologia, obras em espaços públicos e urbanos, obras em realidades virutais, aumentadas, mistas e em ambientes imersivos.;{"Nome":Poéticas e Técnicas,"Q_Estudantes":7,"Q_Pesquisadores":48};;{"Formação acadêmica":Doutorado,"Pesquisadores":22,"Estudantes":3,"Técnicos":0,"Estrangeiros":0,"Total":25}|{"Formação acadêmica":Mestrado,"Pesquisadores":13,"Estudantes":2,"Técnicos":0,"Estrangeiros":1,"Total":16}|{"Formação acadêmica":Mestrado Profissional,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Especialização,"Pesquisadores":2,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Graduação,"Pesquisadores":9,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":10}|{"Formação acadêmica":Curso de curta duração,"Pesquisadores":1,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":2};http://dgp.cnpq.br/dgp/espelhogrupo/232143
Organizações, Estratégia e Instituições;Certificado;2008;Edson Ronaldo Guarido Filho;Universidade Positivo - POSITIVO;;Ciências Sociais Aplicadas, Administração;PR;Estuda organizações a partir da relação entre agência, estrutura e interpretação. Trata organizações como agentes cujas ações refletem modos de interpretação da realidade organizacional. Parte-se do pressuposto de que estratégias e práticas organizacionais são condicionadas pela estrutura social, contrapondo uma visão atomista e contingencialista das organizações. A abordagem predominante é o institucionalismo e o objeto de estudo compreende organizações de natureza privada, pública e não-governamental. Privilegiam-se múltiplos métodos de pesquisa, pautada na convergência entre procedimentos quantitativos e procedimentos qualitativos. Resultados, na forma de publicações e formação de pessoas, têm contribuído para o entendimento de organizações a partir de diferentes níveis de análise, p.ex, o das relações interorganizacionais e dos campos organizacionais. Além isso, busca-se compreender como esses níveis se configuram e se relacionam com níveis sociais mais amplos;{"Nome":Linguagem, Instituições e Organizações ¿ LIOrg,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Mercados, Capital Social e Relações Interorganizacionais,"Q_Estudantes":1,"Q_Pesquisadores":4}|{"Nome":Organizações, Ambiente Legal e Instituições,"Q_Estudantes":3,"Q_Pesquisadores":11}|{"Nome":Organizações, Mídia e Discurso,"Q_Estudantes":1,"Q_Pesquisadores":4}|{"Nome":Pesquisa e Ensino em Administração,"Q_Estudantes":1,"Q_Pesquisadores":2};{"Nome":Universidade do Grande Rio,"Sigla":UNIGRANRIO,"UF":RJ}|{"Nome":Instituto Brasileiro de Estudos e Pesquisas Sociais,"Sigla":IBEPES,"UF":PR};{"Formação acadêmica":Doutorado,"Pesquisadores":12,"Estudantes":3,"Técnicos":0,"Estrangeiros":0,"Total":15}|{"Formação acadêmica":Mestrado,"Pesquisadores":1,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1};http://dgp.cnpq.br/dgp/espelhogrupo/10459
Organizações, Estratégia e Instituições;Certificado;2008;Edson Ronaldo Guarido Filho;Universidade Positivo - POSITIVO;;Ciências Sociais Aplicadas, Administração;PR;Estuda organizações a partir da relação entre agência, estrutura e interpretação. Trata organizações como agentes cujas ações refletem modos de interpretação da realidade organizacional. Parte-se do pressuposto de que estratégias e práticas organizacionais são condicionadas pela estrutura social, contrapondo uma visão atomista e contingencialista das organizações. A abordagem predominante é o institucionalismo e o objeto de estudo compreende organizações de natureza privada, pública e não-governamental. Privilegiam-se múltiplos métodos de pesquisa, pautada na convergência entre procedimentos quantitativos e procedimentos qualitativos. Resultados, na forma de publicações e formação de pessoas, têm contribuído para o entendimento de organizações a partir de diferentes níveis de análise, p.ex, o das relações interorganizacionais e dos campos organizacionais. Além isso, busca-se compreender como esses níveis se configuram e se relacionam com níveis sociais mais amplos;{"Nome":Linguagem, Instituições e Organizações ¿ LIOrg,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Mercados, Capital Social e Relações Interorganizacionais,"Q_Estudantes":1,"Q_Pesquisadores":4}|{"Nome":Organizações, Ambiente Legal e Instituições,"Q_Estudantes":3,"Q_Pesquisadores":11}|{"Nome":Organizações, Mídia e Discurso,"Q_Estudantes":1,"Q_Pesquisadores":4}|{"Nome":Pesquisa e Ensino em Administração,"Q_Estudantes":1,"Q_Pesquisadores":2};{"Nome":Universidade do Grande Rio,"Sigla":UNIGRANRIO,"UF":RJ}|{"Nome":Instituto Brasileiro de Estudos e Pesquisas Sociais,"Sigla":IBEPES,"UF":PR};{"Formação acadêmica":Doutorado,"Pesquisadores":12,"Estudantes":3,"Técnicos":0,"Estrangeiros":0,"Total":15}|{"Formação acadêmica":Mestrado,"Pesquisadores":1,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1};http://dgp.cnpq.br/dgp/espelhogrupo/2990601399722948
Realidade Virtual, Realidade Aumentada e mundos virtuais para a inovação na Indústria;Certificado;2016;Ingrid Winkler;SENAI - Departamento Regional da Bahia - SENAI/DR/BA;Centro Integrado de Manufatura e Tecnologia;Ciências Exatas e da Terra, Ciência da Computação;BA;O Grupo de Pesquisa investiga os desafios tecnológicos atuais para que a Realidade Aumentada e Realidade Virtual sejam adotadas em larga escala nos domínios da Indústria, Saúde e Educação, buscando compreender como podem ser desenvolvidos aprimoramentos para que as soluções baseadas em RA e RV sejam mais robustas e confiáveis. No âmbito social, como benefícios espera-se que os resultados da pesquisa contribuam, em uma perspectiva mais ampla, para a inovação na indústria brasileira, na Saúde e na Educaçãol. Quanto à relevância científica, espera-se contribuir para o avanço do conhecimento atual sobre essas tecnologias.;{"Nome":Computação Visual e Interfaces Computacionais Inovadoras para a Interação Humano-Computador na Saúde e Tecnologias Assistivas,"Q_Estudantes":4,"Q_Pesquisadores":3}|{"Nome":Processamento de Imagens e Visão Computacional,"Q_Estudantes":3,"Q_Pesquisadores":1}|{"Nome":Realidade Aumentada e Realidade Virtual aplicadas ao Ensino e Aprendizagem,"Q_Estudantes":2,"Q_Pesquisadores":1}|{"Nome":Realidade Aumentada e Realidade Virtual aplicadas à Inovação Industrial,"Q_Estudantes":5,"Q_Pesquisadores":4};{"Nome":EMBRAER,"Sigla":EMBRAER,"UF":SP}|{"Nome":Ekole Tecnologia da Informação para Educação,"Sigla":EKOLE,"UF":RJ};{"Formação acadêmica":Doutorado,"Pesquisadores":4,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":6}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":2,"Técnicos":1,"Estrangeiros":0,"Total":3}|{"Formação acadêmica":Mestrado Profissional,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Especialização,"Pesquisadores":0,"Estudantes":0,"Técnicos":1,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":3,"Técnicos":3,"Estrangeiros":0,"Total":6}|{"Formação acadêmica":Ensino Profissional de nível técnico,"Pesquisadores":0,"Estudantes":0,"Técnicos":1,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":5,"Técnicos":0,"Estrangeiros":0,"Total":5};http://dgp.cnpq.br/dgp/espelhogrupo/237860
Sistemas Ciber-Físicos Industriais;Certificado;2018;Andre Schneider de Oliveira;Universidade Tecnológica Federal do Paraná - UTFPR;Campus Curitiba;Engenharias, Engenharia Elétrica;PR;Espera-se contribuir com a proposição de novas abordagens nos temas: -Agentes em sistemas ciber-físicos industriais - Interoperabilidade e padronização para agentes - Modelagem e Engenharia de Sistemas Baseados em Agentes - Soluções de segurança, confiabilidade e segurança de agentes - Engenharia de sistemas ciber-físicos baseados em agentes - Inteligência artificial e aprendizado de máquina com agentes - Realizando abordagens IIoT / Industry4.0 com agentes - Transformação digital e treinamento para sistema de agentes;{"Nome":Escalonamento Dinâmico de Tarefas em Sistemas Distribuídos Industriais,"Q_Estudantes":2,"Q_Pesquisadores":1}|{"Nome":Resiliência e Tolerância à Falhas em Sistemas Industriais,"Q_Estudantes":2,"Q_Pesquisadores":2}|{"Nome":Robótica Inteligente em Sistemas Ciber-Físicos Industriais,"Q_Estudantes":13,"Q_Pesquisadores":4}|{"Nome":Sistemas Multi-Agentes Industriais,"Q_Estudantes":2,"Q_Pesquisadores":4};{"Nome":Instituto Politécnico de Bragança,"Sigla":IPB,"UF":};{"Formação acadêmica":Doutorado,"Pesquisadores":6,"Estudantes":11,"Técnicos":0,"Estrangeiros":0,"Total":17}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":3,"Técnicos":0,"Estrangeiros":0,"Total":3}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1};http://dgp.cnpq.br/dgp/espelhogrupo/0840107557355147
TecInt - Tecnologias Interativas;Certificado;2021;Ismar Frango Silveira;Universidade Presbiteriana Mackenzie - MACKENZIE;;Ciências Exatas e da Terra, Ciência da Computação;SP;O grupo de pesquisa TecInt - Tecnologias Interativas tem como objetivo promover e realizar atividades de pesquisa relacionadas à interação do usuário com foco nas áreas de Interação Humano-Computador, Realidade Virtual e Aumentada, Sistemas Interativos, soluções em saúde e educação, soluções mobile, dentre outros.;{"Nome":Desenvolvimento de Jogos Digitais,"Q_Estudantes":1,"Q_Pesquisadores":7}|{"Nome":Design Universal e Acessibilidade,"Q_Estudantes":10,"Q_Pesquisadores":6}|{"Nome":Interação Humano-Computador aplicada à Educação,"Q_Estudantes":0,"Q_Pesquisadores":5}|{"Nome":Realidade Virtual, Aumentada e Mista,"Q_Estudantes":1,"Q_Pesquisadores":4};{"Nome":Centro de Pós-Graduação e Pesquisa,"Sigla":CPGP,"UF":SP}|{"Nome":Campus Campo Mourão,"Sigla":UTFPR/CM,"UF":PR}|{"Nome":Faculdade de Engenharia de Sorocaba,"Sigla":FACENS,"UF":SP};{"Formação acadêmica":Doutorado,"Pesquisadores":9,"Estudantes":1,"Técnicos":0,"Estrangeiros":2,"Total":12}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":3,"Técnicos":0,"Estrangeiros":1,"Total":4}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":4,"Técnicos":0,"Estrangeiros":0,"Total":4}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":3,"Técnicos":0,"Estrangeiros":0,"Total":3};http://dgp.cnpq.br/dgp/espelhogrupo/764540
Tecnologias Emergentes;Certificado;2016;Daniella Rodrigues Bezerra;Instituto de Inovação, Pesquisa, Desenvolv. Científico e Tecnológico - AM - IPDEC/AM;;Ciências Exatas e da Terra, Ciência da Computação;AM;Esse grupo se concentra nos avanços contemporâneos e inovações em diversos campos da tecnologia digital que geram convergência evolutiva e habilitadoras como: blockhain, computação em nuvem, inteligência artificial, internet das coisas, realidade aumentada, virtual e mista.;{"Nome":Desenvolvimento de Tecnologias Emergentes,"Q_Estudantes":5,"Q_Pesquisadores":19};{"Nome":Denso Industrial da Amazonia,"Sigla":DENSO,"UF":AM};{"Formação acadêmica":Doutorado,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Mestrado,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Especialização,"Pesquisadores":2,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Graduação,"Pesquisadores":6,"Estudantes":2,"Técnicos":2,"Estrangeiros":0,"Total":10}|{"Formação acadêmica":Ensino Médio (2o grau),"Pesquisadores":8,"Estudantes":1,"Técnicos":1,"Estrangeiros":0,"Total":10}|{"Formação acadêmica":Outros,"Pesquisadores":1,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":3};http://dgp.cnpq.br/dgp/espelhogrupo/770484
