Grupo;Situação;Ano Formação;Líder;Instituição;Unidade;Área predominante;UF;Repercussão;Linhas de Pesquisa;Instituições Parceiras;Indicadores de RH;link
Aplicações em Engenharia de Sistemas Ciber Físicos;Certificado;2022;Carlos Antonio França Sartori;Pontifícia Universidade Católica de São Paulo - PUC/SP;Faculdade de Ciências Exatas e Tecnologia;Engenharias, Engenharia Elétrica;SP;;{"Nome":Cidades Inteligentes e Desenvolvimento Local,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Inteligência Artificial,"Q_Estudantes":1,"Q_Pesquisadores":1}|{"Nome":Metodologias ativas de ensino-aprendizagem em Sistemas Ciber Físicos,"Q_Estudantes":1,"Q_Pesquisadores":3}|{"Nome":Otimização de Sistemas Elétricos e de Controle,"Q_Estudantes":0,"Q_Pesquisadores":3}|{"Nome":Redes Elétricas Inteligentes,"Q_Estudantes":0,"Q_Pesquisadores":3}|{"Nome":Robôs Flexíveis e Biomimética,"Q_Estudantes":4,"Q_Pesquisadores":3}|{"Nome":Segurança Cibernética,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Sistemas Ciber Físicos,"Q_Estudantes":5,"Q_Pesquisadores":6}|{"Nome":Sistemas Híbridos de Transmissão de Energia sem fios,"Q_Estudantes":2,"Q_Pesquisadores":1};;{"Formação acadêmica":Doutorado,"Pesquisadores":6,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":6}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":8,"Técnicos":0,"Estrangeiros":0,"Total":8};http://dgp.cnpq.br/dgp/espelhogrupo/778458
Ciência de Segurança Computacional e de Segurança de Redes (CCSC);Certificado - Não-atualizado há mais de 12 meses;2021;Michele Nogueira Lima ;Universidade Federal de Minas Gerais - UFMG;Instituto de Ciências Exatas;Ciências Exatas e da Terra, Ciência da Computação;MG;O grupo de pesquisa Ciência de Segurança Computacional e de Segurança de Redes (do inglês, Computational and network seCurity SCience -- CCSC) foi criado com o objetivo de fazer pesquisa científica de excelência, formar pesquisadores na área de Ciência de Segurança Cibernética e prover a transferência tecnológica de soluções inovadoras que visem consolidar e reforçar os esforços contra problemas de segurança em sistemas cibernéticos, tais como redes avançadas de computadores, Internet, Internet das Coisas e redes sem fio. Desde sua composição em 2016, quando ainda era sediado na Universidade Federal do Paraná (UFPR), as pesquisas realizadas pelo grupo CCSC têm tido repercussão nacional e internacional, recebendo reconhecimento através de prêmios de melhor artigo e menção honrosa. O centro conta com uma forte parceria com instituições nacionais e internacionais.;{"Nome":Ciência de Dados em Cibersegurança,"Q_Estudantes":6,"Q_Pesquisadores":1}|{"Nome":Ciência de Segurança (Security Science),"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Privacidade de dados e vazamentos de informação,"Q_Estudantes":5,"Q_Pesquisadores":3}|{"Nome":Resiliência em Redes,"Q_Estudantes":3,"Q_Pesquisadores":3}|{"Nome":Segurança de Redes,"Q_Estudantes":6,"Q_Pesquisadores":5}|{"Nome":Segurança e Privacidade em Redes Vestíveis,"Q_Estudantes":3,"Q_Pesquisadores":3}|{"Nome":Soluções e algoritmos bio-inspirados,"Q_Estudantes":1,"Q_Pesquisadores":1};{"Nome":Universidade Estadual do Ceará,"Sigla":UECE,"UF":CE}|{"Nome":Universidade Federal do Ceará,"Sigla":UFC,"UF":CE}|{"Nome":Universidade Federal do Paraná,"Sigla":UFPR,"UF":PR}|{"Nome":Universidade Federal de Santa Maria,"Sigla":UFSM,"UF":RS}|{"Nome":University of Ottawa,"Sigla":U.OTTAWA,"UF":}|{"Nome":Northeastern University,"Sigla":NORTHEASTERN,"UF":}|{"Nome":Carnegie Mellon University,"Sigla":CMU,"UF":}|{"Nome":Universidade Federal de Juiz de Fora,"Sigla":UFJF,"UF":MG}|{"Nome":Université de La Rochelle,"Sigla":LaROCHELLE,"UF":}|{"Nome":Conservatoire National des Arts et Métiers,"Sigla":CNAM,"UF":}|{"Nome":Université Pierre et Marie Curie,"Sigla":UPMC,"UF":}|{"Nome":Université de Toulouse,"Sigla":UT,"UF":}|{"Nome":Campus Florestal,"Sigla":UFV,"UF":MG};{"Formação acadêmica":Doutorado,"Pesquisadores":10,"Estudantes":7,"Técnicos":0,"Estrangeiros":0,"Total":17}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":1,"Técnicos":1,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":7,"Técnicos":0,"Estrangeiros":0,"Total":7};http://dgp.cnpq.br/dgp/espelhogrupo/767865
Criminalidade Organizada Cibernética;Certificado;2016;Stenio Santos Sousa;Departamento de Polícia Federal - DPF;Academia Nacional de Polícia;Ciências Sociais Aplicadas, Direito;DF;Nosso interesse de pesquisa está centrado na compreensão fenomênica da Polícia Federal enquanto instituição responsável pela apuração de crimes que afetam bens, serviços e interesses federais, com foco específico em sua atuação na persecução de crimes cibernéticos, inclusive sua relação com a criminalidade organizada cibernética, bem como nos efeitos que se expandem para as esferas de prevenção e de execução penal. O principal desafio é apontar caminhos que precisam ser trilhados, em especial com o uso equilibrado das novas tecnologias de informação e comunicação, para que a inevitável restrição a direitos fundamentais, que decorrem da atividade de polícia judiciária, tenha compatibilidade com a defesa de um Direito Penal do Ser Humano e este possa ser motor da consecução dos objetivos fundamentais da República, em especial na construção de uma sociedade livre, justa e solidária, bem como na promoção do bem de todos.;{"Nome":Cibercriminalidade econômico-financeira,"Q_Estudantes":0,"Q_Pesquisadores":4}|{"Nome":Constituição Federal, Investigação Criminal e Tecnologias de Informação e Comunicação,"Q_Estudantes":1,"Q_Pesquisadores":7}|{"Nome":Crimes de Alta Tecnologia,"Q_Estudantes":0,"Q_Pesquisadores":3}|{"Nome":Repressão ao abuso e à exploração sexual infantil na Internet,"Q_Estudantes":0,"Q_Pesquisadores":4};;{"Formação acadêmica":Doutorado,"Pesquisadores":3,"Estudantes":0,"Técnicos":0,"Estrangeiros":2,"Total":5}|{"Formação acadêmica":Mestrado,"Pesquisadores":5,"Estudantes":1,"Técnicos":1,"Estrangeiros":0,"Total":7}|{"Formação acadêmica":Especialização,"Pesquisadores":3,"Estudantes":0,"Técnicos":1,"Estrangeiros":0,"Total":4}|{"Formação acadêmica":Graduação,"Pesquisadores":1,"Estudantes":0,"Técnicos":1,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Ensino Médio (2o grau),"Pesquisadores":0,"Estudantes":0,"Técnicos":1,"Estrangeiros":0,"Total":1};http://dgp.cnpq.br/dgp/espelhogrupo/8607473988018122
DIMENSÕES, CONCEITOS E PROCESSOS INOVADORES NAS SMART CITIES;Certificado;2020;André Luis Azevedo Guedes;Centro Universitário Augusto Motta - UNISUAM;;Outra, Ciências Ambientais;RJ;O presente projeto de pesquisa tem como objetivo propor um framework para integração dos conceitos das cidades inteligentes. Nos dias atuais, os recursos tecnológicos estão maciçamente presentes na vida das pessoas e faz com que as mesmas não consigam pensar na maioria das coisas que fazem sem que esteja implícita a tecnologia utilizada. O desenvolvimento de startups e novas tecnologias podem melhorar a governança das cidades e das empresas, os recursos tecnológicos não fazem sentido isoladamente, mas incorporados ao contexto social, com vistas ao desenvolvimento sustentável e as estruturas de governança das cidades mais inteligentes respeitando o meio ambiente e os recursos das gerações futuras. O conceito da inovação quádrupla que permeia às empresas deve ser combinado com uma abordagem metodológica com sustentabilidade para a descoberta de novas soluções para a pesquisa em conjunto com a aplicação de produtos técnicos que objetivem a integração das abordagens teóricas e práticas.;{"Nome":Inovação, governança e gestão aplicadas às cidades,"Q_Estudantes":6,"Q_Pesquisadores":21}|{"Nome":Tecnologias aplicadas ao ambiente construído e natural,"Q_Estudantes":7,"Q_Pesquisadores":10}|{"Nome":Tecnologias da informação e comunicações aplicadas às cidades,"Q_Estudantes":3,"Q_Pesquisadores":8};{"Nome":Faculdade de Administração e Ciências Contábeis,"Sigla":UFF,"UF":RJ}|{"Nome":Departamento de Engenharia Civil,"Sigla":UFF,"UF":RJ}|{"Nome":Faculdade Cidade Verde,"Sigla":FCV,"UF":PR};{"Formação acadêmica":Doutorado,"Pesquisadores":28,"Estudantes":1,"Técnicos":0,"Estrangeiros":1,"Total":30}|{"Formação acadêmica":Mestrado,"Pesquisadores":1,"Estudantes":5,"Técnicos":0,"Estrangeiros":0,"Total":6}|{"Formação acadêmica":Mestrado Profissional,"Pesquisadores":0,"Estudantes":4,"Técnicos":0,"Estrangeiros":0,"Total":4}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":6,"Técnicos":0,"Estrangeiros":0,"Total":6};http://dgp.cnpq.br/dgp/espelhogrupo/4491767559309027
Direito Empresarial na Economia Digital;Certificado;2017;Paulo Marcos Rodrigues Brancher;Pontifícia Universidade Católica de São Paulo - PUC/SP;Faculdade de Direito;Ciências Sociais Aplicadas, Direito;SP;O objetivo deste grupo de pesquisa é fomentar as discussões sobre a evolução das instituições de direito civil e comercial no âmbito empresarial decorrente das inovações tecnológicas, bem como as eventuais ramificações inerentes à natureza do objeto de estudo. As reuniões ocorrem em periodicidade mensal. Ademais, o grupo é responsável pela coordenação, bem como elaboração e preparo de artigos científicos para a Revista de Direito na Economia Digital, da Editora Fórum, publicada anualmente.;{"Nome":A evolução das instituições de direito civil e comercial no âmbito empresarial decorrente das inovações tecnológicas.,"Q_Estudantes":5,"Q_Pesquisadores":7}|{"Nome":Quebra de paradigmas do direito com a evolução da inteligência artificial,"Q_Estudantes":4,"Q_Pesquisadores":4};;{"Formação acadêmica":Doutorado,"Pesquisadores":7,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":7}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Especialização,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":5,"Técnicos":0,"Estrangeiros":0,"Total":5}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2};http://dgp.cnpq.br/dgp/espelhogrupo/365810
Engenharia de Software e Interação Humano-Computador;Em preenchimento;2020;André Barros de Sales ;Universidade de Brasília - UnB;Campus Gama;Ciências Exatas e da Terra, Ciência da Computação;DF;;{"Nome":Interação Humano-Computador - IHC,"Q_Estudantes":1,"Q_Pesquisadores":4}|{"Nome":Aprendizagem e desenvolvimento em informática na educação,"Q_Estudantes":1,"Q_Pesquisadores":3}|{"Nome":Práticas de Ensino e Processos de aprendizagem,"Q_Estudantes":0,"Q_Pesquisadores":3}|{"Nome":Requisitos de Software,"Q_Estudantes":1,"Q_Pesquisadores":3}|{"Nome":Segurança Cibernética,"Q_Estudantes":1,"Q_Pesquisadores":4};;{"Formação acadêmica":Doutorado,"Pesquisadores":3,"Estudantes":0,"Técnicos":0,"Estrangeiros":1,"Total":4}|{"Formação acadêmica":Mestrado,"Pesquisadores":2,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Especialização,"Pesquisadores":0,"Estudantes":0,"Técnicos":1,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":3,"Técnicos":0,"Estrangeiros":0,"Total":3};http://dgp.cnpq.br/dgp/espelhogrupo/780404
Grupo de Modelagem e Análise de Sistemas de Potência;Certificado;2004;Roberto Chouhy Leborgne;Universidade Federal do Rio Grande do Sul - UFRGS;Escola de Engenharia;Engenharias, Engenharia Elétrica;RS;O Grupo de Modelagem e Análise de Sistemas de Potência (GMASP) é um grupo de pesquisa formado por pesquisadores dos Departamentos de Automação e Energia (DELAE), de Engenharia Elétrica (DELET) e Interdisciplinar (CLN) da Universidade Federal do Rio Grande do Sul (UFRGS). O GMASP teve sua criação em 2004, quando docentes do DELET se uniram para criar o Laboratório de Análise de Sistemas Elétricos de Potência (LASEP). Os membros do GMASP atuam em diversas áreas de SEP, junto a todas as instituições de desenvolvimento e fomento à pesquisa. O GMASP se caracteriza também por possuir uma forte interação com empresas do setor elétrico. O GMASP tem como principais tópicos de pesquisa: Análise de Desempenho de Sistemas com Geração Distribuída, Análise da Qualidade da Energia Elétrica, Aplicações de Sistemas Inteligentes em Sistemas de Potência (Smart Grids), Identificação e Localização de Faltas, Modelagem de Carga, Otimização de Sistemas de Potência.;{"Nome":Análise de Estabilidade Transitória,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Análise de risco de incêndio de origem elétrica,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Análise de Sistemas de Distribuição,"Q_Estudantes":1,"Q_Pesquisadores":3}|{"Nome":Análise de Sistemas Elétricos Faltosos,"Q_Estudantes":2,"Q_Pesquisadores":3}|{"Nome":Análise, modelagem e detecção de falhas em Sistemas de Aterramento,"Q_Estudantes":4,"Q_Pesquisadores":1}|{"Nome":Controle Secundario de Tensão,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Estimação de Estados,"Q_Estudantes":1,"Q_Pesquisadores":1}|{"Nome":Fontes Renováveis de Energia e Microredes,"Q_Estudantes":1,"Q_Pesquisadores":2}|{"Nome":Planejamento da Operação e da Expansão de Sistemas Elétricos,"Q_Estudantes":6,"Q_Pesquisadores":5}|{"Nome":Proteção de Sistemas de Potência,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Qualidade de Energia Elétrica,"Q_Estudantes":4,"Q_Pesquisadores":2}|{"Nome":Segurança Cibernética,"Q_Estudantes":0,"Q_Pesquisadores":1};{"Nome":University of Florida,"Sigla":UF,"UF":}|{"Nome":University of Nottingham,"Sigla":NOTTINGHAM,"UF":}|{"Nome":Universidade de Coimbra,"Sigla":UC,"UF":}|{"Nome":Universidad Nacional de Misiones,"Sigla":UNaM,"UF":}|{"Nome":Luleå University of Technology,"Sigla":LTU,"UF":}|{"Nome":Universidade Federal de Itajubá,"Sigla":UNIFEI,"UF":MG}|{"Nome":Simon Fraser University - Surrey Campus,"Sigla":SURREY,"UF":};{"Formação acadêmica":Doutorado,"Pesquisadores":10,"Estudantes":5,"Técnicos":0,"Estrangeiros":0,"Total":15}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":7,"Técnicos":1,"Estrangeiros":0,"Total":8}|{"Formação acadêmica":Especialização,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":3,"Técnicos":0,"Estrangeiros":0,"Total":3};http://dgp.cnpq.br/dgp/espelhogrupo/26252
GRUPO DE PESQUISA EM AUTOMAÇÃO E CONTROLE - GPAC;Certificado;2007;Mauro André Barbosa Cunha;Instituto Federal Sul-Rio-Grandense - IFSUL;;Engenharias, Engenharia Elétrica;RS;;{"Nome":Indústria 4.0,"Q_Estudantes":0,"Q_Pesquisadores":4}|{"Nome":Modelagem e Controle de Sistemas Dinâmicos,"Q_Estudantes":1,"Q_Pesquisadores":4};;{"Formação acadêmica":Doutorado,"Pesquisadores":4,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":4}|{"Formação acadêmica":Mestrado,"Pesquisadores":2,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1};http://dgp.cnpq.br/dgp/espelhogrupo/4229095483831143
Grupo de Pesquisa em Redes de Computadores e Segurança Cibernética;Certificado - Não-atualizado há mais de 12 meses;2020;Frederico Sauer Guimarães Oliveira ;Centro Universitário da Zona Oeste - UEZO;;Ciências Exatas e da Terra, Ciência da Computação;RJ;Após dois anos de trabalho de pesquisa, o grupo já produziu uma dissertação de mestrado e um artigo nacional (SBSeg 2021), que foi premiado como MELHOR ARTIGO na trilha "artigos curtos", em parceria com pesquisadores do programa de Engenharia de Sistemas do IME - Instituto Militar de Engenharia. Atualmente estamos em pesquisas para uma tese de doutorado e submissão de novos resultados ao SBRC 2022.;{"Nome":Segurança Cibernética,"Q_Estudantes":1,"Q_Pesquisadores":1};{"Nome":Programa de Pós-Graduação em Engenharia de Defesa,"Sigla":PGED-IME,"UF":RJ};{"Formação acadêmica":Doutorado,"Pesquisadores":1,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":2};http://dgp.cnpq.br/dgp/espelhogrupo/771023
Grupo de Processamento de Sinais e Informação;Certificado;2016;Edmar Candeia Gurjão;Universidade Federal de Campina Grande - UFCG;Departamento de Engenharia Elétrica;Engenharias, Engenharia Elétrica;PB;Projeto em parceria com a ANATEL para definição de Segurança Cibernética das redes 5G no Brasil.;{"Nome":Processamento de Imagens Digitais e Reconhecimento de Padrões,"Q_Estudantes":1,"Q_Pesquisadores":1}|{"Nome":Computação Móvel e Telecomunicações,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Inteligência Artificial Aplicada,"Q_Estudantes":5,"Q_Pesquisadores":2}|{"Nome":Segurança Cibernética,"Q_Estudantes":7,"Q_Pesquisadores":1};{"Nome":Departamento de Matemática e Estatística,"Sigla":UEPB,"UF":PB};{"Formação acadêmica":Doutorado,"Pesquisadores":2,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Mestrado Profissional,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":9,"Técnicos":0,"Estrangeiros":0,"Total":9}|{"Formação acadêmica":Ensino Médio (2o grau),"Pesquisadores":0,"Estudantes":0,"Técnicos":1,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1};http://dgp.cnpq.br/dgp/espelhogrupo/780702
