Grupo;Situação;Ano Formação;Líder;Instituição;Unidade;Área predominante;UF;Repercussão;Linhas de Pesquisa;Instituições Parceiras;Indicadores de RH;link
ALODE - Grupo de Pesquisa em Algoritmos e Logística Descentralizada;Certificado;2020;Igor Machado Coelho;Universidade Federal Fluminense - UFF;;Ciências Exatas e da Terra, Ciência da Computação;RJ;O ALODE é uma continuação dos trabalhos do "Grupo de Pesquisa em Blockchain e Supply Chain", formado ainda quando o coordenador era professor/pesquisador da Universidade do Estado do Rio de Janeiro (UERJ). Devido a sua migração para a Universidade Federal Fluminense (UFF) em Janeiro/2020, as atividades do grupo tiveram de ser remanejadas, em nível organizacional, porém mantendo os vínculos profissionais e atividades já em andamento. O tema da Logística Descentralizada acabou ganhando força, bem como suas integrações recentes com a tecnologia Blockchain (que também se manifesta por outros nomes, como DLT), portanto optou-se por renomear o grupo durante essa transição, buscando um nome mais neutro tecnologicamente e, assim, mais duradouro. O repositório público também foi renomeado (para https://github.com/gp-alode), mantendo-se um redirecionamento automático para o conteúdo anterior existente.;{"Nome":Algoritmos de Consenso para Blockchain,"Q_Estudantes":1,"Q_Pesquisadores":2}|{"Nome":Ambientes de Experimentação para Blockchain e Contratos Inteligentes,"Q_Estudantes":0,"Q_Pesquisadores":5}|{"Nome":Aplicações inovadoras baseadas em blockchain,"Q_Estudantes":2,"Q_Pesquisadores":4}|{"Nome":Tomada de Decisão e Logística Descentralizada,"Q_Estudantes":3,"Q_Pesquisadores":3};;{"Formação acadêmica":Doutorado,"Pesquisadores":7,"Estudantes":5,"Técnicos":0,"Estrangeiros":0,"Total":12}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1};http://dgp.cnpq.br/dgp/espelhogrupo/720493
Desenvolvimento de Sistemas Críticos;Certificado;2010;Adilson Luiz Bonifácio;Universidade Estadual de Londrina - UEL;Centro de Ciências Exatas;Ciências Exatas e da Terra, Ciência da Computação;PR;;{"Nome":Desenvolvimento de Sistemas Críticos,"Q_Estudantes":1,"Q_Pesquisadores":1}|{"Nome":Teste Baseado em Modelos,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Verificação de Contratos,"Q_Estudantes":1,"Q_Pesquisadores":1};{"Nome":Guenka Software,"Sigla":GUENKA,"UF":PR};{"Formação acadêmica":Doutorado,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1};http://dgp.cnpq.br/dgp/espelhogrupo/562104
Direito do Consumidor e Sociedade da Era Digital;Certificado - Não-atualizado há mais de 12 meses;2019;Adriano Fernandes Moreira ;Fundação UNIRG - UNIRG;;Ciências Sociais Aplicadas, Direito;TO;A velocidade das transformações nos negócios jurídicos realizados na sociedade da era digital exige reflexões críticas acerca das tendências pós-modernas e indústria 4. O surgimento da blockchain, por exemplo, leva os juristas a acreditarem no surgimento de novos Direitos Fundamentais. O sistema legal, como não poderia deixar de ser, deve se modificar para acompanhar esta nova realidade, de uma nova era altamente tecnológica e digital. O grupo de estudos em Direito do Consumidor e Sociedade da Era Digital foi criado para acompanhar estas mudanças sociais e para responder com celeridade e de forma mais efetiva aos reais anseios dos consumidores, cada dia mais surpreendidos com as inovações tecnológicas. Os novos contratos inteligentes, o surgimento da nova Lex Criptographia, as práticas comerciais disruptivas e representativas de novos paradigmas, os negócios virtuais e suas implicações jurídicas, suscitam uma abordagem Zetética.;{"Nome":Inteligência Artificial,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Criptomoedas, Lex Criptographia e smart contracts.,"Q_Estudantes":2,"Q_Pesquisadores":1}|{"Nome":O acesso à justiça pelos consumidores na era digital.,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Tutela dos interesses e direitos difusos, coletivos e individuais homogêneos consumeristas,"Q_Estudantes":0,"Q_Pesquisadores":1};;{"Formação acadêmica":Doutorado,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Especialização,"Pesquisadores":0,"Estudantes":0,"Técnicos":1,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2};http://dgp.cnpq.br/dgp/espelhogrupo/483457
Direito, Tecnologia e Inovação;Certificado - Não-atualizado há mais de 12 meses;2016;Técio Spínola Gomes ;Universidade Federal da Bahia - UFBA;Faculdade de Direito;Ciências Sociais Aplicadas, Direito;BA;O grupo analisa os reflexos das novas tecnologia na área jurídica e como o Direito pode auxiliar no apoio à inovação. Divulga as pesquisas por meio de seminários, podcast, vídeos em plataforma online e artigos acadêmicos.;{"Nome":Blockchain e direito contratual,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":O papel do Direito Empresarial nas políticas de ciência, tecnologia e inovação,"Q_Estudantes":0,"Q_Pesquisadores":2};;{"Formação acadêmica":Doutorado,"Pesquisadores":2,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Mestrado Profissional,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1};http://dgp.cnpq.br/dgp/espelhogrupo/773540
Grupo de Estudo em Processos Produtivos: Gestão, Projeto, Tecnologia e Trabalho;Certificado - Não-atualizado há mais de 12 meses;2020;Carlos Eduardo Soares Camparotti ;Universidade Federal da Grande Dourados - UFGD;;Engenharias, Engenharia de Produção;MS;;{"Nome":gestão agroindustrial e modelagem de equações estruturais,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Lean, Seis Sigma e Lean Seis Sigma,"Q_Estudantes":6,"Q_Pesquisadores":1}|{"Nome":Supply Chain 4.0,"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":Trabalho, Tecnologia e Organização,"Q_Estudantes":0,"Q_Pesquisadores":1};;{"Formação acadêmica":Doutorado,"Pesquisadores":3,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":3}|{"Formação acadêmica":Mestrado,"Pesquisadores":2,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":6,"Técnicos":0,"Estrangeiros":0,"Total":6};http://dgp.cnpq.br/dgp/espelhogrupo/564505
Grupo de Pesquisa em Computação Aplicada - GCA;Certificado;2013;Rafael Zancan Frantz;Universidade Regional do Noroeste do Estado do Rio Grande do Sul - UNIJUI;Departamento de Ciências Exatas e Engenharias;Ciências Exatas e da Terra, Ciência da Computação;RS;Fomentar o desenvolvimento local de pesquisa e tecnologias que possam contribuir com o desenvolvimento social e econômico da região de inserção da UNIJUI, e que possam também ser úteis em outras regiões a nível nacional e internacional.;{"Nome":Data Integration and Analysis,"Q_Estudantes":20,"Q_Pesquisadores":4}|{"Nome":Integration Systems Modeling and Analysis,"Q_Estudantes":5,"Q_Pesquisadores":3}|{"Nome":Software Engineering,"Q_Estudantes":1,"Q_Pesquisadores":1};;{"Formação acadêmica":Doutorado,"Pesquisadores":4,"Estudantes":8,"Técnicos":0,"Estrangeiros":5,"Total":17}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":8,"Técnicos":0,"Estrangeiros":0,"Total":8}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":3,"Técnicos":0,"Estrangeiros":0,"Total":3}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":7,"Técnicos":0,"Estrangeiros":0,"Total":7};http://dgp.cnpq.br/dgp/espelhogrupo/42343
Grupo de Segurança Cibernética e Sistemas Ciber-Físicos (SciFi);Certificado;2022;Roben Castagna Lunardi;Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul - IFRS;IFRS - Campus Restinga;Ciências Exatas e da Terra, Ciência da Computação;RS;O grupo possui pesquisadores na área de de sistemas ciber-físicos e segura segurança cibernética com mais de 10 anos de experiência em ambas áreas. Dentre as atividades, o grupo realizou formações, workshops, organizou eventos, além de publicar e atuar na área. Em especial na área de sistemas ciber-físicos, diversas pesquisas e atuação na áreas de IoT, robóticas educacional, e automação industrial. Ná área de segurança cibernética, se destacam atividades nas áreas de testes de intrusão (PENTEST), sistemas de detecção de intrusão (IDS), predição de ataques, e blockchains.;{"Nome":Blockchains,"Q_Estudantes":1,"Q_Pesquisadores":1}|{"Nome":Internet das Coisas,"Q_Estudantes":1,"Q_Pesquisadores":4}|{"Nome":Robótica Educacional,"Q_Estudantes":6,"Q_Pesquisadores":3}|{"Nome":Segurança Cibernética,"Q_Estudantes":3,"Q_Pesquisadores":3};;{"Formação acadêmica":Doutorado,"Pesquisadores":5,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":5}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Ensino Médio (2o grau),"Pesquisadores":0,"Estudantes":7,"Técnicos":0,"Estrangeiros":0,"Total":7};http://dgp.cnpq.br/dgp/espelhogrupo/776743
INSERT;Certificado;2014;Allan Edgard Silva Freitas;Instituto Federal da Bahia - IFBA;IFBA - Campus Salvador;Ciências Exatas e da Terra, Ciência da Computação;BA;;{"Nome":Blockchain,"Q_Estudantes":3,"Q_Pesquisadores":1}|{"Nome":Gerência de Redes,"Q_Estudantes":1,"Q_Pesquisadores":3}|{"Nome":Internet do Futuro,"Q_Estudantes":11,"Q_Pesquisadores":3};;{"Formação acadêmica":Doutorado,"Pesquisadores":4,"Estudantes":4,"Técnicos":0,"Estrangeiros":0,"Total":8}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Mestrado Profissional,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":5,"Técnicos":0,"Estrangeiros":0,"Total":5}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":4,"Técnicos":0,"Estrangeiros":0,"Total":4};http://dgp.cnpq.br/dgp/espelhogrupo/3083335562160256
Núcleo de Direito Digital e Disrupção ND3;Certificado;2022;Leandro Oliveira Gobbo;INSTITUTO BRASILEIRO DE ENSINO, DESENVOLVIMENTO E PESQUISA - IDP;ESCOLA DE DIREITO DE BRASÍLIA;Ciências Sociais Aplicadas, Direito;DF;O Núcleo de Direito Digital e Disrupção tem como objetivo desenvolver estudos acadêmicos sobre inovação e tecnologia analisadas a partir do Direito e quanto aos seus impactos nas relações e sistemas jurídicos, especialmente na forma de artigos científicos para publicação em revistas nacionais e internacionais. Smart contracts, blockchain, criptoativos, inteligência artificial, DeFi e outras tecnologias potencialmente disruptivas serão analisadas em relação à sua contribuição e dissonância nas dimensões essenciais do Direito, na transformação da sociedade e na criação e solução de problemas jurídicos complexos, a partir da premissa de que as instituições existentes podem falhar diante da metamorfose acelerada do mundo decorrente de novos quadros de referência.;{"Nome":Disrupção de Institutos Tradicionais do Direito Civil,"Q_Estudantes":1,"Q_Pesquisadores":1}|{"Nome":Tecnologia e Direito,"Q_Estudantes":1,"Q_Pesquisadores":1};;{"Formação acadêmica":Doutorado,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2};http://dgp.cnpq.br/dgp/espelhogrupo/782263
Núcleo de Direito Digital e Disrupção ND3;Certificado;2022;Leandro Oliveira Gobbo;INSTITUTO BRASILEIRO DE ENSINO, DESENVOLVIMENTO E PESQUISA - IDP;ESCOLA DE DIREITO DE BRASÍLIA;Ciências Sociais Aplicadas, Direito;DF;O Núcleo de Direito Digital e Disrupção tem como objetivo desenvolver estudos acadêmicos sobre inovação e tecnologia analisadas a partir do Direito e quanto aos seus impactos nas relações e sistemas jurídicos, especialmente na forma de artigos científicos para publicação em revistas nacionais e internacionais. Smart contracts, blockchain, criptoativos, inteligência artificial, DeFi e outras tecnologias potencialmente disruptivas serão analisadas em relação à sua contribuição e dissonância nas dimensões essenciais do Direito, na transformação da sociedade e na criação e solução de problemas jurídicos complexos, a partir da premissa de que as instituições existentes podem falhar diante da metamorfose acelerada do mundo decorrente de novos quadros de referência.;{"Nome":Disrupção de Institutos Tradicionais do Direito Civil,"Q_Estudantes":1,"Q_Pesquisadores":1}|{"Nome":Tecnologia e Direito,"Q_Estudantes":1,"Q_Pesquisadores":1};;{"Formação acadêmica":Doutorado,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2};http://dgp.cnpq.br/dgp/espelhogrupo/5586726663632876
