Grupo;Situação;Ano Formação;Líder;Instituição;Unidade;Área predominante;UF;Repercussão;Linhas de Pesquisa;Instituições Parceiras;Indicadores de RH;link
Agritech UFLA - Centro de Estudos em Mercado e Tecnologias no Agronegócio;Certificado;2020;Paulo Henrique Montagnana Vicente Leme;Universidade Federal de Lavras - UFLA;Departamento de Administração e Economia;Ciências Sociais Aplicadas, Administração;MG;O Agritech UFLA - Centro de Estudos em Mercado e Tecnologias no Agronegócio irá preencher uma lacuna sobre estudos da aplicação de novas tecnologias no agronegócio, colaborando para compreensão destas dinâmicas de mercado e auxiliando pesquisadores e atores do mercado a compreenderem quais os principais fatores que estão promovendo sua expansão. As áreas de atuação do Agritech UFLA estão ligadas à expansão da Agricultura 4.0, termo que é oriundo da transposição do paradigma 4.0 ao setor agropecuário. Desta forma, como escopo, teremos as tecnologias e inovações nas áreas de inteligência artificial, análise de big data (ciência dos dados), sistemas especialistas, internet das coisas, computação em nuvem, sistemas ciber-físicos, blockchain, e veículos aéreos não tripulados, drones, todos estes, aplicados na compreensão da constituição de novos mercados.;{"Nome":Construção de mercados de tecnologia no agronegócio,"Q_Estudantes":4,"Q_Pesquisadores":5}|{"Nome":Sistemas inteligentes e ciência de dados no agronegócio,"Q_Estudantes":2,"Q_Pesquisadores":4};{"Nome":Fundação Centro de Pesquisa e Desenvolvimento em Telecomunicações,"Sigla":CPqD,"UF":SP}|{"Nome":Ministério da Agricultura, Pecuária e Abastecimento,"Sigla":MAPA/DF,"UF":DF}|{"Nome":Confederação da Agricultura e Pecuária do Brasil,"Sigla":CNA,"UF":DF};{"Formação acadêmica":Doutorado,"Pesquisadores":7,"Estudantes":4,"Técnicos":0,"Estrangeiros":0,"Total":11}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Mestrado Profissional,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1};http://dgp.cnpq.br/dgp/espelhogrupo/576324
ALODE - Grupo de Pesquisa em Algoritmos e Logística Descentralizada;Certificado;2020;Igor Machado Coelho;Universidade Federal Fluminense - UFF;;Ciências Exatas e da Terra, Ciência da Computação;RJ;O ALODE é uma continuação dos trabalhos do "Grupo de Pesquisa em Blockchain e Supply Chain", formado ainda quando o coordenador era professor/pesquisador da Universidade do Estado do Rio de Janeiro (UERJ). Devido a sua migração para a Universidade Federal Fluminense (UFF) em Janeiro/2020, as atividades do grupo tiveram de ser remanejadas, em nível organizacional, porém mantendo os vínculos profissionais e atividades já em andamento. O tema da Logística Descentralizada acabou ganhando força, bem como suas integrações recentes com a tecnologia Blockchain (que também se manifesta por outros nomes, como DLT), portanto optou-se por renomear o grupo durante essa transição, buscando um nome mais neutro tecnologicamente e, assim, mais duradouro. O repositório público também foi renomeado (para https://github.com/gp-alode), mantendo-se um redirecionamento automático para o conteúdo anterior existente.;{"Nome":Algoritmos de Consenso para Blockchain,"Q_Estudantes":1,"Q_Pesquisadores":2}|{"Nome":Ambientes de Experimentação para Blockchain e Contratos Inteligentes,"Q_Estudantes":0,"Q_Pesquisadores":5}|{"Nome":Aplicações inovadoras baseadas em blockchain,"Q_Estudantes":2,"Q_Pesquisadores":4}|{"Nome":Tomada de Decisão e Logística Descentralizada,"Q_Estudantes":3,"Q_Pesquisadores":3};;{"Formação acadêmica":Doutorado,"Pesquisadores":7,"Estudantes":5,"Técnicos":0,"Estrangeiros":0,"Total":12}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1};http://dgp.cnpq.br/dgp/espelhogrupo/720493
Banco de Dados;Certificado - Não-atualizado há mais de 12 meses;2018;Valeria Cesario Times ;Universidade Federal de Pernambuco - UFPE;Centro de Ciências Exatas e da Natureza;Ciências Exatas e da Terra, Ciência da Computação;PE;O Grupo de Pesquisa em Banco de Dados do Centro de Informa¿tica da UFPE trabalha em linhas de pesquisa convergentes, que tratam o ambiente de banco de dados como sendo integrado, cooperativo e distribuído. Neste ambiente, sao pesquisados me¿todos, modelos, metodologias, tecnicas, ferramentas e aplicacoes dentro de um contexto distribuido e heterogeneo, considerando-se substancialmente a utilizacao da web. Do ponto de vista dos usuarios, os principais resultados/repercussoes sao: (i) Desenvolvimento de aplicacoes nao convencionais, incluindo de Sistemas de Informações em Saúde, Sistemas de Banco de Dados Espaciais e Sistemas de Recomendação de Caronas, (ii) Utilizacao de BD como tecnologia de apoio a decisao, incluindo ferramentas OLAP e sistemas de Data Warehouse, (iii) Desenvolvimento de esquemas de criptografia e uso de blockchain para garantia da privacidade de dados, (iv) Mineracao de dados e a recuperacao de informacão,;{"Nome":Dados na Web,"Q_Estudantes":3,"Q_Pesquisadores":1}|{"Nome":Engenharia de Dados,"Q_Estudantes":3,"Q_Pesquisadores":1}|{"Nome":Infraestrutura de Dados Espaciais,"Q_Estudantes":1,"Q_Pesquisadores":1}|{"Nome":Integração de Dados,"Q_Estudantes":3,"Q_Pesquisadores":1}|{"Nome":Melhoria de Bases de Conhecimento,"Q_Estudantes":9,"Q_Pesquisadores":1}|{"Nome":Recuperação da Informação,"Q_Estudantes":9,"Q_Pesquisadores":1}|{"Nome":Segurança e Privacidade de Dados,"Q_Estudantes":3,"Q_Pesquisadores":1}|{"Nome":Sistemas de Apoio à Tomada de Decisão,"Q_Estudantes":4,"Q_Pesquisadores":1}|{"Nome":Sistemas de BD NoSQL,"Q_Estudantes":1,"Q_Pesquisadores":1}|{"Nome":Sistemas de Informações de Saúde,"Q_Estudantes":2,"Q_Pesquisadores":1}|{"Nome":Sistemas de Recomendação de Caronas,"Q_Estudantes":1,"Q_Pesquisadores":1};;{"Formação acadêmica":Doutorado,"Pesquisadores":5,"Estudantes":13,"Técnicos":0,"Estrangeiros":0,"Total":18}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":3,"Técnicos":0,"Estrangeiros":0,"Total":3}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":9,"Técnicos":0,"Estrangeiros":0,"Total":9};http://dgp.cnpq.br/dgp/espelhogrupo/464037
Blockchain: técnicas, ferramentas e aplicações;Certificado;2018;Arlindo Flavio da Conceição;Universidade Federal de São Paulo - UNIFESP;Campus São José dos Campos;Ciências Exatas e da Terra, Ciência da Computação;SP;Este grupo de pesquisa visa repensar as soluções do cotidiano levando em consideração novos conceitos de segurança, privacidade e de auditabilidade provenientes do uso da tecnologia blockchain.;{"Nome":Algoritmos e técnicas de consenso distribuído,"Q_Estudantes":2,"Q_Pesquisadores":6}|{"Nome":Aplicações descentralizadas baseadas em blockchain,"Q_Estudantes":4,"Q_Pesquisadores":8}|{"Nome":Criptomoedas,"Q_Estudantes":1,"Q_Pesquisadores":2}|{"Nome":Ferramentas de apoio ao desenvolvimento de aplicações descentralizadas,"Q_Estudantes":3,"Q_Pesquisadores":4};{"Nome":University of Oslo,"Sigla":UiO,"UF":};{"Formação acadêmica":Doutorado,"Pesquisadores":16,"Estudantes":0,"Técnicos":0,"Estrangeiros":1,"Total":17}|{"Formação acadêmica":Mestrado,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Mestrado Profissional,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":1,"Técnicos":1,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":7,"Técnicos":0,"Estrangeiros":0,"Total":7};http://dgp.cnpq.br/dgp/espelhogrupo/228831
Centro de Gestão da Inovação e Sustentabilidade;Certificado;2023;Maicon Gouvea de Oliveira;Universidade de São Paulo - USP;Escola de Engenharia de São Carlos;Engenharias, Engenharia de Produção;SP;;{"Nome":Digitalização da Gestão da Inovação,"Q_Estudantes":2,"Q_Pesquisadores":1}|{"Nome":Gestão da Inovação e Empreendorismo,"Q_Estudantes":1,"Q_Pesquisadores":1}|{"Nome":Gestão de Ecossistemas de Economia Circular,"Q_Estudantes":17,"Q_Pesquisadores":1}|{"Nome":Inovação em Ecossistemas Digitais Baseados na Tecnologia Blockchain,"Q_Estudantes":2,"Q_Pesquisadores":1}|{"Nome":Inovação Ágil,"Q_Estudantes":1,"Q_Pesquisadores":1}|{"Nome":Roadmapping e Gestão Estratégica da Inovacão,"Q_Estudantes":2,"Q_Pesquisadores":1};;{"Formação acadêmica":Doutorado,"Pesquisadores":4,"Estudantes":5,"Técnicos":0,"Estrangeiros":0,"Total":9}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":8,"Técnicos":0,"Estrangeiros":0,"Total":8}|{"Formação acadêmica":Mestrado Profissional,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":MBA,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":3,"Técnicos":0,"Estrangeiros":0,"Total":3}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":7,"Técnicos":0,"Estrangeiros":0,"Total":7};http://dgp.cnpq.br/dgp/espelhogrupo/788552
CiberSegurança e Privacidade;Em preenchimento;2002;Altair Olivo Santin ;Pontifícia Universidade Católica do Paraná - PUC/PR;Centro de Ciências Exatas e de Tecnologia;Ciências Exatas e da Terra, Ciência da Computação;PR;Este grupo de pesquisa tem atuação, principal, nos aspectos arquiteturais e funcionais de CiberSegurança e Privacidade, envolvendo Segurança de Sistemas, Criptografia Aplicada, Sistemas de Detecção de Intrusão, Big Data e Machine Learning para Segurança e Privacidade, Segurança para Computação em Nuvem, Internet das Coisas e Hardware e Forense Digital. Históricamente seus pesquisadores têm publicado os resultados de suas pesquisas nos principais eventos periódicos da área, e também participam de projetos de pesquisa e de transferência de tecnologia para o setor produtivo. O grupo participa ativamente do Programa de Pós-Graduação em Informática da PUCPR (mestrado e doutorado) e oferece cursos de extensão e de especialização em sua área de atuação.;{"Nome":Aprendizado de máquina e Big Data para CiberSegurança,"Q_Estudantes":13,"Q_Pesquisadores":2}|{"Nome":Criptografia Aplicada,"Q_Estudantes":2,"Q_Pesquisadores":2}|{"Nome":Segurança de sistemas,"Q_Estudantes":10,"Q_Pesquisadores":2}|{"Nome":Segurança em aplicações,"Q_Estudantes":8,"Q_Pesquisadores":1};{"Nome":Departamento de Informática,"Sigla":UFPR,"UF":PR}|{"Nome":Universidade Estadual do Centro-Oeste,"Sigla":UNICENTRO,"UF":PR}|{"Nome":Pró Reitoria de Extensão, Pesquisa e Inovação,"Sigla":PROEPI,"UF":PR};{"Formação acadêmica":Doutorado,"Pesquisadores":4,"Estudantes":6,"Técnicos":0,"Estrangeiros":0,"Total":10}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":2,"Técnicos":1,"Estrangeiros":0,"Total":3}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":12,"Técnicos":0,"Estrangeiros":0,"Total":12}|{"Formação acadêmica":Ensino Médio (2o grau),"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":11,"Técnicos":0,"Estrangeiros":0,"Total":11};http://dgp.cnpq.br/dgp/espelhogrupo/15213
CRIPTOECONOMIA E REGULAÇÃO;Certificado;2021;Newton De Lucca;Universidade de São Paulo - USP;Faculdade de Direito;Ciências Sociais Aplicadas, Direito;SP;A características de alcançabilidade e transnacionalidade da criptoeconomia fez com que seus instrumentos rapidamente se destacassem no mercado, uma vez que oferecem alternativas inovadoras de circulação de riquezas. No entanto, a utilização destes instrumentos padece segurança jurídica que, por sua vez, eleva o fator de risco do negócio e, em efeito cascata, um grande custo transnacional para a sociedade. Nesse sentido, a desregulamentação destes instrumentos tende a gerar efeitos deletérios na economia, pois, engendrados de insegurança jurídica, acabam por restringir o próprio alcance e elevar desproporcionalmente o seu custo de transação. Ocorre que a tarefa de regulamentação e, até mesmo, de conceituação destes instrumentos é extremante árdua, agravada pela característica de transnacionalidade e velocidade em que tais transações são realizadas. Sob esse prima a investigação pretende oferecer certo grau de segurança jurídica ao sistema normativo.;{"Nome":CRIPTOECONOMIA E REGULAÇÃO,"Q_Estudantes":0,"Q_Pesquisadores":5};;{"Formação acadêmica":Doutorado,"Pesquisadores":4,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":4}|{"Formação acadêmica":Mestrado,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1};http://dgp.cnpq.br/dgp/espelhogrupo/768087
Desenvolvimento de Sistemas Críticos;Certificado;2010;Adilson Luiz Bonifácio;Universidade Estadual de Londrina - UEL;Centro de Ciências Exatas;Ciências Exatas e da Terra, Ciência da Computação;PR;;{"Nome":Desenvolvimento de Sistemas Críticos,"Q_Estudantes":1,"Q_Pesquisadores":1}|{"Nome":Teste Baseado em Modelos,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Verificação de Contratos,"Q_Estudantes":1,"Q_Pesquisadores":1};{"Nome":Guenka Software,"Sigla":GUENKA,"UF":PR};{"Formação acadêmica":Doutorado,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1};http://dgp.cnpq.br/dgp/espelhogrupo/562104
Direito do Consumidor e Sociedade da Era Digital;Certificado - Não-atualizado há mais de 12 meses;2019;Adriano Fernandes Moreira ;Fundação UNIRG - UNIRG;;Ciências Sociais Aplicadas, Direito;TO;A velocidade das transformações nos negócios jurídicos realizados na sociedade da era digital exige reflexões críticas acerca das tendências pós-modernas e indústria 4. O surgimento da blockchain, por exemplo, leva os juristas a acreditarem no surgimento de novos Direitos Fundamentais. O sistema legal, como não poderia deixar de ser, deve se modificar para acompanhar esta nova realidade, de uma nova era altamente tecnológica e digital. O grupo de estudos em Direito do Consumidor e Sociedade da Era Digital foi criado para acompanhar estas mudanças sociais e para responder com celeridade e de forma mais efetiva aos reais anseios dos consumidores, cada dia mais surpreendidos com as inovações tecnológicas. Os novos contratos inteligentes, o surgimento da nova Lex Criptographia, as práticas comerciais disruptivas e representativas de novos paradigmas, os negócios virtuais e suas implicações jurídicas, suscitam uma abordagem Zetética.;{"Nome":Inteligência Artificial,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Criptomoedas, Lex Criptographia e smart contracts.,"Q_Estudantes":2,"Q_Pesquisadores":1}|{"Nome":O acesso à justiça pelos consumidores na era digital.,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Tutela dos interesses e direitos difusos, coletivos e individuais homogêneos consumeristas,"Q_Estudantes":0,"Q_Pesquisadores":1};;{"Formação acadêmica":Doutorado,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Especialização,"Pesquisadores":0,"Estudantes":0,"Técnicos":1,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2};http://dgp.cnpq.br/dgp/espelhogrupo/483457
Direito, Tecnologia e Inovação;Certificado - Não-atualizado há mais de 12 meses;2016;Técio Spínola Gomes ;Universidade Federal da Bahia - UFBA;Faculdade de Direito;Ciências Sociais Aplicadas, Direito;BA;O grupo analisa os reflexos das novas tecnologia na área jurídica e como o Direito pode auxiliar no apoio à inovação. Divulga as pesquisas por meio de seminários, podcast, vídeos em plataforma online e artigos acadêmicos.;{"Nome":Blockchain e direito contratual,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":O papel do Direito Empresarial nas políticas de ciência, tecnologia e inovação,"Q_Estudantes":0,"Q_Pesquisadores":2};;{"Formação acadêmica":Doutorado,"Pesquisadores":2,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Mestrado Profissional,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1};http://dgp.cnpq.br/dgp/espelhogrupo/773540
