Grupo;Situação;Ano Formação;Líder;Instituição;Unidade;Área predominante;UF;Repercussão;Linhas de Pesquisa;Instituições Parceiras;Indicadores de RH;link
A Comunicação Pública da Ciência e o Terceiro Setor (ComCienTeS);Certificado;2020;Diogo Lopes de Oliveira;Universidade Federal de Campina Grande - UFCG;;Ciências Sociais Aplicadas, Comunicação;PB;O grupo tem publicado artigos nas área de comunicação pública da ciência e suas interfaces com ONGs, além de combater a desinformação nas redes sociais, em parceria com grupos nacionais e internacionais. Além disso, o grupo fomenta discussões nos projetos de extensão da Revista Lynaldo de divulgação científica da Universidade Federal de Campina Grande (UFCG) e o "Baile de Ciência nas Favelas", programa desenvolvido junto à Central Única das Favelas. Em abril de 2023, o líder deste grupo foi a Roterdã, na Holanda, participar da PCST Conference Creating Common Ground (https://pcst2023.nl). Lá, irá apresentar o trabalho "Recreational resources to combat the misinformation and disinformation around Covid-19 in Mexico", um trabalho conjunto com a equipe do professor Miguel García Guerrero, da Universidad Autónoma de Zacatecas (UAZ), no México. O intuito do grupo é gerar bons debates e provocar a reflexões na sociedade sobre temas fundamentais para a vida em sociedade por meio da ciência;;;;http://dgp.cnpq.br/dgp/espelhogrupo/583147
A desinformação científica como um problema público: uma proposta de estudo comparativo Argentina, Brasil e Québec/Canadá.;Certificado;2021;Fabio Henrique Pereira;Universidade de Brasília - UnB;;Ciências Sociais Aplicadas, Comunicação;DF;A pesquisa apresenta um mapeamento exaustivo das modalidades construção da desinformação como problema público, incluindo os atores que participam desse processo e as estratégias mobilizadas na legitimação da temática. Os dados levantados e analisados permitirão a realização de um conjunto amplo de repercussões, listadas a seguir: - Adaptação do referencial teórico-metodológico da sociologia da construção dos problemas aos estudos em mídia e jornalismo, - Produção de um relatório para subsidiar as discussões sobre das políticas públicas em relação à desinformação científica e o desenvolvimento de iniciativas de comunicação científica e de educação para a mídia, - Articulação com o projeto de extensão Observatório Estudantil Internacional da Informação, dirigido pela Universidade de Brasília em parceria com a Université du Québec à Trois Rivières (Canadá). d) Realização de um quadro comparativo trinacional (Argentina, Brasil, Canadá) sobre à mediatização da desinformação científica;;;;http://dgp.cnpq.br/dgp/espelhogrupo/714093
ACESSIBILIDADE, LEITURA E INFORMAÇÃO;Certificado;2010;Lizandra Brasil Estabel;Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul - IFRS;;Ciências Sociais Aplicadas, Ciência da Informação;RS;O Grupo de Pesquisa ACESSIBILIDADE, LEITURA E INFORMAÇÃO, caracteriza-se como um grupo de estudos interdisciplinares e transdisciplinares com objetivo de realizar estudos, projetos, pesquisa, produção e publicação científica nas áreas de Biblioteconomia, Educação, Informática, Administração, Medicina e áreas afins. Tem como foco as questões voltadas a Inclusão Social, Informacional, Digital e Profissional. Pretende desenvolver Tecnologias Assistivas que propiciem a inclusão de Pessoas com Deficiência (PcDs) na sociedade. Através da leitura, do acesso, uso e produção da informação pretende propiciar melhor qualidade de vida e o exercício da cidadania para as PcDs e a competência informacional para os usuários das bibliotecas.;;;;http://dgp.cnpq.br/dgp/espelhogrupo/2233
APURA VERDADE - investigação para o combate à desinformação;Certificado;2022;Mônica Cristine Fort;Universidade Tuiuti do Paraná - UTP;Conselho de Ensino Pesquisa e Extensão;Ciências Sociais Aplicadas, Comunicação;PR;O Grupo de Pesquisa congrega estudos sobre inovações e estratégias desenvolvidas no combate à desinformação. O Jornalismo é atravessado pelo signo da transformação: novas tecnologias, revolução nos processos produtivos, distributivos e de consumo, crise de credibilidade e no modelo de negócio. Nesse contexto, informar e combater a desinformação, se mantêm como propósitos basilares da profissão. Mudanças trazem para o campo, para atividade e para os profissionais, inovações e reconfigurações das processualidades das práticas em um ecossistema informativo, desafiador. No enfrentamento da desinformação, a checagem de fatos (fact-checking), prática do processo jornalístico, apresenta-se em um novo lugar, a partir da reconfiguração como especialização por meio das agências de checagem, iniciativas que surgem fora do jornalismo mainstream.;;;;http://dgp.cnpq.br/dgp/espelhogrupo/780583
ARQUIVOLOGIA E COMPETÊNCIA EM INFORMAÇÃO - GPArqCoInfo;Certificado;2019;Renata Lira Furtado;Universidade Federal do Pará - UFPA;;Ciências Sociais Aplicadas, Ciência da Informação;PA;O grupo tem como objetivo desenvolver pesquisas relacionadas à Competência em Informação (CoInfo) aplicada à Arquivologia e à profissão do Arquivista. A consolidação do grupo de pesquisa é resultado da tese "A Competência em Informação no cenário arquivístico: uma contribuição teórico-aplicada" (FURTADO, 2019) e de pesquisas realizadas entre os anos de 2015-2018 que resultaram em artigos e publicações em anais de eventos nacionais e orientação de trabalhos de conclusão de curso de graduação e pós-graduação. Desde sua criação o grupo desenvolveu pesquisas robustas no âmbito da pós-graduação e da graduação, inclusive com planos de trabalho de Iniciação Científica, resultando em artigos, capítulos de livro, dissertações e trabalhos de conclusão de curso. Cabe destacar que as pesquisas inéditas no Brasil, em torno da díade Competência em Informação-Arquivologia tem despertado o interesse de pesquisadores em outras instituições.;;;;http://dgp.cnpq.br/dgp/espelhogrupo/481037
Campo Comunicacional e suas Interfaces;Certificado;2004;Maria Ângela Mattos;Pontifícia Universidade Católica de Minas Gerais - PUC Minas;Faculdade de Comunicação e Artes da PUC Minas;Ciências Sociais Aplicadas, Comunicação;MG;Em 2020, o grupo se integrou ao grupo de pesquisa em Mídia, Semiótica e Pragmatismo - MediAção, do PPGCOM-UFMG, composto por pesquisadores em Comunicação da UFOP, PUC Minas e UFMG, desenvolveu pesquisas sobre desinformação na contemporaneidade, incluindo a infodemia relacionada à COVID-19 e o papel da crença na disseminação da desinformação em plataformas de redes sociais nas eleições presidenciais de 2022. Foi publicado um livro de acesso gratuito e oferecida uma disciplina homônima simultânea para as três universidades. O grupo também realizou uma pesquisa sobre as dinâmicas de propagação de textos desinformacionais durante a pandemia de COVID-19 e está atualmente realizando uma metapesquisa sobre os sentidos da desinformação, ambas financiadas pelo Fundo de Incentivo à Pesquisa da PUC Minas. Atualmente, o grupo participa da Rede de Pesquisa em Semiótica, Interações e Materialidades Midiáticas integrada pela UFMG, PUC Minas e UFOP.;;;;http://dgp.cnpq.br/dgp/espelhogrupo/86996
Caos: Observatório da Tecnologia, Sociedade e [Des]Informação;Certificado;2020;Renatha Cândida da Cruz;Instituto Federal de Educação, Ciência e Tecnologia de Goiás - IFG;;Outra, Divulgação Científica;GO;;;;;http://dgp.cnpq.br/dgp/espelhogrupo/692313
Centro de Estudos Interdisciplinares de Direito e Inovação;Certificado;2020;Pablo Martins Bernardi Coelho;Universidade do Estado de Minas Gerais - UEMG;Unidade Acadêmica Frutal;Ciências Sociais Aplicadas, Direito;MG;Com os avanços tecnológicos e a ampliação do acesso à internet houve a migração de diversas atividades para o meio eletrônico, bem como o surgimento de novos comportamentos. A transformação dos meios tecnológicos e a popularidade da internet, das redes sociais e dos aplicativos móveis têm despertado a consciência para uma série de questões jurídicas envolvendo esse novo hábito de consumo das pessoas. Dessa forma, a necessidade de consolidar um direito digital se torna cada vez mais urgente. Nesse cenário, é fundamental conhecer mais profundamente esse panorama, as leis que buscam regulamentar esse novo ambiente, além de buscar soluções práticas para os possíveis impasses. De fato, o uso da tecnologia e suas influências no Direito não é somente uma realidade, mas uma necessidade.;;;;http://dgp.cnpq.br/dgp/espelhogrupo/612326
CHECAR - Checagem, Educação, Comunicação, Algoritmos e Regulação;Certificado;2021;Ivan Paganotti;Universidade Metodista de São Paulo - UMESP;;Ciências Sociais Aplicadas, Comunicação;SP;O grupo pesquisa o impacto de novas paisagens midiáticas descentralizadas em cenário de desinformação sobre atores tradicionais da comunicação, como jornalistas, editores, publicitários, produtores audiovisuais, relações públicas e profissionais do marketing. Os pesquisadores discutem como instituições procuram destacar-se no disputado espaço midiático, qualificando seus representantes como porta-vozes que merecem atenção. Estuda-se como esse discurso de autoridade é construído com base em conhecimentos e habilidades que distinguem certos grupos de comunicadores em seus campos. Dialogicamente, também é necessário avaliar como o público recebe ou resiste a essas estratégias de diferenciação. Assim, analisa-se como diferentes instituições incorporaram práticas de combate à desinformação baseadas em comunicação institucional, verificação de fatos, educação para as mídias, regulação midiática e alterações em códigos de conduta e algoritmos de redes sociais e ferramentas de pesquisa online.;;;;http://dgp.cnpq.br/dgp/espelhogrupo/726913
coLAB | laboratório de pesquisa em comunicação, culturas políticas e economia da colaboração;Certificado;2010;Viktor Henrique Carneiro de Souza Chagas;Universidade Federal Fluminense - UFF;Instituto de Artes e Comunicação Social;Ciências Sociais Aplicadas, Comunicação;RJ;O Laboratório de Pesquisa em Comunicação, Culturas Políticas e Economia da Colaboração (coLAB), sediado na Universidade Federal Fluminense (UFF), desenvolve investigações orientadas a compreender as interfaces entre tecnologias da comunicação e culturas políticas, com especial ênfase nos fenômenos relacionados aos repertórios de ativismo digital, às estratégias retóricas e discursivas de atores do campo formal da política, às dinâmicas de sociabilidade e letramento político, à economia política da informação e à circulação de desinformação e discurso de ódio. Associado ao Instituto Nacional de Ciência e Tecnologia em Democracia Digital (INCT.DD), o grupo reúne pesquisadores dedicadas à área da comunicação política, em diferentes níveis de formação. As linhas de pesquisa contemplam estudos sobre estratégias de comunicação e opinião pública, culturas políticas e ação coletiva, e humor e discussão política.;;;;http://dgp.cnpq.br/dgp/espelhogrupo/28753
