Grupo;Situação;Ano Formação;Líder;Instituição;Unidade;Área predominante;UF;Repercussão;Linhas de Pesquisa;Instituições Parceiras;Indicadores de RH;link
A influência da mídia na saúde única;Certificado;2021;Patricia Cincotto dos Santos Bueno;Universidade de Marília - UNIMAR;;Ciências da Saúde, Saúde Coletiva;SP;Hoje o mundo foi engolido por uma quantidade enorme de informações através da internet que podem ser acessados a qualquer momento e local. Porém nem todas as informações são corretas e algumas vezes, mesmo corretas são divergentes. Em qualquer uma destas situações a verdade básica é distorcida, confundida ou é contrariada e essa informação é mal interpretada, e por meio de um fato distorcido, leva a formação de uma notícia falsa. Quando baseada na opinião, as Fake News expressam a opinião individual do autor e não se baseiam em uma verdade fundamental absoluta. Estas histórias falsas que parecem ser notícias, são criadas para influenciar opiniões e tomadas de decisões relacionadas a saúde. As plataformas digitais favoreceram o crescimento destas informações inverídicas notícia falsa é espalhada 70 vezes mais rápido do que uma notícia verdadeira. O objetivo deste grupo é avaliar, através das informações das redes sociais, qual o alcance destas informações.;;;;http://dgp.cnpq.br/dgp/espelhogrupo/765687
ACESSIBILIDADE, LEITURA E INFORMAÇÃO;Certificado;2010;Lizandra Brasil Estabel;Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul - IFRS;;Ciências Sociais Aplicadas, Ciência da Informação;RS;O Grupo de Pesquisa ACESSIBILIDADE, LEITURA E INFORMAÇÃO, caracteriza-se como um grupo de estudos interdisciplinares e transdisciplinares com objetivo de realizar estudos, projetos, pesquisa, produção e publicação científica nas áreas de Biblioteconomia, Educação, Informática, Administração, Medicina e áreas afins. Tem como foco as questões voltadas a Inclusão Social, Informacional, Digital e Profissional. Pretende desenvolver Tecnologias Assistivas que propiciem a inclusão de Pessoas com Deficiência (PcDs) na sociedade. Através da leitura, do acesso, uso e produção da informação pretende propiciar melhor qualidade de vida e o exercício da cidadania para as PcDs e a competência informacional para os usuários das bibliotecas.;;;;http://dgp.cnpq.br/dgp/espelhogrupo/2233
ARQUIVOLOGIA E COMPETÊNCIA EM INFORMAÇÃO - GPArqCoInfo;Certificado;2019;Renata Lira Furtado;Universidade Federal do Pará - UFPA;;Ciências Sociais Aplicadas, Ciência da Informação;PA;O grupo tem como objetivo desenvolver pesquisas relacionadas à Competência em Informação (CoInfo) aplicada à Arquivologia e à profissão do Arquivista. A consolidação do grupo de pesquisa é resultado da tese "A Competência em Informação no cenário arquivístico: uma contribuição teórico-aplicada" (FURTADO, 2019) e de pesquisas realizadas entre os anos de 2015-2018 que resultaram em artigos e publicações em anais de eventos nacionais e orientação de trabalhos de conclusão de curso de graduação e pós-graduação. Desde sua criação o grupo desenvolveu pesquisas robustas no âmbito da pós-graduação e da graduação, inclusive com planos de trabalho de Iniciação Científica, resultando em artigos, capítulos de livro, dissertações e trabalhos de conclusão de curso. Cabe destacar que as pesquisas inéditas no Brasil, em torno da díade Competência em Informação-Arquivologia tem despertado o interesse de pesquisadores em outras instituições.;;;;http://dgp.cnpq.br/dgp/espelhogrupo/481037
Caos: Observatório da Tecnologia, Sociedade e [Des]Informação;Certificado;2020;Renatha Cândida da Cruz;Instituto Federal de Educação, Ciência e Tecnologia de Goiás - IFG;;Outra, Divulgação Científica;GO;;;;;http://dgp.cnpq.br/dgp/espelhogrupo/692313
Centro de Ensino e Pesquisa em Inovação - CEPI FGV DIREITO SP;Certificado;2018;Marina Feferbaum;Fundação Getúlio Vargas - FGV;Escola de Direito de São Paulo;Ciências Sociais Aplicadas, Direito;SP;O CEPI FGV DIREITO SP participa da NoC (Global Network of Internet and Society Research Centers), rede internacional que conecta centros de pesquisa sobre a temática de tecnologia, e entrou em 2022 para a Public Interest Technology University Network (PIT-UN), composta, inicialmente, por 43 instituições de ensino superior diferentes partes do mundo. O Centro impacta atualmente discussões sobre ensino jurídico (reforma das diretrizes curriculares dos cursos de Direito), direito e tecnologia (fake news, proteção de dados, criptografia) e futuro das profissões jurídicas (automação, novas habilidades, organização dos departamentos e escritórios jurídicos, inovação no Direito). Para um panorama dos produtos e das publicações do CEPI, consulte: https://direitosp.fgv.br/centro-de-pesquisa/centro-de-ensino-pesquisa-inovacao.;;;;http://dgp.cnpq.br/dgp/espelhogrupo/368911
Comportamento Político e Opinião Pública;Certificado;2020;Nara de Carvalho Pavão;Universidade Federal de Pernambuco - UFPE;;Ciências Humanas, Ciência Política;PE;;;;;http://dgp.cnpq.br/dgp/espelhogrupo/671810
Comunicação e Processos de Significação;Certificado - Não-atualizado há mais de 12 meses;2003;Manoel Pereira da Rocha Neto ;Universidade Potiguar - UnP;;Ciências Sociais Aplicadas, Comunicação;RN;O presente grupo de pesquisa tem como objetivo desenvolver pesquisas no âmbito da comunicação e suas relações com a cultura e a produção de significação e as diversas linguagens. As pesquisas visam fazer um interface com os aspectos comunicacionais contemporâneos, como as novas tecnologia digitais aplicadas à comunicação social, como também a investigação de novas linguagens. Destacam-se também as pesquisa no âmbito da comunicação organizacional e o uso das redes sociais digitais na comunicação, como também o advento das fakes news. O presente grupo está em sintonia com a graduação e com o Mestrado Profissional em Administração da Universidade Potiguar (UnP). O presente grupo vem desenvolvendo artigos para futuras publicações na áre..;;;;http://dgp.cnpq.br/dgp/espelhogrupo/2764
Comunidata;Certificado;2015;Pollyana Ferrari Teixeira;Pontifícia Universidade Católica de São Paulo - PUC/SP;Faculdade de Filosofia, Comunicação, Letras e Artes;Ciências Humanas, Educação;SP;O grupo, que mapeia novas formas de mídias e tecnologias, transformações midiáticas e formação de coletividades, em 2019/20 desenvolveu projeto por meio do Plano de Incentivo à Pesquisa¿PIPEq (PUC/SP) em parceria com a União Popular de Mulheres do Campo Limpo e Adjacências-UPM, entidade sem fins lucrativos constituída por mulheres engajadas em movimentos sociais nos anos 1970, integrou estudantes e pesquisadores na produção de vídeos para ampliar seu impacto de atuação e enriqueça o relacionamento em rede. Em 2020 lançamos o livro ¿Nós: tecnoconsequências sobre o humano¿, título inspirado pelo escritor russo I. Zamiátin (1884-1937). Naquele futuro, haveria um Estado Único controlando a população global, limitada a 10 milhões de habitantes. A tecnologia a serviço do poder jogaria o papel central, sem espaço para o indivíduo. Com 12 autores, são discutidas as consequências da tecnologia, principalmente em meio a pandemia de Covid-19. Para 2022, o grupo iniciou a redação do seu 4o livro.;;;;http://dgp.cnpq.br/dgp/espelhogrupo/375351
Constitucionalismo e direitos na era digital - Algolatr.IA;Certificado;2021;Jose Adercio Leite Sampaio;Pontifícia Universidade Católica de Minas Gerais - PUC Minas;Faculdade Mineira de Direito da PUC Minas;Ciências Sociais Aplicadas, Direito;MG;Pesquisas em diferentes temáticas do Direito Constitucional, em especial: i) sua transformação e evolução ao longo dos tempos: o processo democrático, a jurisdição constitucional e a influência da tecnologia digital, tendo como parâmetro os direitos fundamentais, ii)questões relacionadas ao constitucionalismo democrático, incluindo normas procedimentais, competência, legitimidade, efetividade, decisões paradigmáticas e outros aspectos relevantes a fim de demonstrar a importância prática dos temas, especialmente, em contexto de incorporação de novas tecnologias, iii) fragilização da democracia e do Estado Democrático de Direito a partir das interferências que o desenvolvimento tecnológico no ambiente constitucional acarreta e a necessidade do Estado Democrático de Direito acompanhar a evolução digital por meio de mecanismos normativos eficientes, iv) riscos para o constitucionalismo e a soberania das nações em razão da atuação global de empresas de tecnologias digitais.;;;;http://dgp.cnpq.br/dgp/espelhogrupo/741154
Direito e Democracia;Certificado;2019;Rafael Alem Mello Ferreira;Faculdade de Direito do Sul de Minas - FDSM;;Ciências Sociais Aplicadas, Direito;MG;O grupo pretende discutir e pesquisar a democracia brasileira e sua relação com novas tecnologias, inteligência artificial e fake news. Inovações na área do Direito também representam assuntos a serem pesquisados e analisados pelo grupo.;;;;http://dgp.cnpq.br/dgp/espelhogrupo/541098
