Grupo;Situação;Ano Formação;Líder;Instituição;Unidade;Área predominante;UF;Repercussão;Linhas de Pesquisa;Instituições Parceiras;Indicadores de RH;link
BIM, Metaverso e Inovação 4.0 aplicados à Arquitetura e Engenharia;Certificado - Não-atualizado há mais de 12 meses;2022;Ercilia de Stefano ;Universidade Federal Fluminense - UFF;;Engenharias, Engenharia de Produção;RJ;O objetivo deste grupo é inovar na utilização do BIM associando-o à novas tecnologias da Indústria 4.0, incluindo o metaverso. Com a inserção do BIM no metaverso, é possível caminhar, por exemplo, em uma cidade projetada, verificar soluções e analisar informações em um espaço virtual, que permite a fusão dos mundos físico e digital, através de equipamentos, tecnologias, relações, possibilidades e lugares. Com o BIM associado ao metaverso é possível experimentar produtos edificados e/ou construídos em primeira pessoa. Este novo ambiente é propício para o desenvolvimento de novas tecnologias, e também para a construção da nova Arquitetura e Engenharia do século XXI, e pesquisando e propondo soluções de como os profissionais poderão atuar nesse utópico, ou quem sabe distópico, novo mundo.;{"Nome":BIM, Metaverso e Inovação 4.0,"Q_Estudantes":2,"Q_Pesquisadores":9};;{"Formação acadêmica":Doutorado,"Pesquisadores":6,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":6}|{"Formação acadêmica":Mestrado,"Pesquisadores":2,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":3}|{"Formação acadêmica":Graduação,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1};http://dgp.cnpq.br/dgp/espelhogrupo/773727
Cubo de Inovação - Laboratório de Pesquisa e Produção em Ambientes Imersivos;Certificado;2021;Alessandra Cristina da Silva Maia Cardoso Monteiro;Fundação Getúlio Vargas - FGV;FGV Rio de Janeiro;Ciências Sociais Aplicadas, Comunicação;RJ;;{"Nome":Comunicação Digital na Ludosfera,"Q_Estudantes":0,"Q_Pesquisadores":6}|{"Nome":Experiências em Ambientes Imersivos,"Q_Estudantes":0,"Q_Pesquisadores":5}|{"Nome":Inteligência Artificial no Trabalho Criativo,"Q_Estudantes":0,"Q_Pesquisadores":5};;{"Formação acadêmica":Doutorado,"Pesquisadores":6,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":6}|{"Formação acadêmica":Mestrado,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":3,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":3};http://dgp.cnpq.br/dgp/espelhogrupo/784917
Direito Digital, Mercado e Regulação;Certificado;2021;Gabrielle Jacobi Kölling;Universidade Municipal de São Caetano do Sul - USCS;Reitoria;Ciências Sociais Aplicadas, Direito;SP;O direito está em constante evolução, o que não é diferente com os demais subsistemas da sociedade no século XXI: emerge uma ruptura, um verdadeiro processo de transformação, quebrando o paradigma clássico do direito e abrindo espaço à tecnologia. Os referidos sistemas passam a operar com ferramentas como a inteligência artificial e a internet das coisas e isso incrementa a complexidade em várias áreas, tais como a saúde, o mercado e até mesmo a governança. Trata-se, pois, de um ruptura com os contextos sociais e geográficos. Assim, o objetivo geral da pesquisa é analisar de que modo a regulação acompanha ou não a era 5.0 da sociedade aplicada às diferentes áreas já mencionadas.;{"Nome":Direito Digital e Mercado,"Q_Estudantes":2,"Q_Pesquisadores":6};;{"Formação acadêmica":Doutorado,"Pesquisadores":5,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":5}|{"Formação acadêmica":Mestrado,"Pesquisadores":1,"Estudantes":0,"Técnicos":1,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Mestrado Profissional,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1};http://dgp.cnpq.br/dgp/espelhogrupo/770636
GRUPO DE PESQUISA COGITARE: Estudos em Formação, Política e Trabalho Humano;Certificado;2016;Gustavo de Oliveira Figueiredo;Universidade Federal do Rio de Janeiro - UFRJ;Instituto Nutes de Educação em Ciências e Saúde;Ciências Humanas, Educação;RJ;O Grupo de Pesquisa COGITARE - Estudos em Formação, Política e Trabalho Humano - contribui com o desenvolvimento científico e tecnológico nas áreas de educação, ciências e saúde com ênfase em políticas públicas, estudos culturais e formação docente. Temos produzido publicações sobre as relações entre educação e trabalho no serviço público e colaborado para o enfrentamento de desafios vividos na prática por professores, estudantes, profissionais de saúde, lideranças comunitárias e movimentos sociais que atuam em contextos de pobreza, vulnerabilidade e exclusão social. Articulamos nossas pesquisas com a abordagem da investigação-ação-participativa (Fals-Borda e Paulo Freire) e o desenvolvimento de ações de extensão visando transformar a realidade. Privilegiamos os métodos coletivos e participativos de fazer ciência, com uma produção crítica, politizada e qualificada que assume um compromisso com o setor público na defesa dos direitos sociais à educação, saúde e assistência / previdência.;{"Nome":Estudos Culturais na interseção entre educação, ciências e saúde,"Q_Estudantes":6,"Q_Pesquisadores":7}|{"Nome":Políticas públicas e avaliação em educação e em Saúde,"Q_Estudantes":4,"Q_Pesquisadores":2}|{"Nome":Tecnologias Digitais de Comunicação e Informação na Educação,"Q_Estudantes":3,"Q_Pesquisadores":7}|{"Nome":Trabalho, Formação Profissional e Docência na Educação e na Saúde,"Q_Estudantes":13,"Q_Pesquisadores":3};{"Nome":Escola Nacional de Saúde Pública,"Sigla":ENSP,"UF":RJ}|{"Nome":McMaster University,"Sigla":McMaster,"UF":}|{"Nome":Hospital Universitário Clementino Fraga Filho,"Sigla":HUCFF/UFRJ,"UF":RJ}|{"Nome":Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,"Sigla":CAPES,"UF":DF}|{"Nome":Instituto Federal do Espírito Santo - Campus Vitória,"Sigla":IFES,"UF":ES}|{"Nome":Instituto Cesumar de Ciência, Tecnologia e Inovação,"Sigla":ICETI,"UF":PR};{"Formação acadêmica":Doutorado,"Pesquisadores":9,"Estudantes":9,"Técnicos":0,"Estrangeiros":0,"Total":18}|{"Formação acadêmica":Mestrado,"Pesquisadores":1,"Estudantes":3,"Técnicos":0,"Estrangeiros":0,"Total":4}|{"Formação acadêmica":Especialização,"Pesquisadores":0,"Estudantes":0,"Técnicos":1,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":4,"Técnicos":0,"Estrangeiros":0,"Total":4}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":9,"Técnicos":0,"Estrangeiros":0,"Total":9};http://dgp.cnpq.br/dgp/espelhogrupo/225401
Grupo de Pesquisa em Engenharia de Software Aplicada;Certificado;2007;Francisco Petrônio Alencar de Medeiros;Instituto Federal de Educação, Ciência e Tecnologia da Paraíba - IFPB - IFPB;IFPB - Campus João Pessoa;Ciências Exatas e da Terra, Ciência da Computação;PB;O trabalho deste grupo tem como objetivo principal estimular a formação de pesquisadores (docentes, discentes, técnicos administrativos e colaboradores externos) e a integração do ensino as atividades de pesquisa, inovação e extensão em projetos interdisciplinares aplicados, com a introdução de novidade ou aperfeiçoamento no ambiente produtivo, possibilitando gerar novos produtos, processos ou serviços na área de Engenharia de Software, consolidando as linhas e grupos de pesquisa no IFPB.;{"Nome":Ambiente de Boas Práticas Reconfiguráveis em Engenharia de Software,"Q_Estudantes":21,"Q_Pesquisadores":14}|{"Nome":Aprendizagem de Máquina para Classificação e Predição no Contexto de Informática na Educação,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Boas Práticas em Gerenciamento de Projetos de Software,"Q_Estudantes":12,"Q_Pesquisadores":6}|{"Nome":Boas Práticas em Processos de Desenvolvimento de Software,"Q_Estudantes":10,"Q_Pesquisadores":11}|{"Nome":CSCW - Trabalho Colaborativo Apoiado por Computadores,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Gestão da Arquitetura Empresarial/Corporativa,"Q_Estudantes":4,"Q_Pesquisadores":2}|{"Nome":Metaverso, Realidade Virtual e Realidade Aumentada,"Q_Estudantes":1,"Q_Pesquisadores":2}|{"Nome":Metodologias de Aprendizagem Ativa para o Processo de Ensino e Aprendizagem em Ciência da Computação,"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":SIEP Gerencial,"Q_Estudantes":5,"Q_Pesquisadores":5}|{"Nome":Technology-enhanced Learning (Aprendizagem melhorada por Tecnologias),"Q_Estudantes":0,"Q_Pesquisadores":1};;{"Formação acadêmica":Doutorado,"Pesquisadores":13,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":14}|{"Formação acadêmica":Mestrado,"Pesquisadores":6,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":6}|{"Formação acadêmica":Mestrado Profissional,"Pesquisadores":0,"Estudantes":6,"Técnicos":0,"Estrangeiros":0,"Total":6}|{"Formação acadêmica":MBA,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Especialização,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":17,"Técnicos":0,"Estrangeiros":0,"Total":17}|{"Formação acadêmica":Ensino Profissional de nível técnico,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":18,"Técnicos":0,"Estrangeiros":0,"Total":18};http://dgp.cnpq.br/dgp/espelhogrupo/0686408453733553
Grupo Metaverso (Grupo de Estudos e Pesquisas sobre Inovação em Tecnologias, Educação e Linguagens);Certificado;2022;Luciene Pereira;Secretaria de Educação do Distrito Federal - GDF;;Ciências Humanas, Educação;DF;;{"Nome":Educação a Distância e Educação Presencial: integrações e especificidades,"Q_Estudantes":0,"Q_Pesquisadores":6}|{"Nome":Linguagens e Comunicação nos Cenários Digitais,"Q_Estudantes":0,"Q_Pesquisadores":3}|{"Nome":Tecnologias Digitais e Metodologias Inovadoras,"Q_Estudantes":0,"Q_Pesquisadores":3};;{"Formação acadêmica":Doutorado,"Pesquisadores":4,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":4}|{"Formação acadêmica":Mestrado,"Pesquisadores":3,"Estudantes":0,"Técnicos":1,"Estrangeiros":0,"Total":4}|{"Formação acadêmica":Mestrado Profissional,"Pesquisadores":2,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Especialização,"Pesquisadores":1,"Estudantes":0,"Técnicos":2,"Estrangeiros":0,"Total":3};http://dgp.cnpq.br/dgp/espelhogrupo/782789
Metalab - Metaverse Laboratory for Research and Innovation;Certificado;2022;André Carlos Busanelli de Aquino;Universidade de São Paulo - USP;;Ciências Sociais Aplicadas, Administração;SP;Metaverso e mudos virtuais são uma das tecnologias emergentes mais faladas na atualidade. Além de um modismo, estes assuntos são tecnologias que após um período de assimilação e consolidação trarão novas bases para interação social e de negócios. A aplicação de soluções para metaverso e pequisas no tema demanda abordagem interdisciplinar. Ativos digitais, espaços virtuais de colaboração, realidade virtual para simulação de situações e entretenimento, estão relacionadas à diversas indústrias, como varejo, moda, cinema e turismo, banking, educação, telemedicina, para listar algumas. O grupo pretende conectar diversas disciplinas dentro de uma perspectiva de estudos organizacionais.;{"Nome":Surgimento de novas práticas profissionais em mundos virtuais,"Q_Estudantes":1,"Q_Pesquisadores":2};;{"Formação acadêmica":Doutorado,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Mestrado,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1};http://dgp.cnpq.br/dgp/espelhogrupo/777910
OHEIM - Observatory of Higher Education Institutions and Modernities;Certificado;2022;Rafael de Freitas Souza;Universidade de São Paulo - USP;Faculdade de Economia, Administração e Contabilidade de Ribeirão Preto;Ciências Sociais Aplicadas, Administração;SP;O OHEIM tem como objetivo desenvolver pesquisa, ensino e extensão no campo das Instituições de Ensino Superior (IES) nacionais e internacionais considerando a tecnologia e modernidade. O grupo tem com a missão desenvolver e adaptar as IES brasileiras à contemporaneidade, utilizando tecnologias como inteligência artificial, machine e deep learning e etc. Também visa o desenvolvimento de pesquisas e orientação em nível de doutorado, mestrado, especialização, graduação e técnico. As principais linhas e pesquisa são: A) Desempenho das IES nacionais e internacionais, B) Disseminação de tecnologias e métodos estatísticos e não-estatísticos às IES e sociedade, e C) Modernidades do século XXI aplicado às IES e sociedade como transformação digital, metaverso etc.;{"Nome":Aplicações de Machine Learning e de Deep Learning em IES,"Q_Estudantes":1,"Q_Pesquisadores":4}|{"Nome":Inserção das Instituições de Ensino Superior no Metaverso,"Q_Estudantes":1,"Q_Pesquisadores":2}|{"Nome":Métodos Estatísticos Multivariados Aplicados às IES,"Q_Estudantes":0,"Q_Pesquisadores":5}|{"Nome":Performance Organizacional,"Q_Estudantes":2,"Q_Pesquisadores":6};;{"Formação acadêmica":Doutorado,"Pesquisadores":6,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":6}|{"Formação acadêmica":Mestrado,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2};http://dgp.cnpq.br/dgp/espelhogrupo/780973
studioKEM - Modelos e sistemas computacionais apoiados em engenharia e gestão do conhecimento;Certificado;1997;Fernando Alvaro Ostuni Gauthier;Universidade Federal de Santa Catarina - UFSC;Departamento de Engenharia e Gestão do Conhecimento;Ciências Exatas e da Terra, Ciência da Computação;SC;O interesse por esta área de pesquisa surgiu em 1997, voltado para aplicações na web para apoio ao ensino. Já em 1998 o trabalho "Ferramentas e Agentes para um ambiente de Ensino/aprendizagem na web" foi premiado com o segundo lugar no premio especial no Concurso Nacional de Software, Ministério da Educação. Inúmeras dissertações de mestrado e doutorado nos cursos de Ciências da Computação e Engenharia de Produção da UFSC foram defendidas nesta área Uma ampliação da área de interesse levou ao desenvolvimento de uma linha de pesquisa sobre sistemas de informação na Web. Nesta linha, pesquisadores do grupo desenvolveram o sistemas e dissertações e teses que apresentaram contribuições à área. Participando do laboratório de Engenharia do conheceimnto o Grupo muda seu nome para o atual em junho de 2017, com o objetivo de pesquisar e desenvolver de modelos e sistemas computacionais apoiados em engenharia e gestão do conhecimento.;{"Nome":Aplicações da Engenharia do Conhecimento,"Q_Estudantes":4,"Q_Pesquisadores":4}|{"Nome":Desenvolvimento e aplicações de Ontologias,"Q_Estudantes":3,"Q_Pesquisadores":4}|{"Nome":Engenharia, Gestão e Mídias do Conhecimento,"Q_Estudantes":3,"Q_Pesquisadores":2}|{"Nome":Gestão do conhecimento e Gestão de Habitas de Inovação,"Q_Estudantes":1,"Q_Pesquisadores":2}|{"Nome":Gestão do Conhecimento e Inovação,"Q_Estudantes":1,"Q_Pesquisadores":2}|{"Nome":Inteligência Artificial e Engenharia do conhecimneto,"Q_Estudantes":3,"Q_Pesquisadores":1}|{"Nome":Metaverso e Engenharia do Conhecimento,"Q_Estudantes":1,"Q_Pesquisadores":1}|{"Nome":Web Semântica,"Q_Estudantes":1,"Q_Pesquisadores":1};{"Nome":Fundação de Amparo à Pesquisa e Inovação do Estado de Santa Catarina,"Sigla":FAPESC,"UF":SC}|{"Nome":RECEPETI - Rede Catarinense de Inovação,"Sigla":RECEPETI,"UF":SC};{"Formação acadêmica":Doutorado,"Pesquisadores":7,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":8}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":4,"Técnicos":0,"Estrangeiros":0,"Total":4}|{"Formação acadêmica":Graduação,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":4,"Técnicos":0,"Estrangeiros":0,"Total":4};http://dgp.cnpq.br/dgp/espelhogrupo/7070
Tecnologias Aplicadas ao Ensino, Pesquisa e Divulgação Científica;Certificado;2022;Roberta Jeane Bezerra Jorge;Universidade Federal do Ceará - UFC;Departamento de Fisiologia e Farmacologia;Ciências Biológicas, Biotecnologia;CE;A repercussão do nosso grupo de pesquisa está em contribuir no desenvolvimento de métodos alternativos ao uso de animais de laboratório no ensino e na pesquisa. Além de atuar na promoção da divulgação científica.;{"Nome":Novos produtos biotecnológicos,"Q_Estudantes":0,"Q_Pesquisadores":3}|{"Nome":Análise de Dados Biológicos,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Biologia e Biofísica Molecular Computacional,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Biotécnicas e metodologias alternativas à experimentaçao animal,"Q_Estudantes":5,"Q_Pesquisadores":13}|{"Nome":Ensino e divulgação científica em métodos alternativos ao uso de animais,"Q_Estudantes":0,"Q_Pesquisadores":8}|{"Nome":Metaverso e gamificação aplicados ao ensino e pesquisa,"Q_Estudantes":0,"Q_Pesquisadores":4};;{"Formação acadêmica":Doutorado,"Pesquisadores":14,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":16}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":3,"Técnicos":0,"Estrangeiros":0,"Total":3}|{"Formação acadêmica":Mestrado Profissional,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Ensino Médio (2o grau),"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1};http://dgp.cnpq.br/dgp/espelhogrupo/776627
